tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB6A_a,glutamate,2,hDeltaK,1390,0.47,4805,17,519,0.16,SIP076:458;SMP347:239;SMP407:219;SMP034:215,336.7
FB6Y,glutamate,2,hDeltaL,346,0.48,484,3798,75,0.08,PLP122_a:58;SIP047:35;SMP240:34,336.6
FB2F_d,glutamate,4,FC2C,878,0.3,186,5575,325,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,336.3
FB6K,glutamate,4,hDeltaC,492,0.21,2405,3483,725,0.02,SMP347:98,336.3
FB6V,glutamate,2,hDeltaL,695,0.42,484,3798,75,0.07,CRE072:174;CRE105:100;CRE025:83,334.8
FB6U,glutamate,4,hDeltaG,398,0.36,940,3933,247,0.02,SIP029:117,333.7
FB1G,acetylcholine,2,FC1A,313,0.45,2929,88,401,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,332.7
FB5W_a,glutamate,6,FC2B,744,0.34,89,4326,567,0.09,SMP178:129;SMP376:80;SMP114:55;CRE025:54,332.7
FB4E_b,glutamate,4,PFR_b,362,0.25,7543,87,701,0.18,CRE028:182;SMP122:105;CL236:78;SMP109:57,332.5
FB5H,dopamine,2,vDeltaI_a,763,0.32,59,1433,1068,0.16,CRE107:419;CRE027:224;SMP238:202;SMP165:201,331.9
FB4H,glutamate,2,vDeltaI_b,1386,0.26,114,612,707,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,330.3
FB6R,glutamate,4,hDeltaL,422,0.47,484,3798,75,0.07,SMP133:83;SMP136:63;SMP377:57,329.7
FB7E,glutamate,6,hDeltaF,1081,0.76,41,2431,38,0.16,ATL004:205;oviIN:205;SIP065:180;CRE074:130,327.9
FB5V_a,glutamate,6,hDeltaK,645,0.34,4805,17,519,0.31,LAL101:307;CRE028:212;SMP471:201;LAL129:186,322.9
