bodyId,type,instance,somaSide,nt
181149,PFNp_a,PFNp_a,L,acetylcholine
181296,vDeltaL,vDeltaL_C5,L,acetylcholine
181476,FS3_d,FS3_C7_L,L,acetylcholine
181510,vDeltaA_a,vDeltaA_a(AB)_C8,R,acetylcholine
181511,PFNp_a,PFNp_a,L,acetylcholine
181512,vDeltaM,vDeltaM_C5,R,acetylcholine
181513,PFNp_a,PFNp_a,R,acetylcholine
181566,vDeltaA_a,vDeltaA_a(AB)_C9,R,acetylcholine
181584,vDeltaA_a,vDeltaA_a(AB)_C5,R,acetylcholine
181891,PFNp_b,PFNp_b,L,acetylcholine
181953,PFNp_a,PFNp_a,R,acetylcholine
182003,FS3_b,FS3_b_C8_R,R,acetylcholine
182048,vDeltaA_a,vDeltaA_a(AB)_C5,L,acetylcholine
182052,FS4B,FS4B_C3_L,L,acetylcholine
182236,vDeltaM,vDeltaM_C5,R,acetylcholine
182250,FS4A,FS4A_C4_L,L,acetylcholine
182269,PFNm_b,PFNm_b_L7_C6,L,acetylcholine
182290,vDeltaA_b,vDeltaA_b_C9,R,acetylcholine
182391,FS4B,FS4B_C2_R,R,acetylcholine
182773,PFNp_b,PFNp_b,R,acetylcholine
182824,PFNp_b,PFNp_b,L,acetylcholine
183054,PFNp_b,PFNp_b,L,acetylcholine
183111,vDeltaA_a,vDeltaA_a(AB)_C5,L,acetylcholine
183446,PFNp_d,PFNp_d,L,acetylcholine
183471,PFNp_d,PFNp_d,L,acetylcholine
183579,vDeltaK,vDeltaK_C9,R,acetylcholine
183634,PFNp_b,PFNp_b,R,acetylcholine
183656,vDeltaM,vDeltaM_C3,L,acetylcholine
183789,vDeltaK,vDeltaK_C5,L,acetylcholine
183813,PFNp_d,PFNp_d,R,acetylcholine
183874,PFNp_b,PFNp_b,L,acetylcholine
184227,PFNp_b,PFNp_b,L,acetylcholine
184274,PFNp_b,PFNp_b,L,acetylcholine
184426,vDeltaM,vDeltaM_C6,L,acetylcholine
184446,FB4Z_a,FB4Z_a_L,L,glutamate
184456,FS3_b,FS3_b_C5_L,L,acetylcholine
184476,vDeltaA_a,vDeltaA_a(AB)_C4,L,acetylcholine
184662,FS3_b,FS3_b_C7_L,L,acetylcholine
184745,PFNp_a,PFNp_a,L,acetylcholine
184788,FS4A,FS4A_C7_R,R,acetylcholine
184914,PFNp_a,PFNp_a,L,acetylcholine
185024,FS4A,FS4A_C6_L,L,acetylcholine
185098,PFNp_a,PFNp_a,L,acetylcholine
185203,PFNp_b,PFNp_b,R,acetylcholine
185216,PFNp_d,PFNp_d,R,acetylcholine
185332,PFNp_b,PFNp_b,L,acetylcholine
185447,PFNp_b,PFNp_b,R,acetylcholine
185635,PFNp_b,PFNp_b,L,acetylcholine
185711,vDeltaA_b,vDeltaA_b_C6,R,acetylcholine
185797,vDeltaA_a,vDeltaA_a(AB)_C7,L,acetylcholine
185836,vDeltaA_a,vDeltaA_a(AB)_C0,L,acetylcholine
185934,PFNp_b,PFNp_b,R,acetylcholine
186014,PFNp_b,PFNp_b,L,acetylcholine
186070,PFNp_b,PFNp_b,R,acetylcholine
186163,PFNp_b,PFNp_b,L,acetylcholine
186295,PFNp_a,PFNp_a,L,acetylcholine
186378,vDeltaA_b,vDeltaA_b_C3,L,acetylcholine
186592,PFNp_a,PFNp_a,R,acetylcholine
186813,PFNp_a,PFNp_a,R,acetylcholine
186822,vDeltaA_a,vDeltaA_a(AB)_C6,L,acetylcholine
186896,vDeltaK,vDeltaK_C8,R,acetylcholine
186900,vDeltaA_a,vDeltaA_a(AB)_C4,L,acetylcholine
187052,PFNp_b,PFNp_b_L,L,acetylcholine
187078,vDeltaM,vDeltaM_C6,L,acetylcholine
187098,vDeltaA_a,vDeltaA_a(AB)_C3,L,acetylcholine
187211,PFNp_b,PFNp_b,R,acetylcholine
187227,FS4B,FS4B_C8_L,L,acetylcholine
187351,FS3_d,FS3_C7_R,R,acetylcholine
187401,vDeltaA_b,vDeltaA_b_C7,L,acetylcholine
188199,vDeltaA_b,vDeltaA_b_C0,R,acetylcholine
188280,vDeltaD,vDeltaD_C5,L,acetylcholine
188325,FS3_b,FS3_b_C5_L,L,acetylcholine
188466,FS4A,FS4A_C7_L,L,acetylcholine
188519,FR2,FR2_C9_R,R,acetylcholine
188526,PFNp_d,PFNp_d,L,acetylcholine
188659,vDeltaA_b,vDeltaA_b_C5,L,acetylcholine
188720,PFNp_a,PFNp_a,L,acetylcholine
188823,vDeltaK,vDeltaK_C5,R,acetylcholine
189011,FS2,FS2_C3_R,R,acetylcholine
189054,PFNp_b,PFNp_b,R,acetylcholine
189055,PFNp_d,PFNp_d,R,acetylcholine
189203,vDeltaK,vDeltaK_C3,L,acetylcholine
189258,FS3_d,FS3_C5_R,R,acetylcholine
189356,FS4A,FS4A_C4_R,R,acetylcholine
189526,FS4A,FS4A_C6_R,R,acetylcholine
189608,FS4A,FS4A_C2_L,L,acetylcholine
189634,PFNp_b,PFNp_b,L,acetylcholine
189718,FS4A,FS4A_C6_R,R,acetylcholine
189905,PFNp_b,PFNp_b,L,acetylcholine
189926,PFNp_b,PFNp_b,R,acetylcholine
189949,PFNp_a,PFNp_a,L,acetylcholine
189993,vDeltaA_a,vDeltaA_a(AB)_C1,L,acetylcholine
190073,PFNp_b,PFNp_b,R,acetylcholine
190098,PFNp_b,PFNp_b,R,acetylcholine
190208,vDeltaM,vDeltaM_C0,L,acetylcholine
190295,vDeltaA_a,vDeltaA_a(AB)_C9,R,acetylcholine
190325,FS3_d,FS3_C3_L,L,acetylcholine
190400,PFNp_b,PFNp_b,R,acetylcholine
190416,FS3_d,FS3_C9_L,L,acetylcholine
190589,FS4C,FS4C_C5_L,L,acetylcholine
190783,vDeltaA_a,vDeltaA_a(AB)_C1,L,acetylcholine
