bodyId,type,instance,somaSide,nt
203682,PAM14,PAM14(B'1m)_R,R,dopamine
203885,PAM13,PAM13(B'1ap)_R,R,dopamine
204930,PAM11,PAM11(a1)_L,L,dopamine
205884,PAM01,PAM01(y5)_R,R,dopamine
206851,PAM12,PAM12(y3)_R,R,dopamine
207122,PAM13,PAM13(B'1ap)_L,L,dopamine
207463,PAM06,PAM06(B'2m)_R,R,dopamine
209656,PAM13,PAM13(B'1ap)_L,L,dopamine
212085,PAM01,PAM01(y5)_R,R,dopamine
212160,PAM08,PAM08(y4)_R,R,dopamine
212684,PAM14,PAM14(B'1m)_L,L,dopamine
213743,PAM05,PAM05(B'2p)_R,R,dopamine
215931,PAM11,PAM11(a1)_R,R,dopamine
215940,PAM13,PAM13(B'1ap)_L,L,dopamine
217007,PAM06,PAM06(B'2m)_R,R,dopamine
217737,PAM14,PAM14(B'1m)_L,L,dopamine
218518,PAM13,PAM13(B'1ap)_R,R,dopamine
218583,PAM04,PAM04(B2)_R,R,dopamine
218843,aDT4,aDT4_R,R,serotonin
224160,PAM14,PAM14(B'1m)_R,R,dopamine
224205,PAM09,PAM09(B1ped)_R,R,dopamine
224500,PAM11,PAM11(a1)_R,R,dopamine
226452,PAM05,PAM05(B'2p)_R,R,dopamine
226708,PAM08,PAM08(y4)_R,R,dopamine
230802,PAM05,PAM05(B'2p)_L,L,dopamine
231413,PAM14,PAM14(B'1m)_L,L,dopamine
238644,PAM11,PAM11(a1)_R,R,dopamine
239873,PAM04,PAM04(B2)_L,L,dopamine
242429,PAM08,PAM08(y4)_R,R,dopamine
243477,PAM13,PAM13(B'1ap)_R,R,dopamine
252045,PAM01,PAM01(y5)_R,R,dopamine
257650,PAM02,PAM02(B'2a)_R,R,dopamine
259089,PAM02,PAM02(B'2a)_R,R,dopamine
259486,PAM04,PAM04(B2)_R,R,dopamine
273182,PAM11,PAM11(a1)_L,L,dopamine
286259,OA-ASM1,OA-ASM1_R,R,octopamine
287884,OA-VPM3,OA-VPM3_L,L,octopamine
291665,PAM02,PAM02(B'2a)_R,R,dopamine
292203,PAM04,PAM04(B2)_L,L,dopamine
297139,PAM04,PAM04(B2)_R,R,dopamine
319321,PAM11,PAM11(a1)_R,R,dopamine
325731,PAM01,PAM01(y5)_R,R,dopamine
336850,PAM03,PAM03(B2B'2a)_L,L,dopamine
341512,PAM04,PAM04(B2)_L,L,dopamine
383627,DNg28,DNg28_L,L,serotonin
506819,PAM01,PAM01(y5)_R,R,dopamine
512326,PPL105,PPL105(a'2a2)_L,L,dopamine
512968,LLPC1,LLPC1_L,L,acetylcholine
512969,LLPC1,LLPC1_L,L,acetylcholine
512970,LLPC1,LLPC1_L,L,acetylcholine
512971,LLPC1,LLPC1_L,L,acetylcholine
513354,PPM1202,PPM1202_L,L,dopamine
514032,LLPC1,LLPC1_L,L,acetylcholine
514675,LLPC1,LLPC1_L,L,acetylcholine
514868,LLPC1,LLPC1_L,L,acetylcholine
514897,LLPC1,LLPC1_L,L,acetylcholine
514904,LLPC1,LLPC1_L,L,acetylcholine
515048,PPL104,PPL104(a'3)_L,L,dopamine
515473,LLPC1,LLPC1_L,L,acetylcholine
516044,PAM04,PAM04(B2)_R,R,dopamine
516494,LLPC1,LLPC1_L,L,acetylcholine
516495,LLPC1,LLPC1_L,L,acetylcholine
518072,PAM09,PAM09(B1ped)_L,L,dopamine
518137,PAM06,PAM06(B'2m)_L,L,dopamine
518151,LLPC1,LLPC1_L,L,acetylcholine
518271,LLPC1,LLPC1_L,L,acetylcholine
519094,LLPC1,LLPC1_L,L,acetylcholine
519616,PPL107,PPL107_L,L,dopamine
