post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
FB4P_a,CRE028,275,0.033,cb_intrinsic,glutamate,6,152,0.015
FB4P_c,MBON21,122,0.033,cb_intrinsic,acetylcholine,2,0,
FB6D,SMP186,204,0.033,cb_intrinsic,acetylcholine,2,128,0.021
FB6X,CRE105,81,0.033,cb_intrinsic,acetylcholine,2,60,0.024
FB9A,SLP315,91,0.033,cb_intrinsic,glutamate,2,24,0.016
FB9A,CB1685,90,0.033,cb_intrinsic,glutamate,9,0,0.0
LCNOpm,LAL050,573,0.033,cb_intrinsic,gaba,8,80,0.009
LNOa,WED183,169,0.033,cb_intrinsic,glutamate,2,0,0.0
LNOa,LAL133_c,167,0.033,cb_intrinsic,glutamate,2,0,0.0
SA1_b,CB1178,64,0.033,cb_intrinsic,glutamate,21,0,0.0
ER3a_c,PLP046,137,0.032,cb_intrinsic,glutamate,12,0,0.0
ExR3,PS292,483,0.032,cb_intrinsic,acetylcholine,4,74,0.004
FB2J_c,M_lPNm13,54,0.032,cb_intrinsic,acetylcholine,7,0,
FB4Q_b,SMP377,81,0.032,cb_intrinsic,acetylcholine,15,19,0.003
FB5T,CRE078,65,0.032,cb_intrinsic,acetylcholine,4,55,0.032
FB5V_c,SMP471,154,0.032,cb_intrinsic,acetylcholine,2,0,
FB6I,SMP352,116,0.032,cb_intrinsic,acetylcholine,12,56,0.018
FB6M,SIP064,213,0.032,cb_intrinsic,acetylcholine,2,125,0.035
FB8G,SMP505,188,0.032,cb_intrinsic,acetylcholine,2,152,0.024
GLNO,LAL184,309,0.032,cb_intrinsic,acetylcholine,2,114,0.024
LCNOpm,SIP004,562,0.032,cb_intrinsic,acetylcholine,2,165,0.018
FB1E_b,CB2398,56,0.031,cb_intrinsic,acetylcholine,5,0,0.0
FB2H_a,M_ilPNm90,57,0.031,cb_intrinsic,acetylcholine,2,5,0.003
FB4F_a,CRE004,167,0.031,cb_intrinsic,acetylcholine,2,145,0.011
FB4Q_c,CRE003_b,108,0.031,cb_intrinsic,acetylcholine,12,0,
FB5D,SMP123,213,0.031,cb_intrinsic,glutamate,4,111,0.021
FB5W_a,SMP178,129,0.031,cb_intrinsic,acetylcholine,2,0,
FB6B,SMP408_d,90,0.031,cb_intrinsic,acetylcholine,10,74,0.015
FB6B,CB2814,88,0.031,cb_intrinsic,glutamate,10,0,0.0
FB6G,SLP405_c,105,0.031,cb_intrinsic,acetylcholine,6,26,0.009
FB6I,SMP186,113,0.031,cb_intrinsic,acetylcholine,2,56,0.018
FB6I,SMP354,112,0.031,cb_intrinsic,acetylcholine,6,42,0.013
FB7E,oviIN,205,0.031,cb_intrinsic,gaba,2,198,0.036
FB7E,ATL004,205,0.031,cb_intrinsic,glutamate,2,136,0.024
FB8H,SMP505,138,0.031,cb_intrinsic,acetylcholine,2,103,0.025
FS4A,SLP414,439,0.031,cb_intrinsic,glutamate,11,397,0.029
LCNOp,LAL043_d,206,0.031,cb_intrinsic,gaba,2,0,0.0
SA3,CB2563,111,0.031,cb_intrinsic,acetylcholine,2,0,0.0
SpsP,CB2361,110,0.031,cb_intrinsic,acetylcholine,3,0,0.0
ER1_a,WEDPN16_d,287,0.03,cb_intrinsic,acetylcholine,6,136,0.017
ER3w_a,TuBu07,286,0.03,cb_intrinsic,acetylcholine,21,375,0.04
FB1D,CB1178,116,0.03,cb_intrinsic,glutamate,21,0,0.0
FB4Q_a,CRE003_b,77,0.03,cb_intrinsic,acetylcholine,12,47,0.014
FB5AA,CRE072,147,0.03,cb_intrinsic,acetylcholine,4,53,0.012
FB5V_a,CRE028,212,0.03,cb_intrinsic,glutamate,6,0,
FB6C_a,SMP250,72,0.03,cb_intrinsic,glutamate,2,31,0.016
FB6F,SMP368,112,0.03,cb_intrinsic,acetylcholine,2,86,0.025
FB8H,SLP268,134,0.03,cb_intrinsic,glutamate,11,63,0.015
FB9A,CB1838,81,0.03,cb_intrinsic,gaba,8,0,0.0
LCNOp,SMP192,198,0.03,cb_intrinsic,acetylcholine,2,130,0.021
LCNOpm,LAL144,528,0.03,cb_intrinsic,acetylcholine,6,165,0.018
SpsP,PS246,106,0.03,cb_intrinsic,acetylcholine,2,0,0.0
ER1_a,LAL203,273,0.029,cb_intrinsic,acetylcholine,4,120,0.015
FB2A,LAL203,286,0.029,cb_intrinsic,acetylcholine,4,50,0.007
FB4I,LAL101,71,0.029,cb_intrinsic,gaba,2,46,0.015
FB4X,MBON30,259,0.029,cb_intrinsic,glutamate,2,178,0.021
FB5C,CRE072,183,0.029,cb_intrinsic,acetylcholine,4,42,0.009
FB5K,CRE107,135,0.029,cb_intrinsic,glutamate,2,352,0.049
FB5T,oviIN,59,0.029,cb_intrinsic,gaba,2,53,0.031
FB5V_c,IB005,142,0.029,cb_intrinsic,gaba,2,0,
FB6G,SLP405_b,99,0.029,cb_intrinsic,acetylcholine,11,37,0.013
FB7A,SMP352,215,0.029,cb_intrinsic,acetylcholine,12,121,0.022
FB7B,CB4157,148,0.029,cb_intrinsic,glutamate,6,0,0.0
FB8H,SMP187,130,0.029,cb_intrinsic,acetylcholine,2,26,0.006
FB9A,CB4087,78,0.029,cb_intrinsic,acetylcholine,11,0,0.0
LCNOpm,LAL034,506,0.029,cb_intrinsic,acetylcholine,8,164,0.018
LNO2,PS196_a,550,0.029,cb_intrinsic,acetylcholine,2,0,0.0
SA2_a,CB1595,63,0.029,cb_intrinsic,acetylcholine,9,0,0.0
SpsP,LAL180,104,0.029,cb_intrinsic,acetylcholine,4,0,0.0
FB1A,SIP006,75,0.028,cb_intrinsic,glutamate,2,37,0.011
FB1B,SMP167,83,0.028,cb_intrinsic,unclear,12,110,0.03
FB1E_a,CB2398,91,0.028,cb_intrinsic,acetylcholine,5,0,0.0
