tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
PFNp_b,vDeltaG,782,0.17,153,136,acetylcholine,0:87;45:71;90:95;135:200;180:58;225:117;270:117;315:37
FB3C,FC3_c,739,0.17,113,13,gaba,0:62;45:61;90:158;135:136;180:96;225:50;270:72;315:104
FB6B,FC2C,342,0.17,320,2,glutamate,0:80;45:35;90:28;135:25;180:39;225:47;270:44;315:44
FB4P_c,hDeltaM,445,0.16,308,2,glutamate,0:71;45:54;90:35;135:40;180:48;225:63;270:58;315:76
FB5L,vDeltaG,984,0.16,180,2,glutamate,0:147;45:67;90:100;135:170;180:183;225:123;270:144;315:50
LPsP,PFL2,440,0.16,17,2,acetylcholine,0:119;45:43;90:63;135:40;180:59;225:22;270:62;315:32
FB6X,hDeltaL,324,0.16,96,2,glutamate,0:26;30:25;60:25;90:27;120:46;150:37;180:37;210:21;270:21;300:18;330:41
FB1G,FR1,391,0.16,21,2,acetylcholine,0:85;45:32;90:76;135:45;180:17;225:48;270:39;315:49
FB2F_a,vDeltaH,500,0.16,248,6,glutamate,0:85;103:88;154:30;206:167;309:130
FB7D_b,hDeltaE,325,0.16,254,4,glutamate,0:34;45:27;90:42;135:24;180:37;225:68;270:44;315:49
FB5A,FR1,470,0.16,51,4,gaba,0:85;45:52;90:87;135:65;180:40;225:42;270:43;315:56
FB2B_a,FC1C_a,468,0.16,315,4,unclear,0:66;45:71;90:28;135:39;180:50;225:81;270:30;315:103
PFNp_c,vDeltaF,347,0.16,348,40,acetylcholine,0:119;45:8;90:38;135:32;180:54;225:27;270:34;315:35
FB2M_a,FS1A_c,349,0.16,41,4,glutamate,0:68;45:19;90:85;135:29;180:41;225:26;270:24;315:57
FB2F_d,FR1,364,0.16,344,4,glutamate,0:88;45:41;90:35;135:36;180:30;225:52;270:38;315:44
FB2F_c,FC2B,522,0.16,14,4,glutamate,0:80;45:84;90:59;135:68;180:41;225:53;270:43;315:94
FB4I,vDeltaK,432,0.16,10,2,glutamate,0:102;45:46;90:74;135:37;180:35;225:33;270:81;315:24
FB2I_a,FS4B,488,0.16,346,10,glutamate,0:96;45:64;90:68;135:23;180:59;225:44;270:77;315:57
FB2I_a,FS4C,630,0.16,39,10,glutamate,0:123;45:79;90:101;135:93;180:47;225:41;270:85;315:61
FB8H,FS3_d,355,0.16,349,6,glutamate,0:70;45:50;90:43;135:20;180:45;225:33;270:47;315:47
FB5Y_a,hDeltaM,565,0.15,355,2,glutamate,0:90;45:90;90:67;135:59;180:40;225:58;270:86;315:75
FB2M_a,FC2A,1891,0.15,356,4,glutamate,0:417;45:213;90:216;135:196;180:186;225:203;270:198;315:262
FB5AB,FC2B,1083,0.15,347,2,acetylcholine,0:179;45:157;90:105;135:123;180:92;225:110;270:134;315:183
FB4O,hDeltaM,899,0.15,310,6,glutamate,0:128;45:101;90:83;135:96;180:79;225:117;270:128;315:167
FB4Q_c,FC2A,755,0.15,346,3,glutamate,0:147;45:93;90:75;135:81;180:70;225:87;270:77;315:125
FB5A,FC2C,4190,0.15,347,4,gaba,0:890;45:497;90:468;135:376;180:458;225:428;270:538;315:535
FB6W,FC2B,787,0.15,315,2,glutamate,0:93;45:95;90:91;135:72;180:69;225:95;270:114;315:158
FB6Z,hDeltaF,313,0.15,304,2,glutamate,0:58;60:48;120:42;180:29;240:73;300:63
FB2J_a,hDeltaM,303,0.15,339,2,glutamate,0:52;45:34;90:40;135:24;180:35;225:23;270:47;315:48
FB7J,hDeltaD,454,0.15,331,4,glutamate,0:84;45:39;90:44;135:61;180:45;225:32;270:67;315:82
FB5I,vDeltaG,371,0.15,185,2,glutamate,0:49;45:20;90:49;135:55;180:79;225:22;270:76;315:21
FB7I,FC2B,364,0.15,111,5,glutamate,0:33;45:59;90:40;135:83;180:24;225:66;270:9;315:50
FB2F_d,FC2B,640,0.15,100,4,glutamate,0:47;45:84;90:100;135:134;180:56;225:77;270:26;315:116
FB4L,PFNd,510,0.15,162,4,dopamine,0:52;45:49;90:59;135:104;180:66;225:74;270:57;315:49
FB6U,FS2,1031,0.15,60,4,glutamate,0:138;45:176;90:154;135:156;180:84;225:112;270:84;315:127
PFNp_a,vDeltaK,1253,0.15,9,64,acetylcholine,0:268;45:156;90:174;135:153;180:101;225:53;270:273;315:75
FB6Z,FC2C,545,0.15,346,2,glutamate,0:115;45:52;90:59;135:79;180:32;225:54;270:81;315:73
FB5W_a,FC2B,744,0.15,345,6,glutamate,0:112;45:116;90:68;135:86;180:61;225:82;270:90;315:129
EPG,PFNa,797,0.15,171,46,acetylcholine,0:101;45:39;90:147;135:103;180:135;225:105;270:121;315:46
FB2F_a,vDeltaF,395,0.15,39,6,glutamate,0:145;45:5;90:78;135:31;180:50;225:56;270:18;315:12
FB2L,FC2C,374,0.15,276,4,glutamate,0:106;45:17;90:29;135:15;180:74;225:60;270:52;315:21
FB4M,PFNv,310,0.15,307,4,dopamine,0:67;45:8;90:61;135:11;180:40;225:19;270:81;315:23
FB5G_a,FC2C,385,0.15,350,4,glutamate,0:96;45:39;90:47;135:31;180:39;225:51;270:41;315:41
FB4R,hDeltaB,3647,0.14,155,6,glutamate,0:149;30:255;60:441;90:363;120:224;150:384;180:497;210:261;240:332;270:327;300:245;330:169
FB5L,vDeltaF,1407,0.14,336,2,glutamate,0:470;45:84;90:143;135:81;180:211;225:185;270:160;315:73
FB4X,FC2B,1310,0.14,353,2,glutamate,0:239;45:211;90:98;135:157;180:121;225:156;270:128;315:200
FB5AB,vDeltaF,1359,0.14,331,2,acetylcholine,0:461;45:70;90:123;135:93;180:210;225:172;270:154;315:76
FB6E,vDeltaE,611,0.14,355,2,glutamate,0:159;45:55;90:42;135:102;180:61;225:40;270:84;315:68
FB5AB,vDeltaG,1002,0.14,183,2,acetylcholine,0:158;45:72;90:106;135:160;180:179;225:128;270:158;315:41
FB7A,PFGs,599,0.14,49,6,glutamate,0:127;45:70;90:84;135:98;180:47;225:63;270:52;315:58
EPG,PFGs,703,0.14,352,46,acetylcholine,0:162;45:85;90:78;135:58;180:87;225:68;270:94;315:71
FB4B,PFNv,490,0.14,330,2,glutamate,0:119;45:25;90:89;135:22;180:61;225:33;270:112;315:29
FB4N,FC2C,664,0.14,226,2,glutamate,0:89;45:71;90:46;135:86;180:102;225:110;270:106;315:54
FB6F,FC2C,1023,0.14,322,2,glutamate,0:220;45:95;90:82;135:110;180:119;225:120;270:124;315:153
EPG,PFL1,538,0.14,186,46,acetylcholine,0:59;45:35;90:88;135:74;180:78;225:72;270:98;315:34
FB5L,vDeltaI_b,411,0.14,226,2,glutamate,0:89;90:53;135:40;180:81;225:57;270:62;315:29
FB2E,PFL1,590,0.14,233,4,glutamate,0:74;45:32;90:71;135:64;180:100;225:74;270:105;315:70
FB7G,FS2,715,0.14,28,4,glutamate,0:95;45:139;90:111;135:61;180:64;225:66;270:107;315:72
FB7K,PFGs,755,0.14,336,4,glutamate,0:207;45:45;90:74;135:77;180:90;225:103;270:58;315:101
FB5X,PFL2,629,0.14,312,6,glutamate,0:108;45:101;90:46;135:27;180:115;225:45;270:124;315:63
FB1G,FC1A,313,0.14,344,2,acetylcholine,0:72;45:25;90:31;135:36;180:42;225:22;270:36;315:49
