body_pre,body_post,weight
12506,22084,114
513379,11433,114
77090,520573,114
565465,45155,114
13985,13395,113
30653,24671,113
12506,10969,113
27618,19100,113
12506,513284,113
17402,12797,113
14963,11433,113
13395,515760,113
17816,515232,113
521813,39413,113
513702,520338,113
17078,11433,113
514045,20715,113
19100,18670,113
512362,33552,113
10099,519941,113
513463,522992,113
19602,61553,113
15458,11053,113
22086,513518,113
77311,18221,113
15674,114050,112
17402,14308,112
15674,60361,112
15674,75651,112
12506,51555,112
525062,14464,112
22086,18586,112
10969,40390,112
536441,10744,112
30206,11433,112
11516,112250,112
14881,25939,112
42059,17419,112
19760,15616,112
12802,515192,112
17402,13985,112
14308,13395,112
30968,11497,112
10043,12656,112
556346,10099,112
12104,29135,112
23325,55527,112
12706,10324,112
13395,454614,112
43127,27109,112
34226,19602,112
515687,67055,111
12802,23090,111
88342,522973,111
515130,513034,111
17816,23846,111
12797,14308,111
10099,25792,111
18504,11307,111
23325,29135,111
31656,531009,111
53043,22086,111
512928,46073,111
31756,10537,111
12506,51159,111
22835,11497,111
520817,514125,111
11340,10624,111
38334,11497,111
18065,39883,111
18065,63277,111
515963,519346,111
520817,15458,111
100809,516110,111
519508,63277,111
515760,16440,110
14482,13985,110
521534,11433,110
38182,30068,110
77311,43040,110
21664,37817,110
30068,520811,110
17816,514184,110
529127,45151,110
42750,17816,110
18419,523786,110
19100,527475,110
19100,531009,110
518220,64541,110
522973,516110,110
13418,63277,109
520817,26417,109
42267,17816,109
37751,31656,109
527297,12656,109
41849,513702,109
515760,14308,109
12802,513702,109
27460,11512,109
30781,17816,109
17171,12656,109
12359,124466,109
11605,11886,109
11512,94433,109
17820,12083,109
15674,98337,109
17820,524596,109
513283,14727,109
517726,113489,109
18065,557395,109
513702,59969,109
518220,118980,108
533946,17728,108
15674,518608,108
568502,11886,108
520817,518194,108
14963,10324,108
11053,523807,108
555342,523806,108
565465,31715,108
44909,11433,108
10969,55527,108
12506,520581,108
20233,23281,108
32718,25045,108
18899,45151,108
15616,46073,108
520468,10514,108
38334,22086,108
527653,23315,108
13985,519347,108
535347,14464,107
30781,11497,107
12449,61845,107
10324,22001,107
11516,114426,107
522991,23281,107
12706,12656,107
19125,26443,107
42739,33598,107
13217,39753,107
11340,23281,107
515192,515130,107
12802,32718,107
18633,11886,107
15674,115624,107
533946,24387,107
515464,34924,107
10099,34949,107
10043,11433,107
23281,11433,107
41849,10537,107
17820,35912,107
27618,20520,107
49869,514180,107
10514,109866,107
515234,15210,107
12359,74366,107
522972,10624,106
17552,45155,106
28248,27133,106
43127,11497,106
10043,11886,106
21932,519140,106
18779,88342,106
20233,11326,106
11326,11886,106
18113,13101,106
17171,11433,106
18065,533944,106
10099,46073,106
515687,56726,106
18744,513520,106
10514,521644,106
11433,20715,106
520817,29135,106
12506,17454,106
10324,46764,106
522972,11326,105
522972,517548,105
522972,23281,105
11989,61845,105
12359,148713,105
515234,79549,105
16440,13985,105
535347,512319,105
100809,17419,105
