pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
FB8G,FS2,544,548,0.0188,0.0211,-0.16
ER3d,ExR1,7998,6307,0.146,0.1631,-0.16
EPG,ExR6,10169,6870,0.4883,0.5454,-0.16
FC3,hDeltaH,1858,1470,0.0636,0.057,0.16
FB4Z,hDeltaA,2977,2623,0.0591,0.066,-0.16
hDeltaB,hDeltaJ,4232,3365,0.1114,0.1243,-0.16
SA1,,4246,1,0.0,0.0,0.16
hDeltaE,FS3,1694,1727,0.0685,0.0614,0.16
FB2F,hDeltaC,2930,1789,0.0663,0.0594,0.16
FB2B,FC1C,2335,3311,0.1614,0.1799,-0.16
hDeltaG,vDeltaE,653,771,0.0448,0.0402,0.16
FB6O,vDeltaD,1113,935,0.0771,0.0691,0.16
FB7L,hDeltaE,1366,865,0.045,0.0403,0.16
vDeltaM,,4437,6,0.0,0.0,0.16
FB7E,,6920,60,0.0,0.0,0.15
FB5X,FS1A,739,1130,0.029,0.0323,-0.15
FB5F,,5177,23,0.0,0.0,0.15
FC2B,FC2B,253,413,0.006,0.0067,-0.15
TuBu08,ER4d,1305,1000,0.0229,0.0206,0.15
FB5I,hDeltaJ,532,422,0.014,0.0156,-0.15
FC1D,FB2K,502,411,0.0666,0.074,-0.15
hDeltaG,FS1A,569,869,0.0223,0.0248,-0.15
FB5AA,hDeltaG,937,685,0.0323,0.0291,0.15
PEG,ExR6,772,420,0.0371,0.0333,0.15
vDeltaE,,4034,0,0.0,0.0,0.15
vDeltaD,hDeltaL,2858,2551,0.0777,0.0864,-0.15
ER6,EL,905,843,0.0121,0.0109,0.15
FC3,FB5R,245,719,0.0794,0.0881,-0.15
hDeltaB,FS2,1413,1413,0.0489,0.0543,-0.15
hDeltaH,FB5R,676,1983,0.219,0.243,-0.15
hDeltaM,FS1B,399,629,0.0355,0.0394,-0.15
ER3p,EPG,10492,9585,0.0511,0.0566,-0.15
PFL3,LAL141,1197,694,0.1235,0.1369,-0.15
FB6A,PFGs,2774,3518,0.0843,0.0934,-0.15
FB1G,FS3,711,896,0.0287,0.0319,-0.15
hDeltaJ,FC2A,3062,3841,0.0952,0.1055,-0.15
FB2C,,4211,7,0.0,0.0,0.15
hDeltaE,FB7B,736,653,0.1424,0.1575,-0.15
FC3,FB5S,441,378,0.0516,0.0466,0.14
FB6D,hDeltaK,549,506,0.0205,0.0185,0.14
FB4P,FB4Z,401,536,0.029,0.0321,-0.14
FC3,vDeltaG,1882,1321,0.1404,0.127,0.14
hDeltaL,vDeltaD,844,715,0.0584,0.0529,0.14
PFL2,DNa03,1571,808,0.0451,0.0498,-0.14
FB6G,vDeltaC,474,480,0.0328,0.0297,0.14
vDeltaB,FB1I,668,590,0.1978,0.1791,0.14
PFNm,vDeltaB,1110,1737,0.1123,0.124,-0.14
FB2M,PFL3,1010,950,0.0166,0.015,0.14
ExR4,EPG,1660,1512,0.0081,0.0089,-0.14
hDeltaC,vDeltaC,701,711,0.0485,0.0439,0.14
hDeltaC,FB5I,1686,1657,0.2249,0.2039,0.14
ER3m,,4076,7,0.0,0.0,0.14
EPG,PEN_a,6100,5128,0.1409,0.1554,-0.14
FB4G,vDeltaM,1977,1492,0.1442,0.1308,0.14
hDeltaJ,FB4A,2044,2000,0.3021,0.274,0.14
FB2H,FC1A,460,386,0.0422,0.0383,0.14
vDeltaD,,3756,1,0.0,0.0,0.14
FC2A,FB2M,410,346,0.06,0.0661,-0.14
FB5AB,hDeltaC,1751,1082,0.0396,0.036,0.14
FB8E,vDeltaA,816,990,0.0382,0.0421,-0.14
FB4F,FB4F,641,644,0.0421,0.0382,0.14
FB4M,,5655,43,0.0,0.0,0.14
LCNOpm,,3756,2,0.0,0.0,0.14
vDeltaC,,3749,2,0.0,0.0,0.14
FB7A,FC2C,517,493,0.0109,0.012,-0.14
vDeltaG,hDeltaH,1789,1437,0.0613,0.0557,0.14
FS2,FB7J,284,409,0.0478,0.0526,-0.14
FB5AA,,4764,25,0.0,0.0,0.14
FB5K,,2464,151,0.0,0.0,-0.14
FB4E,hDeltaI,3560,2632,0.0963,0.0876,0.14
FB1G,FC2C,891,848,0.0187,0.0206,-0.14
hDeltaL,FB7J,800,1151,0.1347,0.148,-0.14
PFNp,vDeltaB,442,570,0.0447,0.0407,0.14
,FB7I,400,337,0.0521,0.0474,0.14
EL,,4493,20,0.0,0.0,0.13
FB5V,hDeltaI,885,790,0.0239,0.0263,-0.13
FB6W,FC2B,787,1048,0.0186,0.0169,0.13
FB5S,hDeltaH,634,510,0.0217,0.0198,0.13
PFR,CRE048,534,381,0.0643,0.0706,-0.13
PEN_b,ExR8,1305,1612,0.2287,0.2509,-0.13
FB5Z,,4274,16,0.0,0.0,0.13
PFR,LAL002,2791,1044,0.4929,0.4494,0.13
ER3a,ER3m,6815,4670,0.3018,0.2752,0.13
PFL3,DNa03,468,239,0.0134,0.0147,-0.13
PFNp,vDeltaE,842,1215,0.0577,0.0633,-0.13
FC1B,FB2B,1917,1817,0.12,0.1315,-0.13
ExR1,ER3m,743,612,0.0329,0.0361,-0.13
vDeltaG,FC2A,631,652,0.0196,0.0179,0.13
FC1B,FB2I,429,426,0.0327,0.0298,0.13
FB6I,FC2C,412,325,0.0087,0.0079,0.13
PFNa,FC1F,2604,2774,0.2705,0.2472,0.13
FS2,FS3,358,446,0.0145,0.0159,-0.13
FB6C,FB6H,531,448,0.0738,0.0674,0.13
FB5Q,PFL3,1300,1480,0.0214,0.0234,-0.13
PFL2,LAL127,573,337,0.0551,0.0603,-0.13
FB5Z,hDeltaG,996,740,0.0344,0.0314,0.13
FR1,MBON30,809,695,0.0414,0.0379,0.13
PEN_a,ExR6,1246,689,0.0598,0.0547,0.13
hDeltaA,PFL2,1447,1380,0.0453,0.0414,0.13
IbSpsP,PFNa,3101,3120,0.0798,0.0872,-0.13
PFNp,vDeltaI,3097,1778,0.1339,0.1225,0.13
ExR5,PFR,667,621,0.0098,0.0089,0.13
hDeltaA,PFR,3229,3601,0.0472,0.0517,-0.13
FB6G,hDeltaL,857,753,0.0233,0.0255,-0.13
FB5I,vDeltaF,1065,605,0.072,0.0658,0.13
PFNd,PFR,3513,3280,0.0514,0.047,0.13
ER3a,,3530,4,0.0,0.0,0.13
SLP414,FS4A,439,397,0.0312,0.0285,0.13
vDeltaB,,3735,9,0.0,0.0,0.13
FB1G,FC1F,797,852,0.0828,0.0759,0.13
FB1B,,4287,22,0.0,0.0,0.12
P6-8P9,,3372,2,0.0,0.0,0.12
FB8G,,6689,75,0.0,0.0,0.12
FB1A,vDeltaC,441,538,0.0305,0.0332,-0.12
PEG,ExR4,6377,4171,0.3107,0.3383,-0.12
FB6E,FB6E,325,406,0.0832,0.0907,-0.12
FB7I,FS3,533,660,0.0215,0.0235,-0.12
FB5A,FC2C,4190,3332,0.0882,0.081,0.12
FB6A,FC3,695,545,0.0228,0.0249,-0.12
PFNp,FS3,387,479,0.0156,0.017,-0.12
PFNd,hDeltaB,20165,16057,0.4297,0.3952,0.12
FB6M,ExR3,814,842,0.0542,0.0499,0.12
PFL3,AOTU042,2287,935,0.0543,0.0591,-0.12
FC2A,FS1B,297,459,0.0264,0.0287,-0.12
FB6V,FC2B,367,584,0.0087,0.0094,-0.12
hDeltaJ,FB4X,2571,2221,0.2911,0.2682,0.12
FB6A,FS3,1353,1417,0.0547,0.0504,0.12
FB2F,hDeltaG,1219,913,0.042,0.0387,0.12
FS4A,SMP505,945,757,0.103,0.1117,-0.12
PFNa,FC3,2633,1748,0.0865,0.0797,0.12
PFNp,PFNp,26544,22032,0.3833,0.3534,0.12
FB3C,FS2,947,786,0.0328,0.0302,0.12
FB4Z,,3121,1,0.0,0.0,0.12
FB5A,PFL2,757,728,0.0237,0.0218,0.12
vDeltaL,FB4H,621,641,0.1028,0.0948,0.12
FB6V,,4602,34,0.0,0.0,0.12
PFL3,LAL121,2671,1882,0.3679,0.3395,0.12
FB2B,FC1A,1225,1046,0.1124,0.1037,0.12
AOTU046,ER2,662,494,0.0096,0.0088,0.12
ER1,PEN_a,3500,2463,0.0808,0.0746,0.11
vDeltaA,FS4B,392,600,0.0765,0.0707,0.11
FB6E,vDeltaC,919,1113,0.0636,0.0688,-0.11
ExR1,ER5,5624,4235,0.2187,0.2365,-0.11
hDeltaB,hDeltaI,3575,3141,0.0967,0.1046,-0.11
FB2B,FC1E,1140,1272,0.1205,0.1302,-0.11
FB2H,FC1D,608,476,0.053,0.049,0.11
hDeltaF,hDeltaF,468,319,0.013,0.0141,-0.11
PFNa,FB2D,1306,1295,0.0698,0.0754,-0.11
FS1A,FS1A,1244,1581,0.0488,0.0452,0.11
PFL1,AOTU037,507,133,0.1142,0.1058,0.11
FB1C,,4409,34,0.0,0.0,0.11
FB8G,hDeltaE,3349,2191,0.1102,0.1022,0.11
FB5E,hDeltaH,539,514,0.0185,0.0199,-0.11
IbSpsP,PFNp,5521,5362,0.0797,0.086,-0.11
FB5AB,FB4Y,660,552,0.028,0.026,0.11
ER4m,ER4m,14580,7789,0.5206,0.4829,0.11
PEN_b,EL,3365,3760,0.045,0.0485,-0.11
FB7K,,3171,8,0.0,0.0,0.11
FB5B,,3069,6,0.0,0.0,0.11
LNO2,,2887,2,0.0,0.0,0.11
FB4X,hDeltaH,751,616,0.0257,0.0239,0.11
PFNa,FC1B,4151,4198,0.2914,0.3136,-0.11
FB5E,FC2A,427,521,0.0133,0.0143,-0.11
hDeltaE,FB7D,600,500,0.0818,0.076,0.11
hDeltaG,FC2C,1460,1174,0.0307,0.0285,0.11
FB5P,,3233,11,0.0,0.0,0.1
hDeltaD,FB8C,1382,1315,0.2862,0.2662,0.1
FB6X,,3138,9,0.0,0.0,0.1
LNOa,,2856,3,0.0,0.0,0.1
FB8F,hDeltaD,954,888,0.0449,0.0482,-0.1
vDeltaK,PFL2,679,659,0.0212,0.0198,0.1
LNO2,LNO1,1564,979,0.1427,0.1534,-0.1
FB3A,,2677,0,0.0,0.0,0.1
FB6G,,4468,40,0.0,0.0,0.1
FB2D,hDeltaJ,746,495,0.0196,0.0183,0.1
FB6D,,6925,95,0.0,0.0,0.1
FB6E,vDeltaD,1169,1174,0.081,0.0868,-0.1
ER3m,ER3m,10798,8698,0.4782,0.5126,-0.1
FB2H,FC1C,456,622,0.0315,0.0338,-0.1
ER3w,ER3w,22099,10639,0.5962,0.5564,0.1
FC1B,FB2F,573,467,0.0397,0.037,0.1
FC2B,FB5A,2810,2364,0.1156,0.1239,-0.1
hDeltaF,FS3,1399,1704,0.0566,0.0606,-0.1
FB5AB,FC3,1069,825,0.0351,0.0376,-0.1
FB5A,hDeltaH,906,747,0.031,0.029,0.1
FB5E,,3604,23,0.0,0.0,0.1
FB2A,,2753,4,0.0,0.0,0.1
FB1F,,2607,1,0.0,0.0,0.1
ExR5,FB4Y,954,804,0.0405,0.0378,0.1
SAF,,2647,2,0.0,0.0,0.1
FB4B,hDeltaB,5373,4978,0.1145,0.1225,-0.1
FB7J,hDeltaE,1237,816,0.0407,0.038,0.1
FB5O,,3342,18,0.0,0.0,0.1
FB8I,,4637,47,0.0,0.0,0.1
FB2E,FB2I,1175,1195,0.0895,0.0837,0.1
FB5A,FC3,1268,977,0.0417,0.0446,-0.1
FB5V,FB5R,242,684,0.0784,0.0838,-0.1
FB6W,,3325,18,0.0,0.0,0.1
hDeltaD,FB7G,483,357,0.0993,0.1062,-0.1
FB7I,FC2B,364,570,0.0086,0.0092,-0.1
PFL3,LAL126,1321,558,0.0925,0.0989,-0.1
vDeltaE,hDeltaL,829,623,0.0225,0.0211,0.1
FB4C,,5445,66,0.0,0.0,0.1
hDeltaL,FS3,1386,1684,0.056,0.0599,-0.1
hDeltaI,FB5D,639,446,0.0916,0.0858,0.09
FB5A,hDeltaC,692,441,0.0157,0.0147,0.09
vDeltaA,FB8H,576,576,0.1285,0.1371,-0.09
FB6G,hDeltaC,597,434,0.0135,0.0144,-0.09
FB4Q,hDeltaJ,1040,791,0.0274,0.0292,-0.09
hDeltaJ,FB5I,1370,1392,0.1828,0.1713,0.09
FB6C,FS3,496,602,0.0201,0.0214,-0.09
FB4Q,FB4Q,477,477,0.0552,0.0517,0.09
ER3d,ER3d,49985,31616,0.6729,0.6308,0.09
FB6R,,2479,1,0.0,0.0,0.09
FB2F,hDeltaL,547,469,0.0149,0.0159,-0.09
ER5,ER5,15478,10111,0.602,0.5647,0.09
FB5M,,2676,6,0.0,0.0,0.09
PFNp,FC2B,1568,2151,0.037,0.0347,0.09
FB5A,FC2A,1954,2076,0.0608,0.057,0.09
FB4D,hDeltaJ,3464,2316,0.0912,0.0856,0.09
ER3a,ExR1,4650,3080,0.0849,0.0796,0.09
FB9C,,2482,2,0.0,0.0,0.09
vDeltaL,,2556,4,0.0,0.0,0.09
FB4Q,FB4A,545,552,0.0805,0.0756,0.09
EPGt,,2361,0,0.0,0.0,0.09
FC3,FS2,1317,1263,0.0456,0.0486,-0.09
vDeltaM,FB4H,517,616,0.0856,0.0911,-0.09
FB4D,hDeltaC,773,494,0.0175,0.0164,0.09
hDeltaL,FS1A,553,713,0.0217,0.0204,0.09
FB4H,,5534,72,0.0,0.0,0.09
FB4P,PFL3,2081,2302,0.0342,0.0364,-0.09
FB4N,FC2A,579,698,0.018,0.0192,-0.09
FB4J,,2849,12,0.0,0.0,0.09
FB4J,hDeltaI,758,579,0.0205,0.0193,0.09
hDeltaH,PFL2,427,474,0.0134,0.0142,-0.09
FB1H,PFNv,434,394,0.021,0.0197,0.09
FB7C,hDeltaE,869,577,0.0286,0.0269,0.09
PFL2,LAL120,537,243,0.0137,0.0146,-0.09
hDeltaF,FB6U,546,566,0.0762,0.0809,-0.09
FB6B,,3284,23,0.0,0.0,0.09
ER3d,EPG,11495,8913,0.0559,0.0527,0.09
ER4m,ER4d,429,389,0.0075,0.008,-0.09
SAF,vDeltaA,1217,1263,0.0569,0.0537,0.09
hDeltaE,hDeltaE,498,331,0.0164,0.0154,0.09
FB1G,FC3,1968,1336,0.0646,0.0609,0.09
vDeltaF,hDeltaH,1464,1219,0.0501,0.0473,0.09
FB6V,FS2,502,426,0.0174,0.0164,0.08
ER3m,EPG,4085,3569,0.0199,0.0211,-0.08
FB7E,FB7J,723,893,0.1217,0.1148,0.08
PFR,FB4F,464,544,0.0305,0.0323,-0.08
FB7L,FC2C,1164,951,0.0245,0.0231,0.08
ER2,ER2,40704,31160,0.588,0.5559,0.08
FB5AA,FC2B,481,665,0.0114,0.0107,0.08
vDeltaH,,2067,0,0.0,0.0,0.08
GLNO,,2374,7,0.0,0.0,0.08
EPG,FB4Y,1094,934,0.0465,0.044,0.08
PEN_b,EPG,9671,8417,0.0471,0.0497,-0.08
LCNOpm,PFNp,10715,9133,0.1547,0.1465,0.08
FB2G,FC2A,763,913,0.0237,0.0251,-0.08
FB5G,hDeltaM,1986,1469,0.0785,0.0743,0.08
ER3a,ER3a,15915,10585,0.5377,0.5678,-0.08
ER2,ExR5,1080,930,0.0873,0.0827,0.08
OA-VPM3,hDeltaB,646,591,0.0138,0.0145,-0.08
FC1B,FC3,1375,939,0.0452,0.0428,0.08
FB5A,hDeltaG,759,651,0.0262,0.0276,-0.08
FB4F,FB4E,715,696,0.0777,0.0737,0.08
SMP048,IbSpsP,678,568,0.0401,0.0381,0.08
FB2I,FB2I,5044,5206,0.3841,0.3645,0.08
FB5G,FS1A,810,1172,0.0318,0.0335,-0.08
FB9C,hDeltaD,814,743,0.0383,0.0404,-0.08
ER5,EL,10073,10997,0.1347,0.1419,-0.08
ExR5,ExR2,793,576,0.0717,0.068,0.07
FB8B,,2384,10,0.0,0.0,0.07
FB5Q,FS1A,729,1054,0.0286,0.0301,-0.07
EPG,PFGs,703,764,0.0214,0.0203,0.07
FB7G,FS2,715,612,0.0248,0.0235,0.07
FB5I,PFR,1504,1458,0.022,0.0209,0.07
hDeltaF,vDeltaC,678,798,0.0469,0.0493,-0.07
FB4N,FC2B,661,1017,0.0156,0.0164,-0.07
PEN_b,ExR4,456,288,0.0222,0.0234,-0.07
FC1B,FC1E,508,551,0.0537,0.0564,-0.07
vDeltaG,PFR,382,410,0.0056,0.0059,-0.07
FB6I,,5526,84,0.0,0.0,0.07
FB4P,hDeltaA,5130,4252,0.1019,0.107,-0.07
FB5S,,1812,0,0.0,0.0,0.07
PFNp,FC2A,2716,3229,0.0845,0.0887,-0.07
FB5X,FB5W,1059,1296,0.1997,0.1902,0.07
hDeltaH,PFL3,1448,1434,0.0238,0.0227,0.07
vDeltaM,FB5V,396,459,0.0213,0.0224,-0.07
FB6C,hDeltaF,4540,2728,0.1264,0.1205,0.07
FB5F,FS1A,345,497,0.0135,0.0142,-0.07
ER3p,ER3w,996,539,0.0269,0.0282,-0.07
FB5Y,FB6K,514,498,0.0943,0.09,0.07
FB5L,vDeltaI,573,343,0.0248,0.0236,0.07
FR1,FB4C,627,608,0.0528,0.0554,-0.07
PEN_a,EL,4799,5212,0.0642,0.0673,-0.07
FB2B,FC1D,1006,892,0.0877,0.0918,-0.07
FB8I,hDeltaF,404,243,0.0113,0.0107,0.07
FB8A,,2058,8,0.0,0.0,0.07
FB4I,vDeltaK,432,421,0.0261,0.0249,0.07
PFNa,hDeltaJ,1368,931,0.036,0.0344,0.07
FB6T,,2981,115,0.0,0.0,-0.07
EPG,ER6,4580,1745,0.3659,0.3498,0.07
FC1A,FC1E,666,657,0.0704,0.0673,0.07
FB4P,FR1,791,841,0.0275,0.0263,0.06
FB2B,FB2F,709,648,0.0491,0.0514,-0.06
FB2F,FR2,284,522,0.053,0.0554,-0.06
ER3p,EL,1558,1689,0.0208,0.0218,-0.06
FB6K,,1749,2,0.0,0.0,0.06
EPG,IbSpsP,771,712,0.0457,0.0477,-0.06
FB6Z,,3095,33,0.0,0.0,0.06
LPsP,EPG,3870,3333,0.0188,0.0197,-0.06
FB4P,FB4P,892,1229,0.0534,0.0558,-0.06
FB2F,vDeltaF,823,534,0.0556,0.0581,-0.06
FB7J,,1637,0,0.0,0.0,0.06
FB5I,hDeltaC,2654,1887,0.06,0.0627,-0.06
ExR4,ExR7,1058,1653,0.1541,0.1609,-0.06
FB6K,hDeltaG,1570,1333,0.0542,0.0566,-0.06
FB1G,FS4A,629,595,0.0446,0.0427,0.06
hDeltaA,PFL3,3881,3864,0.0638,0.0611,0.06
FB2G,hDeltaM,1010,756,0.0399,0.0383,0.06
FB5H,,2710,105,0.0,0.0,-0.06
FB1E,FC2C,1208,1002,0.0254,0.0244,0.06
FB4Z,FB4P,478,604,0.0286,0.0274,0.06
FC2B,oviIN,631,435,0.0116,0.0121,-0.06
FB5J,,1639,2,0.0,0.0,0.06
PFNa,FC1A,2914,2810,0.2674,0.2786,-0.06
hDeltaL,vDeltaC,474,553,0.0328,0.0342,-0.06
FB6O,,1662,3,0.0,0.0,0.06
FB7D,,1566,1,0.0,0.0,0.06
FB7F,,2159,90,0.0,0.0,-0.06
vDeltaL,hDeltaA,2406,1823,0.0478,0.0459,0.06
LCNOpm,PFNm,4116,4019,0.1727,0.1799,-0.06
FB8C,hDeltaD,1540,1389,0.0724,0.0754,-0.06
FC3,PFR,4462,4370,0.0653,0.0627,0.06
PFNp,LCNOp,1745,1539,0.2638,0.2533,0.06
FB4G,vDeltaL,1221,1183,0.0989,0.103,-0.06
vDeltaJ,,1495,0,0.0,0.0,0.06
FB7E,hDeltaE,565,383,0.0186,0.0179,0.06
FC1D,FB2B,1294,1076,0.081,0.0779,0.06
FB1J,,1493,1,0.0,0.0,0.06
FB4H,vDeltaL,1116,999,0.0904,0.087,0.06
FB6D,hDeltaF,2047,1241,0.057,0.0548,0.06
PFNp,vDeltaD,736,663,0.051,0.049,0.06
EPG,Delta7,19896,17286,0.3848,0.3702,0.06
FB6P,FB5AB,523,374,0.0427,0.041,0.06
FB6A,hDeltaL,1218,942,0.0331,0.0319,0.05
PFGs,,1673,6,0.0,0.0,0.05
FB1I,,1628,5,0.0,0.0,0.05
FB3E,FC3,662,459,0.0217,0.0209,0.05
FB7B,,2074,85,0.0,0.0,-0.05
hDeltaE,FS4C,409,371,0.0615,0.0639,-0.05
FB2B,FC1F,980,1186,0.1018,0.1057,-0.05
hDeltaA,hDeltaI,1388,1170,0.0376,0.039,-0.05
FC1A,FC1C,887,1088,0.0613,0.0591,0.05
hDeltaG,FB5S,1796,1642,0.21,0.2025,0.05
FB6S,,4314,139,0.0,0.0,-0.05
FB4L,,1766,10,0.0,0.0,0.05
FB7A,FB7H,362,426,0.1177,0.122,-0.05
FB2K,FB2M,479,380,0.0701,0.0726,-0.05
FB5V,hDeltaA,2705,2062,0.0537,0.0519,0.05
FB4D,hDeltaB,512,428,0.0109,0.0105,0.05
FS2,FS2,753,655,0.0261,0.0252,0.05
FC2A,FC2A,491,537,0.0153,0.0147,0.05
FB4Q,PFL2,460,497,0.0144,0.0149,-0.05
hDeltaK,,1305,1,0.0,0.0,0.05
FB5V,FB4Z,4375,5111,0.3167,0.3062,0.05
FB6P,,1338,2,0.0,0.0,0.05
FB6Q,,1882,15,0.0,0.0,0.05
LCNOp,,1578,8,0.0,0.0,0.05
vDeltaK,hDeltaA,3168,2585,0.0629,0.065,-0.05
FB8C,,1934,77,0.0,0.0,-0.05
hDeltaI,FS1A,408,579,0.016,0.0166,-0.05
ER2,EL,7036,7535,0.0941,0.0972,-0.05
FB5T,,1426,5,0.0,0.0,0.05
FB5U,,1209,0,0.0,0.0,0.05
FB4I,,1940,17,0.0,0.0,0.05
FB6J,,1190,0,0.0,0.0,0.05
FB6A,hDeltaK,2916,3071,0.1088,0.1124,-0.05
FB6N,vDeltaE,1173,1594,0.0804,0.083,-0.05
FB4P,hDeltaH,403,345,0.0138,0.0134,0.04
FB6Y,,1225,2,0.0,0.0,0.04
FB6A,ExR3,543,630,0.0362,0.0373,-0.04
ExR6,EPG,6236,5296,0.0303,0.0313,-0.04
FC1C,FB2D,1566,1394,0.0837,0.0812,0.04
Delta7,PFGs,1443,1702,0.0439,0.0452,-0.04
FB9A,,1451,8,0.0,0.0,0.04
PFNv,FB4M,1170,797,0.0584,0.0602,-0.04
FB5K,vDeltaG,1547,1236,0.1154,0.1189,-0.04
FB5A,FS3,820,960,0.0332,0.0341,-0.04
ExR1,EL,4754,4786,0.0636,0.0618,0.04
FB5Q,PFL2,472,507,0.0148,0.0152,-0.04
EPG,EL,9155,9762,0.1224,0.126,-0.04
FB1B,vDeltaA,405,459,0.019,0.0195,-0.04
FB8E,,3149,49,0.0,0.0,0.04
FB7C,,2717,39,0.0,0.0,0.04
FB4F,vDeltaK,1028,1079,0.0621,0.0639,-0.04
PFNm,PFNm,6598,6015,0.2768,0.2692,0.04
hDeltaL,FB6J,1061,2159,0.2137,0.2078,0.04
vDeltaK,FB4H,859,935,0.1422,0.1383,0.04
FB7B,vDeltaB,429,625,0.0434,0.0446,-0.04
PFNd,FB4N,1059,965,0.0863,0.0839,0.04
FB2H,FC1E,486,488,0.0514,0.05,0.04
FB6N,,1437,10,0.0,0.0,0.04
hDeltaB,vDeltaM,4009,3428,0.2924,0.3004,-0.04
FB6U,hDeltaL,1880,1552,0.0511,0.0525,-0.04
Delta7,Delta7,26539,24615,0.5133,0.5272,-0.04
FB5Q,FB5A,1317,1007,0.0542,0.0528,0.04
FB5L,vDeltaG,984,784,0.0734,0.0754,-0.04
FC1C,FB3C,638,396,0.07,0.0681,0.04
hDeltaL,FS2,1885,1743,0.0653,0.067,-0.04
FB5Q,hDeltaM,1256,1007,0.0497,0.051,-0.04
FB7H,,1164,5,0.0,0.0,0.04
LAL129,FB5V,563,606,0.0303,0.0295,0.04
FB5C,,6125,121,0.0,0.0,0.04
hDeltaB,FB4G,1172,1360,0.1954,0.1906,0.04
PFL3,LAL040,1221,907,0.0723,0.0705,0.04
hDeltaB,PFR,12504,13072,0.1829,0.1875,-0.04
hDeltaM,PFL3,2428,2463,0.0399,0.039,0.04
PFNm,vDeltaD,697,637,0.0483,0.0471,0.03
hDeltaF,FC2C,2223,1971,0.0468,0.0479,-0.03
,FB1G,470,384,0.0655,0.0671,-0.03
,ExR6,640,378,0.0307,0.03,0.03
FB6M,,6870,189,0.0,0.0,-0.03
SpsP,PFNd,2384,2261,0.0489,0.0501,-0.03
FB4Q,PFL3,1047,1063,0.0172,0.0168,0.03
FB3D,,857,0,0.0,0.0,0.03
FB6H,,1942,68,0.0,0.0,-0.03
FB4N,hDeltaI,1640,1364,0.0444,0.0454,-0.03
FB1E,hDeltaF,656,404,0.0183,0.0179,0.03
ER2,EPG,28584,24084,0.1391,0.1423,-0.03
FB5G,FB5A,1881,1444,0.0774,0.0757,0.03
FB2D,FC1A,2789,2638,0.2559,0.2616,-0.03
EPG,PEN_b,6230,5157,0.1446,0.1415,0.03
FB5R,,778,0,0.0,0.0,0.03
FB2B,FB2I,461,491,0.0351,0.0344,0.03
FC2A,PFL3,2512,2666,0.0413,0.0422,-0.03
FB7I,FC2C,695,614,0.0146,0.0149,-0.03
hDeltaJ,PFR,655,682,0.0096,0.0098,-0.03
FS3,FS3,655,760,0.0265,0.027,-0.03
ER4d,ER4d,39443,32961,0.692,0.6782,0.03
,FB6A,1223,1239,0.0493,0.0484,0.03
FB1I,vDeltaB,728,1052,0.0736,0.0751,-0.03
FB8C,hDeltaE,702,486,0.0231,0.0227,0.03
FB1A,FC2C,516,438,0.0109,0.0107,0.03
FB2B,FC3,831,610,0.0273,0.0278,-0.03
FB6U,FS2,1031,946,0.0357,0.0364,-0.03
FB4X,FC2B,1310,1881,0.0309,0.0304,0.03
ER3a,EL,2635,2781,0.0352,0.0359,-0.03
FB5W,FC2B,839,1205,0.0198,0.0194,0.03
FB2D,FC1B,3516,3363,0.2468,0.2513,-0.03
FC2A,FS1A,930,1254,0.0365,0.0358,0.03
FB4E,PFR,1566,1626,0.0229,0.0233,-0.03
FB7E,hDeltaF,1081,693,0.0301,0.0306,-0.02
FB4H,vDeltaK,2935,2945,0.1774,0.1745,0.02
FB5X,hDeltaA,1647,1322,0.0327,0.0333,-0.02
FB6A,FS2,893,791,0.0309,0.0304,0.02
FB3E,,2509,75,0.0,0.0,-0.02
ER4d,EPG,12335,10010,0.06,0.0591,0.02
ExR6,PEN_a,5089,3822,0.1175,0.1158,0.02
FB5AA,FR1,497,561,0.0173,0.0175,-0.02
FB7G,FS3,430,496,0.0174,0.0176,-0.02
ER3m,ER3a,3908,2495,0.132,0.1338,-0.02
hDeltaD,FS3,691,796,0.0279,0.0283,-0.02
Delta7,P6-8P9,710,1016,0.469,0.475,-0.02
PFNd,hDeltaJ,1005,707,0.0265,0.0261,0.02
hDeltaB,hDeltaG,736,606,0.0254,0.0257,-0.02
vDeltaK,PFL3,536,564,0.0088,0.0089,-0.02
LPsP,PEG,2894,2719,0.1385,0.1401,-0.02
FB5L,,1861,34,0.0,0.0,0.02
PFNp,vDeltaK,2582,2664,0.1561,0.1578,-0.02
FB8D,,858,11,0.0,0.0,0.02
EPG,ExR4,3464,2103,0.1688,0.1706,-0.02
FB6Z,hDeltaL,1249,993,0.034,0.0336,0.02
FB4Q,FB4P,472,616,0.0282,0.028,0.01
FB2I,FB2E,1250,1413,0.337,0.3338,0.01
FB5B,hDeltaC,961,648,0.0217,0.0215,0.01
FC3,vDeltaI,1513,941,0.0654,0.0648,0.01
PEN_a,ExR4,635,385,0.0309,0.0312,-0.01
PEN_a,FB4Y,1717,1563,0.0729,0.0736,-0.01
EPG,PEG,6154,5765,0.2945,0.2971,-0.01
,FB2F,664,585,0.046,0.0464,-0.01
FB6W,hDeltaG,916,751,0.0316,0.0319,-0.01
ExR7,EPG,1888,1543,0.0092,0.0091,0.01
FB4G,,5348,121,0.0,0.0,0.01
hDeltaH,PFR,1339,1375,0.0196,0.0197,-0.01
