pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
VES041,PFL3,705,320,0.0116,0.0051,1.16
,FB5Y,217,434,0.0327,0.0733,-1.16
FB7H,vDeltaB,259,824,0.0262,0.0588,-1.16
vDeltaE,FC2B,340,1119,0.008,0.0181,-1.15
hDeltaI,FB4F,595,296,0.0391,0.0176,1.14
PS196,ExR4,730,197,0.0356,0.016,1.14
IbSpsP,PEN_a,1012,1701,0.0234,0.0515,-1.13
FB4Y,FB4F,341,827,0.0224,0.0491,-1.13
FS1B,,27114,2440,0.0001,0.0006,-1.12
vDeltaF,FS2,454,185,0.0157,0.0071,1.12
hDeltaK,FB6A,3596,8081,0.145,0.3154,-1.12
,FB4O,284,411,0.0347,0.0756,-1.12
TuBu07,ExR1,1224,396,0.0223,0.0102,1.11
FB4Y,vDeltaI,776,1054,0.0336,0.0726,-1.11
PFNd,FB4M,701,1002,0.035,0.0756,-1.11
FB7H,vDeltaD,621,269,0.043,0.0199,1.1
FB4M,hDeltaA,1098,1868,0.0218,0.047,-1.1
vDeltaH,FC2A,631,1541,0.0196,0.0423,-1.1
ExR7,FB1C,759,234,0.0571,0.0265,1.1
hDeltaF,FC2B,191,613,0.0045,0.0099,-1.1
EL,ER4d,4178,7643,0.0733,0.1573,-1.1
FB2G,PFL2,1181,572,0.037,0.0172,1.1
FB2G,FS1A,673,428,0.0264,0.0122,1.1
FB2C,FB2F,255,479,0.0177,0.038,-1.1
hDeltaK,FB6D,865,1782,0.1397,0.2982,-1.09
vDeltaF,hDeltaG,1582,601,0.0546,0.0255,1.09
FB4X,hDeltaA,301,513,0.006,0.0129,-1.09
vDeltaH,FR1,211,505,0.0073,0.0158,-1.08
ExR2,PEN_b,247,451,0.0057,0.0124,-1.08
FB1C,PFL3,249,561,0.0041,0.0089,-1.08
P6-8P9,PFNa,444,191,0.0114,0.0053,1.07
FB1C,vDeltaI,331,438,0.0143,0.0302,-1.07
ER2,ER4m,2212,2663,0.079,0.1651,-1.06
PFL2,,30297,2456,0.0002,0.0006,-1.06
FS4C,,20426,1960,0.0001,0.0004,-1.06
FB5N,FC2A,446,239,0.0139,0.0066,1.06
FB2G,FC2C,1455,601,0.0306,0.0146,1.06
,ER1,1787,581,0.0745,0.0357,1.05
FB6H,FB6I,260,470,0.0713,0.1482,-1.05
EPG,PFNm,223,438,0.0094,0.0196,-1.05
FB2I,FB2M,263,418,0.0385,0.0799,-1.05
hDeltaH,FC2A,251,596,0.0078,0.0164,-1.05
,FS3,584,318,0.0236,0.0113,1.05
FS1A,LAL022,481,907,0.0442,0.0914,-1.05
hDeltaL,FC2B,594,1804,0.014,0.0291,-1.04
FS4B,SMP497,253,657,0.1313,0.2707,-1.04
FB8A,vDeltaA,262,598,0.0123,0.0254,-1.04
FB1C,PFNp,1637,3031,0.0236,0.0486,-1.03
SA1,SA1,252,479,0.0588,0.1206,-1.03
PPL108,FB5V,257,585,0.0138,0.0285,-1.03
FB5L,vDeltaE,562,1516,0.0385,0.079,-1.03
hDeltaG,FB5U,247,433,0.0523,0.107,-1.03
ExR2,ER2,618,1033,0.0089,0.0184,-1.03
FB6C,PFGs,2101,1179,0.0639,0.0313,1.02
,FB4P,565,1514,0.0338,0.0687,-1.02
FB4M,hDeltaJ,625,908,0.0165,0.0335,-1.02
,ER3d,2197,727,0.0296,0.0145,1.02
FB4Y,FB5V,178,402,0.0096,0.0196,-1.02
ExR2,EPG,959,1628,0.0047,0.0096,-1.01
FB2A,FB2I,439,966,0.0334,0.0676,-1.01
ER6,EPG,1925,770,0.0094,0.0045,1.01
,FS4A,713,349,0.0506,0.0251,1.01
FB4Z,FB4Z,239,582,0.0173,0.0349,-1.0
FB7K,vDeltaB,948,670,0.0959,0.0478,1.0
FB1E,hDeltaC,901,305,0.0204,0.0101,0.99
FB5Z,FB6J,147,614,0.0296,0.0591,-0.99
,FB5H,263,479,0.0316,0.0629,-0.99
LPsP,Delta7,525,949,0.0102,0.0203,-0.99
FB4B,PFNd,988,458,0.0203,0.0101,0.98
PFR,FB5I,295,634,0.0394,0.078,-0.98
FB4Y,PFR,231,479,0.0034,0.0069,-0.98
FB8H,FC2C,844,1450,0.0178,0.0353,-0.98
SA1,FS4A,205,402,0.0145,0.0289,-0.98
PFR,FB4X,615,1137,0.0696,0.1373,-0.98
FB4O,hDeltaJ,1236,445,0.0325,0.0164,0.98
FB2M,FC2B,1191,880,0.0281,0.0142,0.98
FB4Y,PFL3,476,985,0.0078,0.0156,-0.98
LAL203,ER1,747,256,0.0311,0.0158,0.97
PFR,LAL147,844,236,0.0752,0.0382,0.97
FB2I,FB2A,295,439,0.0295,0.0579,-0.97
FB1H,FC2A,347,775,0.0108,0.0213,-0.97
FB5B,FC2B,170,497,0.004,0.008,-0.96
PFL3,LAL193,424,302,0.0776,0.1512,-0.96
FS2,,18859,1700,0.0001,0.0004,-0.96
SMP347,FB6A,847,448,0.0341,0.0175,0.96
EL,ER2,2942,4628,0.0425,0.0826,-0.95
P6-8P9,EPGt,414,177,0.1393,0.0718,0.95
ER3w,EL,1639,869,0.0219,0.0112,0.95
FB1H,PFR,341,687,0.005,0.0099,-0.95
PFNm,LCNOpm,1122,1107,0.064,0.1238,-0.95
FB2F,,34131,5,0.0002,0.0,0.94
LPsP,PFNd,314,568,0.0064,0.0126,-0.94
FB4M,hDeltaB,3391,5625,0.0723,0.1384,-0.94
FC2A,FB4Q,901,502,0.1042,0.0544,0.93
hDeltaF,hDeltaL,756,315,0.0206,0.0107,0.93
Delta7,PFNv,2195,4054,0.1061,0.203,-0.93
Delta7,PEN_b,6061,9800,0.1406,0.2689,-0.93
PFNp,,45330,153,0.0002,0.0,0.93
FB1I,vDeltaC,612,358,0.0423,0.0221,0.93
FS4A,SMP305,623,413,0.1668,0.3174,-0.93
EL,EPG,3709,5837,0.018,0.0345,-0.93
FB7B,FB7K,243,413,0.0738,0.1404,-0.93
