type_pre,side_pre,type_post,offset_wedges,weight
Delta7,both,EPG,-7,155
Delta7,both,EPG,-6,109
Delta7,both,EPG,-5,100
Delta7,both,EPG,-4,61
Delta7,both,EPG,-3,40
Delta7,both,EPG,-2,130
Delta7,both,EPG,-1,373
Delta7,both,EPG,0,4678
Delta7,both,EPG,1,461
Delta7,both,EPG,2,92
Delta7,both,EPG,3,33
Delta7,both,EPG,4,78
Delta7,both,EPG,5,92
Delta7,both,EPG,6,156
Delta7,both,EPG,7,106
Delta7,both,PEN_a(PEN1),-7,16
Delta7,both,PEN_a(PEN1),-6,13
Delta7,both,PEN_a(PEN1),-5,15
Delta7,both,PEN_a(PEN1),-4,5
Delta7,both,PEN_a(PEN1),-3,3
Delta7,both,PEN_a(PEN1),-2,54
Delta7,both,PEN_a(PEN1),-1,145
Delta7,both,PEN_a(PEN1),0,2216
Delta7,both,PEN_a(PEN1),1,143
Delta7,both,PEN_a(PEN1),2,82
Delta7,both,PEN_a(PEN1),3,8
Delta7,both,PEN_a(PEN1),4,8
Delta7,both,PEN_a(PEN1),5,9
Delta7,both,PEN_a(PEN1),6,19
Delta7,both,PEN_a(PEN1),7,18
Delta7,both,Delta7,-7,2951
Delta7,both,Delta7,-6,794
Delta7,both,Delta7,-5,2895
Delta7,both,Delta7,-4,802
Delta7,both,Delta7,-3,2244
Delta7,both,Delta7,-2,508
Delta7,both,Delta7,-1,1574
Delta7,both,Delta7,0,3948
Delta7,both,Delta7,1,1498
Delta7,both,Delta7,2,540
Delta7,both,Delta7,3,2226
Delta7,both,Delta7,4,848
Delta7,both,Delta7,5,2926
Delta7,both,Delta7,6,861
Delta7,both,PEG,-7,41
Delta7,both,PEG,-6,43
Delta7,both,PEG,-5,42
Delta7,both,PEG,-4,21
Delta7,both,PEG,-3,9
Delta7,both,PEG,-2,84
Delta7,both,PEG,-1,427
Delta7,both,PEG,0,4803
Delta7,both,PEG,1,398
Delta7,both,PEG,2,94
Delta7,both,PEG,3,17
Delta7,both,PEG,4,25
Delta7,both,PEG,5,39
Delta7,both,PEG,6,48
Delta7,both,PEG,7,32
PEG,R,EPG,-2,6
PEG,R,EPG,-1,17
PEG,R,EPG,0,85
PEG,R,EPG,1,50
PEG,R,EPG,2,11
PEG,R,EPG,3,5
PEG,R,PEN_b(PEN2),-4,11
PEG,R,PEN_b(PEN2),-2,287
PEG,R,PEN_b(PEN2),0,14
PEG,R,PEN_b(PEN2),1,23
PEG,R,PEN_b(PEN2),3,324
PEG,R,PEN_b(PEN2),5,10
PEG,R,PEN_a(PEN1),-4,2
PEG,R,PEN_a(PEN1),-2,13
PEG,R,PEN_a(PEN1),0,6
PEG,R,PEN_a(PEN1),1,4
PEG,R,PEN_a(PEN1),3,16
PEG,R,PEG,-2,2
PEG,R,PEG,-1,3
PEG,R,PEG,0,12
PEG,R,PEG,1,48
PEG,R,PEG,2,2
PEG,R,PEG,3,1
Delta7,both,EPGt,-7,2
Delta7,both,EPGt,-6,1
Delta7,both,EPGt,-1,16
Delta7,both,EPGt,0,1032
Delta7,both,EPGt,1,2
Delta7,both,EPGt,7,1
PEG,L,EPG,-6,2
PEG,L,EPG,-4,40
PEG,L,EPG,-3,1
PEG,L,EPG,-2,11
PEG,L,EPG,-1,50
