body_pre,body_post,weight,type_pre,type_post
25494,527199,97,ER3d_e,ER3d_e
529385,523786,97,PEN_b(PEN2),EPG
20520,524654,97,hDeltaB,PFGs
46590,17820,97,PFNd,hDeltaB
24459,23520,97,ER4d,ER4d
19125,526548,97,EPG,EL
19791,23315,96,ER4d,ER4d
77360,515192,96,PFNd,hDeltaB
35912,26242,96,PFGs,hDeltaK
524073,14871,96,EPG,EL
50327,11673,96,hDeltaI,PFL2
67167,513032,96,hDeltaA,PFL3
514045,10539,96,PEN_a(PEN1),EPG
26443,512319,96,PEG,ER6
515130,515193,96,hDeltaA,PFR_a
19100,30068,96,hDeltaB,hDeltaA
22923,567101,96,hDeltaM,PFL3
512362,50327,96,hDeltaB,hDeltaI
516110,81159,96,ER6,PEG
76194,556346,96,PEN_a(PEN1),EPG
22657,13914,96,PFGs,hDeltaK
25982,17816,96,PFNd,hDeltaB
131313,46764,96,EPG,EL
38334,34924,95,PFNd,hDeltaB
30313,19100,95,PFNv,hDeltaB
39413,516110,95,PEG,ER6
28701,53618,95,ER3d_b,ER3p_b
45969,14464,95,PEG,ER6
39813,520818,95,PEN_b(PEN2),EPG
17874,513266,95,hDeltaM,PFL3
527199,42264,95,ER3d_e,ER3d_e
527199,37817,95,ER3d_e,ER3d_e
515192,539328,95,hDeltaB,PFGs
10539,522992,95,EPG,PEG
17379,518378,95,Delta7,PFL3
28339,19791,95,ER4d,ER4d
38084,19169,95,ER3m,ER3m
11989,51159,95,EPG,EL
19323,13094,95,ER4d,ER4d
513284,525062,95,EPG,PEG
28559,42739,95,PFNv,hDeltaB
512927,512513,94,PEN_a(PEN1),EPG
18932,515675,94,PEN_b(PEN2),EPG
515295,19100,94,PFNd,hDeltaB
84758,100809,94,EPG,PEG
31756,19602,94,PFNd,hDeltaB
513464,20007,94,EPG,PEG
42264,37817,94,ER3d_e,ER3d_e
529385,520581,94,PEN_b(PEN2),EPG
73853,23159,94,hDeltaI,PFL3
519332,21932,94,Delta7,PEN_b(PEN2)
26913,513702,94,PFNd,hDeltaB
525061,26064,94,PFGs,hDeltaK
17816,33293,94,hDeltaB,PFR_a
513284,15616,94,EPG,EPG
40768,45969,94,EPGt,PEG
42739,49288,94,hDeltaB,PFR_a
19100,50327,93,hDeltaB,hDeltaI
42231,530071,93,hDeltaI,PFL3
17801,521646,93,hDeltaA,hDeltaI
46262,28701,93,ER3d_b,ER3d_b
76194,511778,93,PEN_a(PEN1),EL
521646,15210,93,hDeltaI,PFL3
38084,47186,93,ER3m,ER3m
515464,19602,93,PFNd,hDeltaB
18779,519941,93,PEN_a(PEN1),EPG
18779,519328,93,PEN_a(PEN1),EPG
30329,11673,93,hDeltaM,PFL2
16800,41715,93,PFGs,hDeltaK
512513,22084,93,EPG,EL
515675,16008,93,EPG,PEG
19760,513284,93,PEN_b(PEN2),EPG
512513,18932,92,EPG,PEN_b(PEN2)
519941,522973,92,EPG,PEG
517418,32718,92,PFNd,hDeltaB
107195,61845,92,EPG,EL
25773,30313,92,PFNv,PFNv
53043,515192,92,PFNd,hDeltaB
17874,530071,92,hDeltaM,PFL3
22240,15713,92,PEN_b(PEN2),EPG
22302,19715,92,hDeltaM,PFL2
524876,49288,92,hDeltaB,PFR_a
514126,34188,92,EPG,EL
20007,14464,92,PEG,ER6
23315,527653,92,ER4d,ER4d
23315,22461,92,ER4d,ER4d
11989,81159,92,EPG,PEG
28190,102689,92,PFNv,PFNv
42231,14729,92,hDeltaI,PFL2
69704,511842,92,hDeltaI,PFL2
23180,52191,91,PFGs,hDeltaK
42750,17820,91,PFNd,hDeltaB
23090,28146,91,hDeltaB,PFR_a
519144,39753,91,EPG,PEG
17820,59994,91,hDeltaB,PFR_b
16008,512319,91,PEG,ER6
18419,520581,91,PEN_a(PEN1),EPG
20404,13094,91,ER4d,ER4d
16360,512793,91,EPG,PEG
18504,46764,91,PEN_a(PEN1),EL
22461,25797,91,ER4d,ER4d
18744,46764,91,PEN_a(PEN1),EL
519140,511844,91,EPG,PEG
19760,512928,91,PEN_b(PEN2),EPG
37817,42264,91,ER3d_e,ER3d_e
22240,511778,91,PEN_b(PEN2),EL
35461,31656,91,PFNd,hDeltaB
512928,14552,91,EPG,EL
10539,58834,90,EPG,EL
524876,28248,90,hDeltaB,PFGs
27195,29836,90,hDeltaM,PFL3
27191,27179,90,PFNv,PFNv
37817,527199,90,ER3d_e,ER3d_e
20653,22461,90,ER4d,ER4d
27195,511842,90,hDeltaM,PFL2
529385,511778,90,PEN_b(PEN2),EL
543506,42059,90,EPGt,PEG
42231,513266,90,hDeltaI,PFL3
512514,517763,90,EPG,EL
34924,56542,90,hDeltaB,hDeltaK
19323,22461,90,ER4d,ER4d
31656,524654,90,hDeltaB,PFGs
12449,81159,90,EPG,PEG
11307,520818,90,EPG,EPG
76194,520581,90,PEN_a(PEN1),EPG
46590,512362,90,PFNd,hDeltaB
19169,38084,90,ER3m,ER3m
520812,14871,90,EPG,EL
69515,524876,90,PFNd,hDeltaB
20520,531755,89,hDeltaB,PFR_a
515675,512513,89,EPG,EPG
513283,84758,89,PEN_a(PEN1),EPG
17816,25549,89,hDeltaB,PFR_b
520818,46764,89,EPG,EL
14464,535347,89,ER6,PEG
19323,28339,89,ER4d,ER4d
42059,516110,89,PEG,ER6
20818,10539,89,PEN_a(PEN1),EPG
19602,82613,89,hDeltaB,hDeltaI
515234,69064,89,hDeltaA,PFR_a
16818,23315,89,ER4d,ER4d
16818,28339,89,ER4d,ER4d
28339,22461,89,ER4d,ER4d
46590,17816,88,PFNd,hDeltaB
21664,527199,88,ER3d_e,ER3d_e
22461,19323,88,ER4d,ER4d
20653,28339,88,ER4d,ER4d
50808,19410,88,ER4d,ER4d
19100,52041,88,hDeltaB,PFGs
520812,20007,88,EPG,PEG
27109,515130,88,hDeltaB,hDeltaA
20653,23315,88,ER4d,ER4d
21345,22086,88,PFNd,hDeltaB
13094,19737,88,ER4d,ER4d
26443,14464,88,PEG,ER6
17801,13490,88,hDeltaA,PFL2
15654,40768,88,Delta7,EPGt
521813,294178,88,EPG,EL
40390,11307,88,PEN_b(PEN2),EPG
511841,21932,87,Delta7,PEN_b(PEN2)
17816,25024,87,hDeltaB,hDeltaK
13392,99820,87,hDeltaH,FC2B
