type_pre,type_post,weight
FB8I,hDeltaC,1
FB8I,SMP239,1
FB8I,SMP430,1
FB8I,SMP408_a,1
FB8I,CB4155,1
FB8I,PRW004,1
FB8I,SMP172,1
FB8I,SMP408_d,1
FB4D_b,MBON21,1
FB4D_b,PFL2,1
FB4D_b,SMP150,1
FB4D_b,FB2M_a,1
FB4D_b,CRE001,1
FB4D_b,FB2G_a,1
FB4D_b,FB4D_a,1
FB4D_b,FB2B_a,1
FB4D_b,FB4P_a,1
FB4D_b,CRE043_a3,1
FB4D_b,FB4A_b,1
FB4D_b,FS3_a,1
FB4D_b,MBON30,1
FB4D_b,hDeltaG,1
FB4D_b,vDeltaL,1
FB4D_b,FB1C,1
SMP020,FB4N,1
EL,LAL011,1
EL,mALD3,1
EL,SMP489,1
EL,FB4N,1
SMP218,FB8C,1
ER3w_a,DNc01,1
SLP360_c,FB8B,1
LAL075,FB5K,1
FB4P_b,LNO1,1
FB4P_b,SMP377,1
FB4P_b,PEG,1
FB4P_b,SMP006,1
FB4P_b,ATL037,1
FB4P_b,LAL198,1
FB4P_b,SMP056,1
FB4P_b,CRE054,1
FB4P_b,FS3_c,1
FB4P_b,FB5U,1
FB4P_b,vDeltaE,1
FB4P_b,FC1F,1
FB4P_b,CRE028,1
FB4P_b,SMP253,1
FB4P_b,SMP507,1
FB4P_b,PLP162,1
FB4P_b,hDeltaF,1
FB4P_b,AVLP751m,1
FB4P_b,IB017,1
FB4P_b,LAL160,1
FB4P_b,oviIN,1
FB4P_b,DNp62,1
FB4P_b,SMP586,1
LAL060_a,FB5V_a,1
EL,FB4F_a,1
EL,WED155,1
EL,FB4Z_c,1
EL,FB5W_b,1
EL,FS3_d,1
CB2719,FB2G_a,1
CB2719,FB4P_a,1
CB2719,FB2G_b,1
CB2719,ExR6,1
LAL030_b,FB5J,1
LAL030_b,FB4P_a,1
WED038,SpsP,1
PEG,FB8I,1
PEG,SpsP,1
PEG,hDeltaM,1
PEG,FB7E,1
PEG,PFNv,1
PEG,LAL014,1
PEG,P6-8P9,1
FB2M_a,FB3A,1
FB2M_a,PFGs,1
FB2M_a,vDeltaD,1
FB2M_a,PFNp_c,1
FB2M_a,LHPV5b2,1
FB2M_a,hDeltaF,1
WED168,FB4E_a,1
SLP441,FB9C,1
SLP441,FB6T,1
SLP441,FB6U,1
CRE067,ER6,1
CRE067,FB5Z,1
CRE067,FB5E,1
CB3065,FB2D,1
CB2881,FB4Y,1
PLP122_a,FB6C_b,1
PLP122_a,FB5G_c,1
PLP122_a,FB7G,1
PLP122_a,FB1H,1
CB1731,FB5M,1
CB1731,FB4F_a,1
CB1731,FB4Y,1
SMP476,FB4G,1
SMP476,FB5I,1
SMP476,FB7I,1
SMP476,ExR3,1
WEDPN17_a2,FB4L,1
WEDPN17_a2,FB2B_a,1
FC2A,PPL107,1
FC2A,vDeltaD,1
FC2A,CL123_b,1
FC2A,PLP221,1
FB7I,DNc01,1
FB7I,SMP302,1
FB7I,LHAD1d2,1
FB7I,FB5G_c,1
FB7I,vDeltaA_b,1
FB7I,SAF,1
FB7I,CB4110,1
FB7I,FB5Q,1
LHPV3a2,FB4F_c,1
LoVP84,FB5Q,1
AVLP149,ExR3,1
LHAV4d1,SA2_a,1
CRE015,LCNOpm,1
CRE015,FB2K,1
SMP404,FB8I,1
SMP404,FB1A,1
SMP404,FB5B,1
SMP404,FB1B,1
SMP404,FB7I,1
ER3d_a,ER3p_a,1
CB4225,FB5D,1
CB4225,FB5N,1
CB0937,FB1B,1
CB0937,FB1A,1
SLP315,SA3,1
LoVC24,FB6M,1
CB1731,FB2C,1
CB1731,FB5T,1
vDeltaK,hDeltaG,1
vDeltaK,FB5Z,1
vDeltaK,hDeltaL,1
CB2713,ExR6,1
SMP240,FB6F,1
SMP240,FS2,1
SMP240,FB5P,1
CL167,FB5W_a,1
WED040_a,SpsP,1
WED040_a,LPsP,1
PAM07,FB4O,1
LAL067,FB2D,1
PRW031,FB6K,1
CB2262,FB6T,1
CB2262,FB2M_b,1
FB7J,FB6K,1
CRE071,FB1G,1
CRE071,FC1F,1
CRE071,FB6P,1
CRE071,FB2L,1
CRE071,FC3_c,1
CRE071,FB5Z,1
CRE071,FB4A_a,1
CRE071,PFL3,1
CRE071,FR2,1
CRE071,FB5V_a,1
CRE071,FB1C,1
ER3p_a,ER4m,1
ER3p_a,ExR2,1
SMP493,FB4B,1
CB1396,ExR3,1
LAL050,FB5L,1
CB2447,ER3a_b,1
CB2447,FB2D,1
SMP024,FB2F_a,1
SMP024,FB2M_b,1
SMP024,FB6B,1
SMP024,FB5O,1
M_lvPNm37,FB8H,1
SMP091,FB1G,1
AOTU047,FB2I_a,1
AOTU047,SA3,1
SMP208,FB5J,1
CB2948,SA1_b,1
CB1200,FB1E_b,1
CB1200,FB1D,1
CB1200,FB6A_c,1
CB2029,FB1J,1
CB4143,IbSpsP,1
SMP025,FB6C_a,1
FB3C,FB5X,1
FB3C,CB3339,1
FB3C,CRE107,1
FB3C,PPL103,1
FB3C,ExR6,1
CB2430,ExR8,1
CB2430,ExR6,1
CB2430,FB2K,1
CB1987,FB7F,1
FB5O,FB5I,1
FB5O,SMP188,1
FB5O,SMP384,1
FB5O,SLP247,1
FB5O,CRE048,1
FB5O,FB6A_c,1
FB5O,MBON33,1
FB5O,LHCENT5,1
FB5O,SMP184,1
FB5O,FB2M_a,1
FB5O,CRE027,1
FB5O,CB2719,1
FB5O,FB2G_b,1
FB5O,SMP086,1
FB5O,FB2A,1
FB5O,CRE025,1
FB5O,FB4F_a,1
FB5O,FB5G_c,1
FB5O,SMP153_b,1
FB5O,CB2245,1
FB5O,FB4A_b,1
FB5O,FB5G_a,1
FB5O,LHAV9a1_b,1
FB5O,PAM02,1
FB5O,SMP453,1
FB5O,CB3441,1
FB5O,PLP042_b,1
FB5O,PAM12,1
FB5O,SMP174,1
FB5O,CRE043_d,1
FB5O,SIP066,1
FB5O,SMP542,1
FB5O,vDeltaD,1
FB5O,FS4C,1
FB5O,PAM03,1
FB5O,SMP190,1
FB5O,SMP185,1
FB5O,CRE043_c2,1
SMP297,SA3,1
MBON19,FB5AA,1
MBON19,FB6O,1
M_lPNm11C,FB2H_a,1
EL,SMP170,1
EL,FB2B_a,1
EL,CRE051,1
EL,LAL051,1
SMP159,FB5P,1
SMP159,FB1H,1
CRE052,ER3a_b,1
CRE052,FB5M,1
CB2467,FB8D,1
FC2C,VES054,1
FC2C,SMP006,1
FC2C,CB2784,1
FC2C,LAL150,1
FC2C,CRE059,1
FC2C,LAL067,1
CB4022,FB2E,1
CB4022,FS4C,1
CB4022,FB1A,1
CB4022,FB8D,1
CB4022,FS4B,1
CB2671,ExR3,1
LHPV5d1,FB8F_a,1
PFNp_c,IbSpsP,1
FC1A,LC33,1
SLP372,FB6T,1
SLP372,FB6F,1
LAL059,FB2A,1
FB5D,SMP012,1
FB5D,SMP050,1
FB5D,CL236,1
FB5D,ATL017,1
FB5D,LHPV7c1,1
FB5D,SMP011_a,1
FB5D,LAL147_a,1
FB5D,SMP116,1
FB5D,CRE005,1
FB5D,LHPD2c7,1
FB5D,SMP110,1
FB5D,CB3874,1
FB5D,FB5I,1
FB5D,SMP055,1
FB5D,FB5Y_b,1
FB5D,CRE043_b,1
FB5D,FB5G_a,1
FB5D,IB017,1
FB5D,CB4082,1
FB5D,FB7I,1
FB5D,FB6P,1
FB5D,FB6X,1
FB5D,CRE015,1
FB5D,CB3391,1
FB5D,aIPg1,1
FB5D,SMP079,1
FB5D,CB3441,1
FB5D,FB5Z,1
FB5D,PAM04,1
FB5D,FB8I,1
FB5D,SIP003_b,1
FB5D,PAL01,1
FB5D,SMP030,1
FB5D,ATL034,1
FB5D,SMP193,1
FB5D,PAM05,1
FB5D,FS3_d,1
FB5D,FS4B,1
FB5D,PPL107,1
FB5D,LHPV5e1,1
FB5D,FB6W,1
FB5D,FB9B_e,1
FB5D,PPL106,1
FB5D,SMP049,1
FB5D,LHPV9b1,1
FB5D,SMP011_b,1
CB4087,FB8D,1
PS191,EPG,1
LAL150,FB2B_b,1
hDeltaE,FB8E,1
hDeltaE,FB6R,1
ATL012,FB4P_b,1
ATL012,FB5Q,1
hDeltaF,FB8I,1
SMP703m,FB5D,1
CB4120,SA3,1
ER3p_b,CB4183,1
ER3p_b,ER3d_d,1
LAL043_a,FB4I,1
LoVP81,FB5X,1
LoVP81,FB4Q_b,1
CB3060,FB5AA,1
CB4139,SA2_b,1
CB4139,SA3,1
CB2018,ExR6,1
CB2018,FB5AB,1
CB2018,FB2D,1
CB2018,FB4A_a,1
CB2018,FB2B_b,1
FB8G,SMP539,1
FB8G,CB4122,1
FB8G,SLP405_a,1
FB8G,FB5S,1
FB8G,PAM09,1
FB8G,IPC,1
CB2869,vDeltaI_b,1
CB2869,PFNp_d,1
SMP297,FB7H,1
ER3p_a,ER3d_a,1
LHPV6f5,FB7M,1
GNG595,FB5F,1
CRE057,FB4C,1
CRE057,ExR7,1
CRE057,FB1G,1
CRE057,FB1A,1
CRE057,FB2G_b,1
SIP089,FB1G,1
FB1C,SMP450,1
FB1C,SMP254,1
FB1C,FB4K,1
FB1C,SMP371_b,1
FB1C,CRE042,1
FB1C,SMP144,1
FB1C,SMP452,1
FB1C,ER2_a,1
FB1C,LNOa,1
FB1C,MBON25,1
FB1C,LAL110,1
FB1C,SMP573,1
FB1C,aIPg7,1
FB1C,LHCENT14,1
FB1C,CRE005,1
FB1C,ExR1,1
FB1C,PLP032,1
LHAV5e1,FB2H_a,1
SMP484,FB6I,1
FS1B_b,SMP581,1
FS1B_b,CB3055,1
FS1B_b,SMP238,1
LHAV4d1,FB8F_b,1
SIP073,FB2G_b,1
SMP347,FB7A,1
FC1F,FB5X,1
PS268,PFL1,1
PS268,FB4L,1
LAL030_b,FB5V_a,1
ER3d_c,ER3p_a,1
FB5M,FB4B,1
FB5M,FB2H_a,1
FB5M,FB4P_c,1
FB5M,FB4Q_a,1
FB5M,FB1G,1
FB5M,FB4M,1
FB5M,FB2D,1
FB5M,FB4E_c,1
FB5M,FB3D,1
FB5M,FB4A_a,1
FB5M,EPGt,1
FB5M,FB4I,1
FB5M,FB4D_b,1
FB5M,FB5F,1
FB5M,FB5S,1
FB5M,FB4Z_b,1
FB4M,LAL086,1
FB4M,vDeltaD,1
FB4M,CB0325,1
FB4M,CB3250,1
FB4M,GNG587,1
FB4M,LAL050,1
FB4M,vDeltaI_a,1
FB4M,FB2M_b,1
FB4M,PS249,1
FB4M,CRE024,1
FB4M,CRE094,1
FB4M,SMP385,1
FB4M,LAL101,1
FB4M,CRE048,1
FB4M,SMP489,1
FB4M,PPL103,1
FB4M,LoVC9,1
CB3394,FB5E,1
CB3394,FB4P_c,1
SMP312,FB4M,1
CL199,FB4F_b,1
CL199,FB1C,1
CL199,FB4P_c,1
CL199,FB4P_b,1
FB5F,CRE023,1
FB5F,LHPV5e3,1
FB5F,M_l2PNl20,1
FB5F,CL339,1
FB5F,CRE065,1
FB5F,SMP180,1
FB5F,SIP065,1
FB5F,SMP237,1
FB5F,SMP153_a,1
FB5F,SIP064,1
FB5F,FB6N,1
FB5F,CRE081,1
FB5F,SMP014,1
FB5F,SMP143,1
FB5F,FB4F_c,1
FB5F,SMP151,1
FB5F,CB3910,1
FB5F,FB4Q_a,1
FB5F,SMP568_d,1
FB5F,FB4P_a,1
FB5F,CB1072,1
FB5F,FC3_a,1
FB5F,SMP198,1
FB5F,FB6P,1
FB5F,SMP085,1
FB5F,LoVP80,1
FB5F,AOTU030,1
FB5F,CRE034,1
FB5F,CB2469,1
FB5F,MBON25-like,1
FB5F,FB4Q_c,1
FB5F,CB2846,1
FB5F,CB3362,1
FB5F,CB4194,1
FB5F,SMP018,1
FB5F,CRE095,1
FB5F,FB5S,1
FB5F,CB1902,1
FB5F,CB4082,1
FB5F,FC1C_a,1
FB5F,FB5W_b,1
FB5F,PFNp_d,1
FB5F,FS3_a,1
FB5F,CB2784,1
FB5F,aIPg2,1
FB5F,MBON04,1
FB5F,LAL024,1
FB5F,SMP449,1
FB5F,LAL123,1
FB5F,PLP246,1
FB5F,SMP048,1
FB5F,LAL040,1
KCg-s3,FB5I,1
SMP322,FB5A,1
SMP248_d,FB1C,1
SMP248_d,FB5F,1
SMP248_d,FB6Y,1
SMP248_d,FB4N,1
SMP248_d,FB2G_b,1
SMP009,FB2A,1
SMP009,FB5Z,1
CB2066,FB2C,1
ER3d_e,LAL003,1
SMP245,FB5Q,1
SMP245,FB6R,1
ER3m,SMP238,1
SMP728m,FB5D,1
SMP728m,FB6S,1
LoVP81,FB6X,1
LoVP81,FB6V,1
FR1,FB5W_a,1
FR1,SMP184,1
FR1,CB2784,1
CB4112,FB3E,1
CB4112,ExR6,1
CB4112,FB5AB,1
SMP210,FB5C,1
SMP210,FB2B_a,1
LHAV4d1,SA1_b,1
FC1A,FB4Y,1
SMP408_c,FB6F,1
SMP408_c,FB7L,1
PLP159,FB2F_c,1
PLP159,FB4L,1
PLP013,FB5A,1
CB2066,FB2L,1
FC1D,ExR6,1
FC1D,SAF,1
FC1D,vDeltaA_a,1
FC1D,EPGt,1
FC1D,PAM09,1
FC1D,CRE019,1
FB2I_a,FB7L,1
FB2I_a,PEN_b(PEN2),1
FB2I_a,SA2_a,1
FB2I_a,FB3D,1
FB2I_a,FB1C,1
CB2425,FB2D,1
FC3_a,FB4P_b,1
FC3_a,FB1B,1
CB3907,FB1G,1
LHAV2a2,FB1G,1
AOTU102m,FB4M,1
AOTU102m,FB1H,1
WED032,LNO2,1
hDeltaG,FB6A_a,1
hDeltaG,FB4A_b,1
hDeltaG,FR2,1
SMP406_c,FB5Y_b,1
SMP406_c,FB6A_b,1
hDeltaL,FB5C,1
hDeltaL,FB5G_c,1
hDeltaL,hDeltaA,1
hDeltaL,FB7B,1
SMP123,FB4A_a,1
SMP123,FB5W_a,1
PLP124,FB1G,1
PLP124,SpsP,1
PLP124,FB2J_c,1
CL308,PFL2,1
CL308,FB4M,1
CL308,LCNOp,1
CL308,FB5E,1
CL308,FB4K,1
CRE043_b,FB5I,1
CRE043_b,FB4A_b,1
CB2787,FB2H_b,1
CB2787,FB6A_a,1
CB2154,FB7F,1
SIP006,FB7G,1
LHAV4d1,FB1E_b,1
PLP028,FB6A_b,1
FC2B,CRE019,1
FC2B,CRE043_d,1
LHPD2c2,FB4P_a,1
LHPD2c2,FB2J_b,1
SMP393,ExR3,1
SMP393,FB4M,1
LHAD1d1,SA2_c,1
CB1834,LPsP,1
CRE088,FB5Z,1
CRE088,FB7E,1
CRE088,FB6A_c,1
WED198,FB2J_b,1
ER3p_a,LHPV5l1,1
CB3760,FB2D,1
CB3760,PFL1,1
ER3m,PFGs,1
LHAD1d1,FB6A_b,1
LHAD1d1,FB7L,1
PAM07,FB4P_c,1
PAM07,FB4A_a,1
vDeltaF,FB4Z_c,1
PS192,LNO2,1
SIP074_a,FB5AA,1
SIP074_a,FB4Q_a,1
LAL061,FB2A,1
SMP251,FB4C,1
SMP251,FB6F,1
AOTU030,FB4Q_a,1
AOTU030,FB4L,1
AOTU030,FB5D,1
AOTU030,FB4Q_b,1
AOTU030,FB2F_d,1
AOTU030,FB6W,1
PS193,LNO2,1
MBON10,FB2M_a,1
PFGs,FB5A,1
PFGs,FS1B_b,1
PFGs,SIP087,1
PLP102,FB2I_b,1
CRE093,FB6A_c,1
CRE093,FB4C,1
CRE093,FB5P,1
CRE093,FB2B_b,1
CRE093,FB5J,1
CRE050,FB5W_a,1
CRE050,FB6S,1
CRE050,FR2,1
CRE050,FB2B_a,1
CRE050,ExR6,1
SMP016_b,FB2I_b,1
CRE092,FB6S,1
LAL031,FB2L,1
LAL031,FB5F,1
LAL031,FB4A_a,1
LAL031,FB4P_a,1
LHPV6a9_b,FB8D,1
AVLP742m,FB4E_b,1
CL006,PFL1,1
ER3d_d,ER1_a,1
SMP329,FB1H,1
CB3014,FB3A,1
CRE043_a2,FB4H,1
CRE043_a2,FB5K,1
SIP028,FB1H,1
PLP042_b,FB2A,1
IB016,ExR3,1
PLP042_b,FB5AB,1
IB016,PEN_a(PEN1),1
IB016,hDeltaK,1
FS1A_a,FB4A_b,1
FS1A_a,PFR_a,1
FS1A_a,FB5AB,1
CB1595,FB7M,1
CB1529,FS3_b,1
CB1529,FB5P,1
LHPD2c7,FB4Q_a,1
FB6Q,SMP234,1
FB6Q,SMP504,1
FB6Q,FB7A,1
FB6Q,IB042,1
FB6Q,FB6M,1
FB6Q,SMP034,1
FB6Q,SMP119,1
FB6Q,FB7L,1
FB6Q,FB6P,1
FB6Q,CB3614,1
FB6Q,LoVP82,1
FB6Q,SMP352,1
FB6Q,FS3_b,1
FB6Q,FB7D_a,1
FB6Q,SMP190,1
FB6Q,ATL018,1
FB6Q,SMP007,1
FB6Q,FB6W,1
SIP003_a,FB2H_a,1
PFNv,FB4D_c,1
PFNv,AN09A005,1
CB3556,FB2I_b,1
CB3556,FB6K,1
CB3556,FB7B,1
WED020_a,ExR2,1
WED020_a,FB6M,1
FB2G_b,LHPV5l1,1
FB2G_b,SMP270,1
FB2G_b,FB6C_b,1
FB2G_b,FB4N,1
CB3391,FB4Q_c,1
CB3391,FB4O,1
CB4105,FB4M,1
SMP248_a,FB4L,1
SLP442,FB5Y_b,1
SLP442,FB8F_b,1
FB3E,SLP230,1
FB3E,PFL2,1
FB3E,PFL1,1
FB3E,FS3,1
FB3E,FB4A_b,1
FB3E,FB2L,1
FB3E,FC1D,1
FB3E,FC1E,1
FB3E,FB2G_a,1
FB3E,FB3E,1
FB3E,vDeltaE,1
FB3E,FB2A,1
FB3E,FB4J,1
SLP024,SAF,1
SLP024,FB6C_a,1
FC1F,FB4Z_a,1
FC1F,FB4Z_b,1
FC1F,CRE105,1
SLP451,FB4C,1
SLP451,FB6V,1
SLP451,FB5C,1
FB5V_c,FB5F,1
FB5V_c,OA-VPM3,1
FB5V_c,FR1,1
FB5V_c,FS1A_a,1
FB5V_c,FC1E,1
FB5V_c,FS3_c,1
FB5V_c,hDeltaG,1
FB5V_c,CRE107,1
FB5V_c,SMP273,1
LHPV6k2,FB2I_a,1
PFR_a,LAL043_e,1
PFR_a,WED082,1
PFR_a,SIP087,1
AOTU059,FB1C,1
AOTU059,FB4L,1
IbSpsP,CB1833,1
IbSpsP,PS005_b,1
IbSpsP,CL235,1
IbSpsP,PS110,1
IbSpsP,CB1072,1
IbSpsP,PLP004,1
IbSpsP,CB3931,1
IbSpsP,PS149,1
IbSpsP,CB3044,1
IbSpsP,CL169,1
IbSpsP,PS005_e,1
IbSpsP,SMP491,1
IbSpsP,CB3691,1
IbSpsP,CL308,1
IbSpsP,CL171,1
IbSpsP,PS109,1
IbSpsP,LoVC29,1
IbSpsP,PS260,1
IbSpsP,CL167,1
IbSpsP,SMP397,1
IbSpsP,CL280,1
IbSpsP,PS107,1
IbSpsP,CB2966,1
IbSpsP,PLP208,1
IbSpsP,CL314,1
IbSpsP,PLP231,1
IbSpsP,CB3906,1
IbSpsP,CL131,1
IbSpsP,PLP001,1
IbSpsP,IB038,1
IbSpsP,MeVC2,1
IbSpsP,PLP092,1
IbSpsP,LoVC3,1
IbSpsP,DNp104,1
IbSpsP,AVLP442,1
IbSpsP,MeVCMe1,1
IbSpsP,WED184,1
ER3p_b,ER3a_b,1
LAL034,FB4A_a,1
LAL034,FB4A_b,1
LAL034,FB5X,1
SMP087,FB6K,1
SMP087,FB6E,1
SMP726m,FB8C,1
CB2648,FB2E,1
LAL050,ER1_a,1
PLP187,FB4C,1
hDeltaG,FB5T,1
hDeltaG,EPG,1
CB0325,FB6O,1
CB0325,ER1_a,1
CB0325,FB2K,1
CB0325,FC1F,1
CB0325,FC1D,1
CB0325,FB4D_a,1
CB0325,FB1G,1
LT70,ExR5,1
ER3p_a,FB6U,1
ER3p_a,FB7G,1
ER3p_a,FB9B_d,1
ER3p_a,FB5Q,1
PLP042_b,ER3a_c,1
CB3281,FB8D,1
CB3281,FB9A,1
CB3281,FB1B,1
CB0937,FB6B,1
CB0937,FB5Z,1
PAL03,FB5G_c,1
FB4M,FB5W_b,1
FB4M,CRE092,1
FB4M,LoVP81,1
FB4M,FB1F,1
FB4M,SMP204,1
FB4M,LAL052,1
FB4M,SMP147,1
FB4M,CB1564,1
FB4M,LAL200,1
FB4M,SMP597,1
CB1871,FB6B,1
CB1871,FB6V,1
CB1871,FB4N,1
CB1871,FB5T,1
CB1871,FB5Q,1
CRE044,SpsP,1
WED167,ER1_b,1
WED167,EL,1
WED167,FB2G_b,1
WED167,ExR1,1
aMe9,ExR3,1
aMe9,FB4M,1
CB2442,FB1G,1
ER3w_a,TuBu04,1
vDeltaG,vDeltaA_a,1
vDeltaG,FB4Z_b,1
vDeltaG,FB5T,1
vDeltaG,vDeltaB,1
ATL009,ER3a_d,1
SLP314,FB2F_a,1
SLP311,FB1G,1
WED040_a,ExR3,1
LHAV2h1,FB1E_a,1
SMP578,FB4N,1
SIP027,FB6Q,1
SIP027,FB2B_a,1
SIP027,FB7C,1
WED198,FB2A,1
WED198,FB4L,1
ATL038,FB1H,1
ATL038,FB5AB,1
ATL038,FB4N,1
ATL038,FB2A,1
WEDPN8C,PFL1,1
CRE068,FB5A,1
CRE068,FB5T,1
CRE068,FB4P_a,1
CRE068,FB6X,1
CRE068,FB5C,1
SMP166,FB5A,1
SMP166,FB2H_a,1
CB1030,FB6M,1
CRE045,FB5K,1
CRE045,FB4H,1
CRE045,FB5AA,1
CRE045,FB5F,1
SMP059,FB5Y_b,1
SMP059,FB2M_b,1
SMP059,FB5C,1
SMP059,FB2B_a,1
SMP059,FB5Z,1
SMP059,FB5J,1
SMP059,FB7K,1
SMP059,FB2H_b,1
CB3133,SA1_a,1
CRE017,FB4P_c,1
FC2C,FB4B,1
WED155,ExR2,1
LAL048,FB1G,1
LC35a,FB6M,1
FC2B,SMP018,1
LAL067,PFL3,1
CB1838,FB7A,1
SMP380,FB7M,1
SMP380,FB8C,1
SMP380,FB4E_a,1
SMP191,FB6K,1
SMP191,FB5Z,1
SMP191,FB6M,1
LAL056,FB6M,1
LAL056,LPsP,1
SIP089,FB5A,1
SLP103,FB9C,1
SLP405_c,FB6Z,1
SLP183,FB8F_b,1
LHPV5g1_b,FB2B_b,1
SLP359,FB2I_a,1
SLP359,SA2_b,1
vDeltaG,FB2G_a,1
vDeltaG,FB2L,1
vDeltaG,FR2,1
PLP044,FB2G_b,1
LAL136_b,LNOa,1
LAL136_b,FB3D,1
LAL136_b,ExR1,1
CB2469,FB5E,1
CB2469,FB4P_a,1
CB2469,FB4F_c,1
CB2469,FB4A_a,1
CB2469,FB6O,1
CB3399,FB6V,1
LHPV6i1_a,FB9A,1
LHPV6i1_a,FB2J_b,1
ER4d,PFR_a,1
SLP240_a,FB6C_b,1
SLP240_a,FB6U,1
SLP240_a,FB6A_b,1
SIP073,FB2K,1
FC2C,SMP409,1
FC3_a,LPsP,1
FC3_a,CRE096,1
FC1E,CRE072,1
FC1E,PAM05,1
CRE054,FB4B,1
CRE054,FB4Q_b,1
SMP398_b,ExR3,1
SMP398_b,IbSpsP,1
ER3d_a,TuBu01,1
ER3d_a,SMP048,1
ER3d_a,ER1_b,1
CL160,FB4F_c,1
FB3C,PFNp_d,1
FB3C,vDeltaA_a,1
FB3C,FB1E_a,1
CB3539,SAF,1
CB3539,FB6I,1
PFNm_a,FC1B,1
CRE018,FB1G,1
SLP450,FB1H,1
SLP162,FB8F_a,1
CB3476,FB1H,1
SLP356,FB5H,1
PS315,ExR5,1
LAL067,PFL1,1
AVLP050,FB4B,1
WED032,ER1_b,1
LHPV3b1_b,FB1G,1
CB2298,SA1_b,1
EL,SMP543,1
EL,FB2A,1
EL,CRE024,1
EL,FB1B,1
EL,FB6N,1
EL,LAL014,1
CB1841,FB4D_c,1
CB1841,FB2A,1
CB1841,FB5Q,1
FB2B_a,SMP185,1
FB2B_a,SMP075,1
FB2B_a,ExR8,1
FB2B_a,CRE042,1
FB2B_a,PAM01,1
FB2B_a,PAM14,1
FB2B_a,vDeltaD,1
FB2B_a,SMP567,1
FB2B_a,SIP073,1
FB2B_a,CRE085,1
FB2B_a,aIPg1,1
FB2B_a,FB5W_a,1
FB2B_a,FS3_c,1
FB2B_a,hDeltaL,1
FB2B_a,SMP059,1
FB2B_a,PFR_a,1
FB2B_a,SMP553,1
FB2B_a,SMP143,1
FB2B_a,CRE066,1
FB2B_a,FB1A,1
FB2B_a,SIP018,1
FB2B_a,CL021,1
FB2B_a,CRE077,1
FB2B_a,LHCENT8,1
ER3d_d,PFL3,1
SIP048,FB7L,1
SIP048,FB4X,1
SLP109,FB1J,1
FB3C,FB2M_a,1
MeVP5,ExR5,1
CB1782,FB2J_c,1
SMP215,FB6A_a,1
SMP215,FB5H,1
CB1550,LCNOpm,1
SIP013,FB1H,1
SAD009,FB5A,1
SIP032,FB5A,1
LAL064,ER1_b,1
SLP275,FB1J,1
SLP275,FB7A,1
CB3261,FB5AA,1
SMP302,FB7I,1
IB032,FR2,1
IB032,EPG,1
WED151,LNO2,1
WED151,ExR8,1
SMP566,FB5W_a,1
SMP566,FS3_a,1
SMP566,ExR3,1
SMP566,FS3_c,1
SIP076,FB7C,1
FC1E,FB4J,1
FC1E,CB1529,1
FC1E,PAM09,1
FC1E,SMP144,1
CB1213,ER1_b,1
EL,LAL190,1
FB4I,FC2A,1
FB4I,FB5J,1
FB4I,FC3_b,1
FB4I,FS1B_a,1
FB4I,CRE043_a2,1
FB4I,CRE001,1
FB4I,ATL026,1
FB4I,SMP015,1
FB4I,LAL119,1
FB4I,LAL113,1
FB4I,PVLP138,1
FB4I,LAL045,1
FB4I,LAL015,1
FB4I,SMP709m,1
LoVP84,FB5G_a,1
LoVP84,FB6B,1
LC33,ER3a_c,1
PLP160,FB1G,1
CRE080_b,FB4P_a,1
CRE080_b,FB5P,1
CRE080_b,FB5E,1
CRE080_b,FB4H,1
FC3_b,FB4Q_b,1
PFNm_a,FB1I,1
PFNm_a,FB1J,1
FC3_a,EPGt,1
IbSpsP,PS170,1
PS018_a,FB5A,1
PS077,SpsP,1
SIP005,FB7E,1
SIP005,FB5G_b,1
SIP005,FB6Q,1
AN07B043,IbSpsP,1
CL166,FB5V_c,1
CL166,FB5A,1
CL166,ExR6,1
LAL061,FB4L,1
IB071,FB4C,1
IB071,FB2G_b,1
LAL021,FB4B,1
FB1A,SMP269,1
FB1A,SMP172,1
FB1A,FC1C_b,1
FB1A,PFNp_c,1
FB1A,PFL1,1
FB1A,FB4A_a,1
SIP051,FB6C_a,1
SIP051,FB7B,1
SIP051,FB6F,1
SIP051,FB6I,1
SIP051,FB5B,1
SLP017,FB7F,1
FB6T,SIP070,1
FB6T,CB1352,1
FB6T,SMP238,1
FB6T,SMP128,1
FB6T,ATL024,1
FB6T,SMP076,1
FB6T,SLP389,1
FB6T,SMP483,1
FB6T,SMP338,1
FB6T,SMP305,1
FB6T,SIP015,1
FB6T,CB2298,1
FB6T,FB6D,1
FB6T,CB2876,1
SLP150,FB6I,1
SLP150,FB7G,1
SMP247,FB1E_a,1
SMP247,FB5Y_a,1
SMP247,FB6Q,1
SMP247,FB2F_b,1
LC33,FB5E,1
LC33,FB5P,1
LC33,FS1A_a,1
GNG446,FB8C,1
SIP047,FB7L,1
SLP265,FB6A_b,1
LHAD2d1,FB4Q_a,1
FC3_a,AN27X013,1
FC3_a,FB5G_c,1
M_lvPNm33,FB8F_b,1
PFGs,FB4X,1
PFGs,FC1F,1
hDeltaG,FS4B,1
hDeltaG,vDeltaA_b,1
hDeltaG,FC1F,1
LHAV3a1_b,FB1E_a,1
hDeltaK,FS3_b,1
hDeltaK,FB6Z,1
hDeltaK,FB6G,1
LAL050,ER1_c,1
