type_pre,type_post,weight
FB5X,hDeltaA,1647
PFNm_a,PFNm_b,1644
FB4N,hDeltaI,1640
FB5J,(untyped),1639
FB7J,(untyped),1637
Delta7,PFNp_a,1635
ER4d,ER2_c,1629
vDeltaA_b,hDeltaE,1628
FB1I,(untyped),1628
IbSpsP,PEN_b(PEN2),1625
(untyped),ER3p_a,1619
FB5A,hDeltaM,1611
FB4F_a,hDeltaA,1604
hDeltaC,vDeltaE,1604
FB6E,hDeltaC,1602
FB6C_b,PFGs,1597
ER4m,ER2_a,1595
PFNp_b,FC2A,1595
PFNd,hDeltaA,1587
FC,(untyped),1587
PFNp_e,PFNp_c,1586
FB7K,hDeltaE,1585
vDeltaF,hDeltaG,1582
PEN_b(PEN2),ER2_c,1579
hDeltaC,hDeltaF,1578
LCNOp,(untyped),1578
PFL2,DNa03,1571
FB6K,hDeltaG,1570
ER3p_b,EPG,1568
ER3w_a,ER3w_a,1565
LNO2,LNO1,1564
ExR5,ExR1,1559
ER3d_e,(untyped),1559
ExR3,ER3d_d,1558
hDeltaM,PFL2,1555
ER1_c,EPG,1552
FB6C_a,hDeltaF,1551
FB5K,vDeltaG,1547
hDeltaA,FB4Z_c,1544
FB8C,hDeltaD,1540
FB2M_a,hDeltaM,1540
FB4Y,hDeltaA,1539
FB5W_a,FC2A,1539
PFL3,VES054,1536
FB4F_a,hDeltaI,1536
ER3a_b,ER3a_a,1536
ER2_a,ER2_d,1534
FB4A_b,(untyped),1529
ER3a_a,ER3a_d,1521
TuBu01,ER4m,1514
FB6G,hDeltaF,1513
ER3d_c,ExR1,1511
FB4P_a,hDeltaA,1508
(untyped),hDeltaK,1504
FB9A,vDeltaA_a,1501
FB5I,PFR_a,1499
vDeltaJ,(untyped),1495
PFNp_a,PFNp_c,1494
FB2F_a,hDeltaC,1493
EL,EL,1493
FB1J,(untyped),1493
PFNm_a,PFNp_b,1479
(untyped),hDeltaL,1477
FB6A_a,hDeltaC,1468
ER3d_c,ER3d_e,1466
vDeltaF,hDeltaH,1464
PEN_b(PEN2),hDeltaK,1462
FB5K,vDeltaI_a,1461
hDeltaG,FC2C,1460
ExR5,PFL3,1458
hDeltaD,ExR1,1456
FB9A,(untyped),1451
hDeltaH,PFL3,1448
hDeltaA,PFL2,1447
SA3,vDeltaA_a,1447
FB4Q_a,hDeltaA,1443
Delta7,PFGs,1443
FB6N,(untyped),1437
ER3w_c,(untyped),1434
hDeltaH,FB5U,1429
Delta7,PFR_b,1429
FB5X,PFL3,1429
PFGs,FB6A_a,1426
FB5T,(untyped),1426
PFNm_b,PFNp_b,1420
ER3d_a,(untyped),1419
hDeltaB,FS2,1413
ER3d_b,EL,1413
FB2G_b,FC2C,1412
ExR3,EL,1409
FB5L,vDeltaF,1407
ER1_a,EL,1407
PFNm_a,PFNm_a,1403
FB5U,hDeltaH,1399
