body_pre,body_post,weight
10100,22884,5
15409,10072,5
519616,92081,5
519616,128825,5
519616,114392,5
519616,121031,5
519616,139382,5
23281,513354,5
15310,517548,5
15310,520435,5
15310,106593,5
15344,42734,5
525224,287884,5
28190,287884,5
28190,10187,5
10187,13142,5
10187,12248,5
10187,12221,5
10187,13031,5
10187,25763,5
10187,24683,5
10187,25328,5
10187,25554,5
10187,23858,5
10187,24671,5
10187,29836,5
10187,26287,5
10187,27179,5
10187,17749,5
10187,22657,5
10187,21911,5
10187,23232,5
10187,21204,5
10187,82293,5
10187,84256,5
10187,68889,5
10187,125531,5
10187,121959,5
10187,132121,5
10187,136113,5
10187,133601,5
10187,126963,5
10187,94100,5
10187,97678,5
10187,42975,5
10187,40037,5
10187,40069,5
10187,47369,5
10187,49952,5
10187,35267,5
10187,30225,5
10187,31860,5
10187,60474,5
10187,66561,5
10187,66418,5
10187,53467,5
10187,57851,5
10187,53991,5
47996,10187,5
28248,287884,5
10185,10969,5
10185,515221,5
10185,26665,5
10185,42793,5
515194,287884,5
10175,12333,5
515221,12902,5
53837,10187,5
47850,119499,5
47850,10187,5
521635,10175,5
11083,17155,5
14521,42332,5
13892,10168,5
121794,287884,5
14521,94980,5
14521,514044,5
24088,10187,5
10187,154293,5
10187,145530,5
10187,155619,5
10187,148290,5
10187,149966,5
10187,151041,5
10187,518704,5
10187,519508,5
10187,522993,5
10187,522853,5
10187,539227,5
10187,532800,5
10187,533435,5
10187,523032,5
10187,525066,5
10187,530071,5
10187,515232,5
10187,515963,5
25371,60930,5
48524,10187,5
89155,12542,5
27430,512326,5
116185,14225,5
48491,138585,5
48491,91391,5
15904,10072,5
41385,515048,5
10168,43756,5
10168,76412,5
10168,15325,5
10168,21911,5
10168,536057,5
10168,99299,5
97512,10072,5
524503,123377,5
519947,15919,5
12055,519328,5
12055,84758,5
155194,14182,5
17820,287884,5
67456,287884,5
547298,14182,5
554008,14225,5
10624,10187,5
10624,287884,5
181099,515048,5
155275,515048,5
12844,287884,5
553201,16800,5
553201,20969,5
533946,143120,5
533943,528100,5
146190,14705,5
533435,10187,5
18899,178945,5
168836,14705,5
238044,12902,5
35738,10187,5
536208,11327,5
18436,148515,5
18436,97512,5
12763,287884,5
65579,287884,5
19443,10187,5
61398,196622,5
19478,55124,5
19478,38526,5
71718,287884,5
12902,12221,5
12902,517548,5
74349,10187,5
12902,27119,5
12902,25328,5
12902,119860,5
19651,43866,5
157838,14705,5
68889,152428,5
68889,138585,5
68889,126900,5
13312,101406,5
264828,11900,5
171780,577933,5
13428,13650,5
13428,24291,5
13428,21700,5
13428,525448,5
34909,10187,5
157584,14705,5
69684,10187,5
12802,287884,5
169226,21145,5
66644,287884,5
11326,86431,4
11327,12311,4
11327,23846,4
26718,287884,4
43127,10187,4
43040,10187,4
14212,21785,4
26665,13428,4
15344,68387,4
15344,69938,4
518519,10187,4
26287,11618,4
69064,287884,4
15310,15888,4
15310,13650,4
15310,12333,4
15310,512041,4
15310,38526,4
15310,23812,4
15310,119860,4
15310,515221,4
15325,10187,4
518604,152428,4
12902,13559,4
12902,533223,4
12902,38526,4
12902,26665,4
12902,42793,4
12902,14434,4
12902,515221,4
92664,287884,4
11340,152997,4
11340,518137,4
159201,14182,4
159201,14705,4
23090,10187,4
17804,10011,4
42118,287884,4
33293,10187,4
17816,287884,4
15693,20906,4
18899,29565,4
53043,287884,4
515959,10187,4
70764,12106,4
88795,10187,4
27492,10041,4
15768,10187,4
113500,287884,4
42734,10011,4
517548,287884,4
10110,536058,4
10110,531755,4
69704,10187,4
112888,152385,4
10110,12802,4
10110,13142,4
10110,11255,4
10110,43866,4
10110,32451,4
10110,33552,4
10110,88014,4
10110,100304,4
10110,24399,4
10110,26287,4
535053,128076,4
14182,536443,4
516919,287884,4
517012,12542,4
175459,83388,4
10545,536057,4
10545,523775,4
10545,512717,4
10041,567101,4
10545,17061,4
521584,174672,4
18156,10041,4
104220,126900,4
10041,13490,4
10041,12706,4
10041,100304,4
10041,511842,4
10041,520573,4
