type,dimorphism,fruDsx,superclass,syn_to_cx,syn_from_cx,top_cx_targets,top_cx_sources
CB2572,,fru_low,cb_intrinsic,641,131,"[('FB7E', 81), ('FB6C_b', 73), ('FB6B', 70), ('FB8I', 48)]","[('FB8F_a', 33), ('FS3_b', 18), ('FS3_a', 11), ('FB7F', 11)]"
CB2585,,fru_high,cb_intrinsic,166,1,"[('ER1_b', 130), ('ER1_a', 18), ('ER1_c', 14), ('LNOa', 2)]","[('ER1_b', 1)]"
CB2754,,fru_low,cb_intrinsic,405,34,"[('FB6C_b', 161), ('FB6C_a', 56), ('FB6A_a', 33), ('FB6G', 30)]","[('FB7F', 10), ('FB6A_a', 8), ('FS3_d', 3), ('FS3_c', 3)]"
CB2846,,fru_low,cb_intrinsic,262,401,"[('FB4N', 71), ('FB2G_b', 52), ('FB4Y', 26), ('FB1C', 26)]","[('FC1C_b', 109), ('FC1E', 83), ('FC1C_a', 78), ('FB6M', 78)]"
CB3339,,fru_low,cb_intrinsic,67,110,"[('FB4Y', 19), ('FB1G', 5), ('FB5B', 5), ('FB1H', 3)]","[('FR2', 25), ('FS1A_c', 15), ('FS1A_a', 14), ('FS1B_a', 7)]"
CB3441,,fru_low,cb_intrinsic,73,148,"[('FB1C', 19), ('FB4N', 10), ('FB4Y', 8), ('FB1H', 8)]","[('FS1B_a', 44), ('FC2B', 23), ('FS1A_c', 22), ('FC2C', 14)]"
CB4106,,fru_low,cb_intrinsic,630,5,"[('IbSpsP', 351), ('SpsP', 176), ('LNO2', 67), ('FB3A', 12)]","[('SpsP', 1), ('LNO1', 1), ('ExR7', 1), ('ExR6', 1)]"
CRE007,,fru_low,cb_intrinsic,390,21,"[('FB5V_c', 110), ('FB4R', 94), ('FB5X', 44), ('FB4P_b', 36)]","[('FB4R', 8), ('FB4G', 3), ('FB2B_b', 2), ('FB4H', 2)]"
CRE016,,fru_low,cb_intrinsic,101,36,"[('FB5A', 21), ('FB4Y', 19), ('FB4F_a', 5), ('ExR6', 4)]","[('FB6M', 8), ('PFR_b', 4), ('FS1A_b', 4), ('FC', 3)]"
CRE019,,fru_low,cb_intrinsic,205,262,"[('FB5Q', 24), ('FB5X', 19), ('FB5E', 19), ('FB4Y', 19)]","[('FS1A_c', 110), ('FS1B_a', 71), ('FS1A_b', 20), ('FS1B_b', 10)]"
CRE020,,fru_low,cb_intrinsic,323,39,"[('FB5AB', 37), ('LCNOpm', 36), ('FB5B', 31), ('FB2G_a', 26)]","[('FS1A_c', 14), ('FS1B_a', 7), ('FB4H', 4), ('FB1H', 4)]"
CRE021,potentially sexually dimorphic,,cb_intrinsic,265,153,"[('FB5H', 43), ('FB5V_c', 33), ('FB4N', 24), ('FB4P_a', 20)]","[('FB4R', 83), ('FB4O', 23), ('FB5D', 8), ('FB4P_c', 7)]"
CRE039,sexually dimorphic,,cb_intrinsic,615,128,"[('FB5A', 180), ('LCNOp', 105), ('ExR6', 54), ('FB4N', 48)]","[('PFR_b', 47), ('FB4R', 16), ('FB4H', 11), ('FB4G', 10)]"
CRE062,sexually dimorphic,fru_high,cb_intrinsic,155,1,"[('FB4K', 37), ('FB4R', 29), ('FB4H', 17), ('FB5N', 16)]","[('FB4R', 1)]"
CRE065,sexually dimorphic,fru_high,cb_intrinsic,287,4,"[('FB4K', 73), ('FB4R', 42), ('FB5V_a', 32), ('FB5N', 26)]","[('FB4R', 1), ('FB4P_a', 1), ('FB4O', 1), ('FB5F', 1)]"
CRE081,,fru_high,cb_intrinsic,128,44,"[('FB4Y', 45), ('FB5H', 14), ('FB4K', 7), ('FB4L', 5)]","[('FB5H', 9), ('FB5K', 3), ('FB1C', 3), ('FB2B_b', 2)]"
CRE088,,fru_high,cb_intrinsic,43,100,"[('FB1G', 7), ('FB5AB', 5), ('FB5B', 5), ('FB5H', 4)]","[('PFR_b', 33), ('FC1C_a', 28), ('FC1C_b', 7), ('FB5K', 3)]"
CRE089,,fru_high,cb_intrinsic,153,9,"[('FB4M', 98), ('FB5X', 20), ('FB1G', 11), ('FB6R', 11)]","[('PFR_a', 5), ('PFR_b', 2), ('FB1H', 2)]"
CRE093,,fru_low,cb_intrinsic,509,889,"[('FB4X', 75), ('FB5Y_a', 72), ('FB5Y_b', 56), ('FB5Q', 41)]","[('PFL3', 383), ('FS1A_a', 211), ('FS1A_b', 81), ('FS1A_c', 31)]"
CRE094,,fru_low,cb_intrinsic,169,120,"[('FB4Y', 41), ('FB6Y', 15), ('FB6R', 13), ('FB5X', 9)]","[('FC2B', 38), ('FC2C', 21), ('FS1A_b', 8), ('FB4G', 7)]"
CRE095,,fru_low,cb_intrinsic,262,349,"[('FB4N', 103), ('FB5Q', 29), ('FB4M', 28), ('FB5F', 22)]","[('PFL3', 158), ('FS1A_a', 72), ('FS1A_b', 39), ('FB1H', 16)]"
CRE096,,fru_low,cb_intrinsic,162,73,"[('FB4X', 33), ('FB5H', 23), ('FB6V', 21), ('FB5AA', 11)]","[('FR2', 29), ('FC1C_a', 8), ('FC3_b', 5), ('FC1C_b', 4)]"
DNp48,potentially sexually dimorphic,,descending_neuron,126,357,"[('FB4M', 11), ('FB5G_b', 11), ('FB8I', 11), ('FB5G_a', 9)]","[('FB5G_a', 65), ('FS3_a', 49), ('FB5G_c', 34), ('FS3_c', 32)]"
FB1H,,fru_low,cb_intrinsic,10364,7409,"[('hDeltaJ', 1184), ('hDeltaB', 459), ('PFNd', 435), ('PFNv', 434)]","[('hDeltaJ', 1236), ('PFNp_c', 452), ('PFNp_a', 303), ('PFNp_e', 286)]"
FB2E,,fru_low,cb_intrinsic,6464,3086,"[('FB2I_a', 1090), ('PFL1', 590), ('FB2D', 527), ('FB2E', 367)]","[('FB2I_a', 1114), ('PFNa', 374), ('FB2E', 367), ('FB2H_a', 207)]"
FB2F_a,,fru_low,cb_intrinsic,14404,4726,"[('FB2B_a', 1891), ('hDeltaC', 1493), ('FR1', 1111), ('vDeltaG', 913)]","[('FB2B_a', 497), ('FB2I_b', 458), ('FB2H_a', 406), ('FC1B', 337)]"
FB2F_b,,fru_low,cb_intrinsic,5828,1943,"[('FC2B', 1135), ('hDeltaH', 736), ('hDeltaJ', 695), ('FC2A', 512)]","[('FC3_b', 155), ('FC1F', 139), ('FB2F_c', 136), ('FC3_c', 133)]"
FB2F_c,,fru_low,cb_intrinsic,4706,1120,"[('FC2B', 522), ('FC2C', 414), ('FC2A', 350), ('vDeltaE', 298)]","[('FB2C', 86), ('FB2L', 81), ('FB3C', 72), ('PFNv', 56)]"
FB2F_d,,fru_low,cb_intrinsic,7167,2206,"[('hDeltaC', 951), ('hDeltaG', 880), ('FC2C', 878), ('FC2B', 640)]","[('FC3_c', 244), ('FB2L', 205), ('FB4C', 188), ('FC1F', 156)]"
FB2J_a,,fru_low,cb_intrinsic,3754,1111,"[('FB2D', 510), ('FC2A', 468), ('hDeltaM', 303), ('FB2F_a', 275)]","[('FB2I_b', 185), ('FB2H_a', 134), ('ExR5', 95), ('FB2F_a', 66)]"
FB2J_b,,fru_low,cb_intrinsic,3741,1145,"[('FB2D', 423), ('FC1C_b', 285), ('PFL1', 255), ('hDeltaI', 244)]","[('FB2H_a', 146), ('FB2F_a', 125), ('PFNa', 113), ('FB2H_b', 101)]"
