pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
TuBu06,ExR1,779,391,0.0142,0.0101,0.49,False,False
FC2C,hDeltaM,665,370,0.0263,0.0187,0.49,False,True
hDeltaH,FR1,602,944,0.0209,0.0295,-0.49,False,False
hDeltaM,hDeltaM,493,274,0.0195,0.0139,0.49,True,True
PFR_b,Delta7,414,526,0.008,0.0113,-0.49,False,False
PFNp_e,LCNOpm,328,236,0.0187,0.0264,-0.49,False,False
ExR7,LAL052,319,97,0.04,0.0285,0.49,False,False
vDeltaH,FC2B,175,362,0.0041,0.0058,-0.49,False,False
PFR_b,PFR_a,2199,1500,0.0518,0.037,0.48,False,False
FB4O,PFR_a,1722,1180,0.0405,0.0291,0.48,True,False
ExR3,ER3d_d,1558,1572,0.1036,0.1444,-0.48,False,False
FB5AB,vDeltaG,1002,556,0.0748,0.0535,0.48,False,False
vDeltaM,vDeltaJ,927,649,0.1746,0.1251,0.48,False,False
LAL112,LCNOpm,806,295,0.0459,0.033,0.48,False,False
hDeltaB,FB3A,778,762,0.0667,0.0931,-0.48,True,False
ExR5,FB2A,761,414,0.076,0.0546,0.48,False,False
SMP147,LCNOpm,702,256,0.04,0.0286,0.48,False,False
FB6Z,FC2C,545,336,0.0115,0.0082,0.48,False,False
PFL3,LAL194,414,287,0.0602,0.0842,-0.48,False,False
FB5O,FR1,413,642,0.0144,0.0201,-0.48,True,False
LHPV5l1,ExR3,381,306,0.0254,0.0181,0.48,False,False
vDeltaH,FB5K,302,649,0.0643,0.0897,-0.48,False,False
vDeltaK,FB4P_a,298,508,0.0354,0.0493,-0.48,False,True
vDeltaA_b,FB1I,246,335,0.0728,0.1017,-0.48,False,False
FB6F,FB6J,153,446,0.0308,0.0429,-0.48,False,False
FC2C,FS3,11,315,0.0156,0.0112,0.48,False,False
ExR3,PFGs,1823,2892,0.0554,0.0768,-0.47,False,False
FB6D,hDeltaC,1716,843,0.0388,0.028,0.47,False,False
FB6E,vDeltaE,611,579,0.0419,0.0302,0.47,False,False
FB4F_b,hDeltaI,553,324,0.015,0.0108,0.47,False,True
FB2C,FC2A,527,830,0.0164,0.0228,-0.47,False,False
vDeltaE,FS2,459,573,0.0159,0.022,-0.47,False,False
IbSpsP,PFNp_d,424,293,0.0942,0.0682,0.47,False,False
FB1G,FS2,414,517,0.0143,0.0199,-0.47,False,False
FB1B,FS4A,371,264,0.0263,0.019,0.47,False,False
FB2C,FC2B,288,584,0.0068,0.0094,-0.47,False,False
vDeltaA_a,FB8A,261,650,0.1851,0.2559,-0.47,False,False
FB4Y,FB5M,211,425,0.0945,0.1307,-0.47,False,False
hDeltaJ,FB4Q_b,203,665,0.0809,0.112,-0.47,True,True
ER2_a,ER2_c,5845,3561,0.1615,0.1172,0.46,False,False
ER2_c,ER2_d,1265,874,0.1648,0.1202,0.46,False,False
LNO1,FB4C,1112,748,0.0937,0.0681,0.46,False,False
FB2F_a,FR1,1111,897,0.0387,0.0281,0.46,True,False
FB1G,FC1B,872,597,0.0612,0.0446,0.46,False,True
FB7E,FS2,722,471,0.025,0.0181,0.46,False,False
PEG,EL,569,428,0.0076,0.0055,0.46,False,False
VES041,PFL2,467,354,0.0146,0.0106,0.46,False,False
hDeltaL,hDeltaL,413,459,0.0112,0.0155,-0.46,True,True
FB7C,FB7E,366,223,0.0554,0.0401,0.46,False,False
FB4Y,vDeltaM,362,416,0.0264,0.0365,-0.46,False,False
PFL2,LAL046,352,296,0.0405,0.0556,-0.46,False,False
vDeltaC,vDeltaC,348,535,0.0241,0.0331,-0.46,False,False
FB6B,hDeltaF,329,287,0.0092,0.0127,-0.46,True,False
FS2,FB6J,325,495,0.0655,0.0476,0.46,False,False
PFNp_b,PFNp_d,319,221,0.0708,0.0514,0.46,False,False
ER4d,ER4m,312,130,0.0111,0.0081,0.46,False,False
PFNp_d,vDeltaB,175,342,0.0177,0.0244,-0.46,False,False
FB3A,PFNd,5765,3911,0.1182,0.0866,0.45,False,False
PFNv,LNO1,2764,2198,0.2523,0.3443,-0.45,False,False
ER3d_d,ER3d_b,2316,1313,0.0924,0.126,-0.45,False,False
ExR3,ER3d_b,2245,1272,0.0896,0.1221,-0.45,False,False
ER2_a,ER2_d,1534,1063,0.1998,0.1461,0.45,False,False
PFL3,DNa02,736,275,0.0149,0.0203,-0.45,False,False
ER4m,ExR4,696,305,0.0339,0.0247,0.45,False,False
FB3A,FB4M,576,520,0.0288,0.0393,-0.45,False,False
PEN_b(PEN2),FB4Y,530,655,0.0225,0.0308,-0.45,False,False
vDeltaB,vDeltaB,490,950,0.0496,0.0678,-0.45,False,False
ER2_b,ER2_d,432,561,0.0563,0.0771,-0.45,False,False
PFNa,FB2E,374,313,0.1008,0.0739,0.45,False,True
LAL168,LNO2,355,151,0.0184,0.0134,0.45,True,False
FB1C,PEN_a(PEN1),353,368,0.0082,0.0112,-0.45,False,False
FB1D,FB1E_a,312,285,0.0975,0.1334,-0.45,False,False
FB1B,FC2C,304,361,0.0064,0.0088,-0.45,False,False
vDeltaE,FB5AA,295,367,0.0605,0.0825,-0.45,False,False
ER3d_d,ER3d_c,2421,1936,0.1851,0.1363,0.44,False,False
vDeltaM,hDeltaA,2250,1306,0.0447,0.0329,0.44,False,True
ExR5,PFL3,1458,1117,0.024,0.0177,0.44,False,False
hDeltaH,FB5U,1429,901,0.3026,0.2226,0.44,False,False
ExR3,ER3d_c,978,1441,0.0748,0.1015,-0.44,False,False
FB2D,FC1E,630,882,0.0666,0.0903,-0.44,False,True
vDeltaL,vDeltaK,557,774,0.0337,0.0459,-0.44,False,False
vDeltaB,FB7B,496,541,0.096,0.1305,-0.44,False,False
SMP184,LCNOpm,352,132,0.0201,0.0148,0.44,False,False
FB8E,FS4A,308,414,0.0219,0.0297,-0.44,False,False
PEN_a(PEN1),PEN_b(PEN2),3179,1989,0.0738,0.0546,0.43,False,False
