pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
LAL144,LCNOpm,528,165,0.0301,0.0185,0.7,True,False
FB9B_b,hDeltaD,430,229,0.0202,0.0124,0.7,False,False
hDeltaM,FC2A,383,709,0.0119,0.0195,-0.7,True,False
vDeltaA_a,FB9B_b,364,248,0.2289,0.3718,-0.7,False,False
FB5S,hDeltaL,343,168,0.0093,0.0057,0.7,False,True
ER4d,ExR4,314,307,0.0153,0.0249,-0.7,False,False
FB5N,hDeltaM,1357,656,0.0536,0.0332,0.69,False,True
FB5D,FR1,882,608,0.0307,0.019,0.69,True,False
vDeltaF,FC2B,880,794,0.0208,0.0128,0.69,False,False
FB4O,FC2B,486,439,0.0115,0.0071,0.69,True,False
FB5B,hDeltaG,397,523,0.0137,0.0222,-0.69,False,False
PFNp_b,FC2C,383,204,0.0081,0.005,0.69,False,False
hDeltaH,vDeltaF,371,371,0.0251,0.0404,-0.69,False,False
FB4Y,PFL2,327,552,0.0102,0.0166,-0.69,False,False
FB6C_b,FB6J,265,344,0.0534,0.0331,0.69,False,False
GLNO,PEN_b(PEN2),6565,3460,0.1523,0.0949,0.68,False,False
ER6,PEG,3602,2082,0.1724,0.1073,0.68,False,False
PEN_a(PEN1),GLNO,2397,1911,0.2515,0.4027,-0.68,False,False
FB6M,PFGs,1061,758,0.0322,0.0201,0.68,False,False
ExR2,ExR1,632,718,0.0115,0.0186,-0.68,False,False
vDeltaF,FB5K,516,498,0.1099,0.0688,0.68,False,False
PFL3,VES059,353,227,0.0425,0.0681,-0.68,False,False
TuBu09,ER2_a,733,270,0.0368,0.0231,0.67,False,False
ER3p_b,ER3p_a,559,616,0.0383,0.0608,-0.67,False,False
FC1A,FB2I_a,436,299,0.0384,0.0242,0.67,True,False
FB4M,FB4C,395,581,0.0333,0.0529,-0.67,False,False
FB2A,FC1A,309,454,0.0284,0.045,-0.67,False,True
vDeltaE,FB6V,262,373,0.0539,0.0856,-0.67,False,False
vDeltaC,FS2,227,326,0.0079,0.0125,-0.67,False,False
FB4P_b,FB4F_a,226,924,0.042,0.067,-0.67,True,False
FB1H,FC2B,213,500,0.005,0.0081,-0.67,True,False
FB6H,vDeltaC,197,351,0.0136,0.0217,-0.67,False,False
ER6,PEN_b(PEN2),2223,1186,0.0516,0.0325,0.66,False,False
vDeltaB,FB7H,564,1011,0.1834,0.2896,-0.66,False,False
TuBu10,ExR1,521,231,0.0095,0.006,0.66,False,False
SMP238,ExR1,471,209,0.0086,0.0054,0.66,False,False
FC1D,FB2C,341,358,0.0687,0.0434,0.66,True,False
FB6C_b,FB6R,326,177,0.1087,0.0685,0.66,False,False
FB1A,vDeltaB,164,369,0.0166,0.0263,-0.66,False,False
ER3d_b,EPG,3673,1916,0.0179,0.0113,0.65,False,False
PFNp_a,PFNp_c,1494,1040,0.0816,0.0519,0.65,False,False
FB4K,hDeltaJ,1030,466,0.0271,0.0172,0.65,False,True
ER3a_c,ER3a_b,1008,720,0.1777,0.279,-0.65,False,False
FB5C,FR1,801,566,0.0279,0.0177,0.65,False,False
hDeltaI,hDeltaI,548,283,0.0148,0.0094,0.65,True,True
LAL034,LCNOpm,506,164,0.0288,0.0183,0.65,True,False
FB6R,hDeltaL,422,535,0.0115,0.0181,-0.65,False,True
FB7M,hDeltaE,361,402,0.0119,0.0187,-0.65,False,False
FB4M,hDeltaK,256,410,0.0096,0.015,-0.65,False,False
hDeltaD,FC2C,1372,1856,0.0289,0.0451,-0.64,False,False
PFL2,LAL073,1190,892,0.0628,0.0979,-0.64,False,True
FB4K,FC2A,1078,781,0.0335,0.0214,0.64,False,False
FC2C,oviIN,682,287,0.0125,0.008,0.64,False,True
ER2_a,ER2_b,591,470,0.109,0.0701,0.64,False,False
FB5N,PFL3,547,363,0.009,0.0057,0.64,False,False
ER3d_b,ER3d_c,519,362,0.0397,0.0255,0.64,False,False
FB2F_a,vDeltaH,500,554,0.0781,0.0501,0.64,True,False
OA-VPM3,PFGs,342,614,0.0104,0.0163,-0.64,False,False
vDeltaA_b,FB8H,282,412,0.0629,0.0981,-0.64,False,False
FB1E_b,vDeltaB,219,483,0.0222,0.0345,-0.64,False,False
FB6H,FB6B,145,384,0.0506,0.0787,-0.64,False,True
PFR_a,hDeltaA,2666,3264,0.0529,0.0821,-0.63,False,True
TuBu06,ER5,1734,777,0.0674,0.0434,0.63,False,False
IbSpsP,PFNm_b,1261,1195,0.1003,0.155,-0.63,False,False
PEN_b(PEN2),ER2_a,1062,403,0.0533,0.0345,0.63,False,False
hDeltaF,hDeltaC,971,427,0.022,0.0142,0.63,False,False
FB4O,hDeltaM,899,453,0.0355,0.0229,0.63,True,True
FB4N,FC2C,664,369,0.014,0.009,0.63,False,False
FB2L,FC2B,558,525,0.0132,0.0085,0.63,False,False
FB5C,hDeltaH,501,286,0.0172,0.0111,0.63,False,False
FB2K,FB1G,451,233,0.0629,0.0407,0.63,False,False
hDeltaB,hDeltaL,356,444,0.0097,0.015,-0.63,True,True
PEN_b(PEN2),ExR2,324,385,0.0293,0.0455,-0.63,False,False
Delta7,LPsP,5528,5574,0.4408,0.6787,-0.62,False,False
FB4K,PFR_a,1836,1142,0.0432,0.0282,0.62,False,False
FB5U,hDeltaH,1399,801,0.0479,0.0311,0.62,False,False
TuBu10,ER2_c,1283,701,0.0355,0.0231,0.62,False,False
Delta7,PFNm_b,1002,947,0.0797,0.1228,-0.62,False,False
FB6E,FC2C,674,379,0.0142,0.0092,0.62,False,False
FB1D,FB1B,407,324,0.1367,0.0892,0.62,False,False
EL,ER2_d,400,583,0.0521,0.0801,-0.62,False,False
FB5D,FC2B,345,326,0.0081,0.0053,0.62,True,False
FB6H,hDeltaF,311,303,0.0087,0.0134,-0.62,False,False
PEN_a(PEN1),ExR7,269,620,0.0392,0.0604,-0.62,False,False
PFGs,hDeltaK,4790,7453,0.1788,0.2727,-0.61,False,False
PFNd,LNO2,3542,3151,0.1837,0.2803,-0.61,False,False
ER3a_b,ER3a_a,1536,579,0.1025,0.0672,0.61,False,False
ER3a_a,ER3a_d,1521,908,0.3291,0.2158,0.61,False,False
PFL3,VES005,701,187,0.0455,0.0297,0.61,False,False
vDeltaB,FB7L,645,728,0.0804,0.1229,-0.61,False,False
vDeltaK,hDeltaI,442,550,0.012,0.0183,-0.61,False,True
PFNm_a,vDeltaC,439,752,0.0304,0.0465,-0.61,False,False
PFL3,CRE093,383,306,0.0735,0.048,0.61,False,True
hDeltaG,FB6L,285,1107,0.1256,0.1914,-0.61,False,False
FB4I,hDeltaI,254,316,0.0069,0.0105,-0.61,False,True
PFR_a,FC2A,212,369,0.0066,0.0101,-0.61,False,False
ER5,EPG,3222,4033,0.0157,0.0238,-0.6,False,False
ER3w_a,ER3w_a,1565,2320,0.1632,0.247,-0.6,False,False
TuBu01,ExR1,1046,486,0.0191,0.0126,0.6,False,False
FB5C,hDeltaG,1018,546,0.0351,0.0232,0.6,False,False
FS4B,SLP414,847,2120,0.1754,0.2662,-0.6,False,False
EL,ER3m,844,965,0.0374,0.0569,-0.6,False,False
EPG,PFNa,816,1142,0.021,0.0319,-0.6,False,False
FB1E_a,hDeltaL,657,348,0.0179,0.0118,0.6,False,True
hDeltaD,vDeltaA_a,630,432,0.0407,0.0269,0.6,False,False
ER3m,ER3a_d,526,316,0.1138,0.0751,0.6,False,False
FB6C_a,PFGs,504,379,0.0153,0.0101,0.6,False,False
FB7K,hDeltaD,333,189,0.0157,0.0103,0.6,False,False
FB5Z,FB6L,166,643,0.0731,0.1111,-0.6,True,False
ER2_b,EPG,2474,3073,0.012,0.0182,-0.59,False,False
FS4A,SMP297,1127,824,0.1508,0.2277,-0.59,False,False
ExR5,PFL2,668,461,0.0209,0.0138,0.59,False,False
OA-VPM3,PFR_a,427,615,0.0101,0.0152,-0.59,False,False
hDeltaJ,hDeltaC,408,419,0.0092,0.0139,-0.59,True,False
FB7A,FB1J,379,208,0.1302,0.0866,0.59,False,False
LNO2,FB4B,316,350,0.0309,0.0466,-0.59,False,False
Delta7,PFL2,3269,5107,0.1023,0.1532,-0.58,False,False
hDeltaB,FB4B,2835,3120,0.2773,0.4157,-0.58,True,False
PFNp_b,PFNm_a,1389,1204,0.1233,0.0823,0.58,False,False
PEN_b(PEN2),GLNO,1099,817,0.1153,0.1721,-0.58,False,False
FB5AB,vDeltaD,720,451,0.0499,0.0334,0.58,False,False
FB5P,FB5U,635,365,0.1345,0.0902,0.58,True,False
LAL138,ER1_b,548,259,0.0481,0.0322,0.58,True,False
FB5M,hDeltaA,422,222,0.0084,0.0056,0.58,False,True
GLNO,GLNO,400,133,0.042,0.028,0.58,False,False
hDeltaL,FB5S,394,250,0.0461,0.0308,0.58,True,False
hDeltaB,FB3C,352,150,0.0386,0.0258,0.58,True,False
vDeltaD,hDeltaG,305,373,0.0105,0.0158,-0.58,False,False
PFNp_c,PFNp_d,302,431,0.0671,0.1003,-0.58,False,False
vDeltaE,FB6W,197,314,0.0671,0.1001,-0.58,False,True
FB5A,FS3,16,960,0.0228,0.0341,-0.58,False,False
ER3w_b,EPG,10568,5875,0.0514,0.0347,0.57,False,False
IbSpsP,PFNd,2215,3048,0.0454,0.0675,-0.57,False,False
ExR7,LAL013,1247,294,0.2126,0.1429,0.57,False,False
FB7A,PFGs,599,462,0.0182,0.0123,0.57,False,False
FB5F,FB5A,340,397,0.014,0.0208,-0.57,False,False
FC2C,ATL027,303,180,0.0447,0.03,0.57,False,False
FB4O,FB4Q_b,253,402,0.1008,0.0677,0.57,True,True
FB1D,vDeltaB,218,460,0.0221,0.0328,-0.57,False,False
SA3,FS4A,212,311,0.015,0.0223,-0.57,False,False
LNO1,PFNv,3989,2619,0.1929,0.1312,0.56,False,False
EPG,ER4d,2598,1502,0.0456,0.0309,0.56,False,False
ExR3,hDeltaK,2092,3148,0.0781,0.1152,-0.56,False,False
vDeltaC,hDeltaL,1759,2089,0.0478,0.0707,-0.56,False,True
FB9A,vDeltaA_a,1501,1059,0.097,0.066,0.56,False,False
ExR4,ExR4,1155,1024,0.0563,0.0831,-0.56,False,False
Delta7,PFR_a,1109,1559,0.0261,0.0384,-0.56,False,False
EPG,PFL2,1036,1596,0.0324,0.0479,-0.56,False,False
hDeltaM,FC2B,958,951,0.0226,0.0153,0.56,True,False
PFL1,LAL086,939,592,0.4215,0.2863,0.56,False,False
FB4H,vDeltaM,852,1049,0.0621,0.0919,-0.56,False,False
FC1A,FB2A,528,270,0.0527,0.0356,0.56,True,False
EPG,PFNp_c,434,702,0.0237,0.035,-0.56,False,False
FB2A,PFNa,420,570,0.0108,0.0159,-0.56,False,False
LPsP,PFL3,395,607,0.0065,0.0096,-0.56,False,False
ExR4,ExR6,365,326,0.0175,0.0259,-0.56,False,False
hDeltaL,FB6L,351,605,0.1546,0.1046,0.56,True,False
EPG,ER2_b,334,280,0.0616,0.0418,0.56,False,False
vDeltaA_b,FS4A,324,471,0.023,0.0338,-0.56,False,False
hDeltaJ,vDeltaE,220,427,0.0151,0.0222,-0.56,True,False
PFNp_b,FB1C,1699,1648,0.1277,0.1867,-0.55,False,False
TuBu01,ER4m,1514,596,0.0541,0.037,0.55,False,False
ER3w_a,ER2_b,731,617,0.1348,0.092,0.55,False,False
FB4O,hDeltaH,475,285,0.0163,0.011,0.55,True,False
FB8B,hDeltaE,414,428,0.0136,0.02,-0.55,False,False
PFR_a,FC2B,337,727,0.008,0.0117,-0.55,False,False
AOTU046,ER4d,302,174,0.0053,0.0036,0.55,False,False
FB2A,FC1F,298,508,0.031,0.0453,-0.55,False,True
FB2H_b,FB2B_a,253,309,0.0264,0.0388,-0.55,False,False
vDeltaM,hDeltaI,251,300,0.0068,0.01,-0.55,False,True
FB6B,vDeltaC,190,313,0.0131,0.0193,-0.55,True,False
PFNp_c,vDeltaH,139,351,0.0217,0.0318,-0.55,False,False
PFNp_b,LCNOpm,2820,2084,0.1607,0.233,-0.54,False,False
LPsP,PEN_a(PEN1),2583,2871,0.0597,0.087,-0.54,False,False
PFL3,AOTU019,1996,888,0.0318,0.0464,-0.54,False,False
ER4d,ER2_c,1629,940,0.045,0.0309,0.54,False,False
FB4Y,hDeltaA,1539,1773,0.0306,0.0446,-0.54,False,True
FB2G_b,PFL3,1286,917,0.0211,0.0145,0.54,False,False
LCNOp,PFNp_b,1203,643,0.0463,0.0319,0.54,False,False
FB6F,hDeltaG,1096,611,0.0378,0.0259,0.54,False,False
