type,n_cells,total_in,total_out
AN17A012,4,21842,58471
AN17A013,4,31471,43235
AN17A014,6,19524,86576
AN17A015,8,41146,126969
AN17A018,6,28677,70092
AN17A024,6,23890,69607
AN17A026,2,4659,32928
AN17A031,2,4846,14234
AN17A047,2,3773,11416
AN17A050,2,4640,23283
AN17A062,6,8947,62185
AN17A068,2,2842,9889
AN17A073,2,1600,7535
AN17A076,2,19253,18360
AN17B002,2,6039,25981
AN17B005,2,6244,28393
AN17B007,2,3666,23960
AN17B008,6,15372,43253
AN17B009,2,6263,18969
AN17B011,2,2593,13745
AN17B012,2,8961,32542
AN17B013,4,5299,11769
AN17B016,2,2274,17589
AN18B001,2,13597,62550
AN18B002,2,10436,25065
AN18B003,2,12754,29973
AN18B004,2,12892,27414
AN18B019,4,6495,41492
AN18B020,2,5227,12050
AN18B022,2,3383,20330
AN18B023,2,3417,19766
AN18B025,2,2969,17372
AN18B032,3,13874,20179
AN18B053,6,10654,39628
AN19A018,12,49044,152937
AN19A019,2,2896,15451
AN19A038,2,434,21936
AN19B001,4,43615,193220
AN19B004,2,13924,24906
AN19B009,4,14444,34459
AN19B010,4,17234,57788
AN19B014,2,4093,20418
AN19B015,2,3963,24572
AN19B017,2,8146,73429
AN19B018,2,4196,13407
AN19B019,2,7601,96810
AN19B022,2,2837,15515
AN19B024,2,2352,31395
AN19B025,2,5273,34303
AN19B028,2,3408,35661
AN19B032,2,7479,18632
AN19B036,4,11663,36093
AN19B039,2,3634,11037
AN19B042,2,1787,12847
AN19B044,4,2428,16657
AN19B046,3,2634,8177
AN19B049,2,1327,20928
AN19B051,4,2163,14038
AN19B059,7,6030,20887
AN19B060,4,2481,10110
AN19B061,4,2632,5929
AN19B063,4,4089,6711
AN19B065,6,3927,7001
AN19B076,3,2163,7004
AN19B079,6,5719,10742
AN19B093,5,3080,14425
AN19B098,4,3122,8567
AN19B099,4,2593,8076
AN19B100,2,1396,5207
AN19B101,10,6965,14428
AN19B102,2,905,4000
AN19B104,9,2853,14430
AN19B106,2,534,2719
AN23B001,2,14982,29218
AN23B002,2,22325,33412
AN23B003,2,16455,31643
AN23B004,2,4220,11287
AN23B010,2,2536,22401
AN23B026,2,2460,7904
AN26X004,2,681,1996
AN27X003,2,3889,11370
AN27X004,2,7206,10489
AN27X008,2,4160,16816
AN27X009,4,8645,46314
AN27X011,2,8742,31519
AN27X013,4,4538,5381
AN27X015,2,5841,32097
AN27X016,2,4008,18188
AN27X017,2,4869,19693
AN27X018,6,14314,39204
AN27X019,2,4592,9543
AN27X020,2,4263,14207
AN27X021,2,6795,12550
AN27X022,2,2637,14713
AN27X024,2,3811,16212
ANXXX002,2,21724,75064
ANXXX005,2,17312,16212
ANXXX006,2,11332,34848
ANXXX007,7,13830,57399
ANXXX008,2,3193,3015
ANXXX013,2,25031,44476
ANXXX023,2,6924,26235
ANXXX024,2,15316,21866
ANXXX026,2,4504,23334
ANXXX027,14,184531,174743
ANXXX030,2,7847,38884
ANXXX033,2,6838,17948
ANXXX037,2,9166,31480
ANXXX041,4,11197,33992
ANXXX049,4,14633,39352
ANXXX050,2,7111,27329
ANXXX055,2,13719,31409
ANXXX057,2,10201,34431
ANXXX068,2,5835,31020
ANXXX071,2,4424,21416
ANXXX072,2,3797,14507
ANXXX074,2,6864,22323
ANXXX075,2,10228,42949
ANXXX082,2,5104,27911
ANXXX084,8,26920,118726
ANXXX086,2,14885,24239
ANXXX092,2,10736,19791
ANXXX093,2,15301,29430
ANXXX094,2,4013,42075
ANXXX098,6,17906,49791
ANXXX099,2,8178,19478
ANXXX102,2,7878,38831
ANXXX106,2,2756,12665
ANXXX108,2,4551,16317
ANXXX109,2,3870,10115
ANXXX116,4,7254,38660
ANXXX120,4,7283,29109
ANXXX127,2,2966,17978
ANXXX130,2,3447,12819
ANXXX131,2,4168,14331
ANXXX132,2,4280,20892
ANXXX136,2,5703,21677
ANXXX139,2,3464,22322
ANXXX144,2,4629,19695
ANXXX145,5,11040,62825
ANXXX150,4,6236,19224
ANXXX151,2,9779,23342
ANXXX152,2,4170,20773
ANXXX154,2,5371,23791
ANXXX157,2,5621,6747
ANXXX165,2,2123,24693
ANXXX169,10,17546,43495
ANXXX170,4,11536,31868
ANXXX171,2,2236,11973
ANXXX174,2,6082,19202
ANXXX178,2,5920,23112
ANXXX191,2,1869,9624
ANXXX196,2,8413,12839
ANXXX200,4,1701,16950
ANXXX202,9,11414,28317
ANXXX214,4,5313,21092
ANXXX218,2,1510,28741
ANXXX250,2,2267,33161
ANXXX254,2,1905,10864
ANXXX255,2,2119,20939
ANXXX264,2,7078,10813
ANXXX296,2,1708,9918
ANXXX308,2,2273,5025
ANXXX318,2,2172,10689
ANXXX338,3,711,4945
ANXXX380,4,1727,8287
ANXXX404,2,5365,8757
ANXXX410,2,560,4981
ANXXX434,2,3151,16131
ANXXX462a,2,4769,13997
ANXXX462b,2,4784,13049
ANXXX470,2,3796,14319
AOTU001,7,13298,17111
AOTU002_a,5,9354,13850
AOTU002_b,6,13048,20074
AOTU002_c,4,9420,13247
AOTU003,6,10051,14223
AOTU004,6,5023,8064
AOTU005,2,11248,12306
AOTU006,2,9574,8187
AOTU007,2,3638,7545
AOTU007_a,4,6453,14201
AOTU007_b,6,10211,21935
AOTU008,25,54839,73203
AOTU009,2,11891,12023
AOTU011,4,6297,8285
AOTU012,2,24044,25852
AOTU013,2,4597,16336
AOTU014,2,19415,15354
AOTU015,8,24883,29215
AOTU016_a,2,6708,6973
AOTU016_b,8,21732,25620
AOTU016_c,4,11618,15239
AOTU017,4,8423,15087
AOTU018,4,3294,6019
AOTU019,2,62695,47019
AOTU020,4,4760,10295
