type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
FC1B,PFL1,171,355.3,0.827,9,9
PFNm_a,hDeltaF,168,329.9,0.88,9,6
PFR_a,PFGs,167,0.9,0.861,9,9
FS1A_c,FS1A_c,166,251.7,0.063,9,9
PFNd,hDeltaG,165,204.2,0.188,8,8
hDeltaC,FS1A_a,164,197.7,0.872,12,9
FC1F,FR1,163,4.9,0.853,8,9
hDeltaM,PFR_b,163,200.2,0.921,8,9
PFR_b,FS2,163,354.7,0.87,9,9
PFR_a,vDeltaF,163,2.0,0.866,9,9
hDeltaE,hDeltaD,162,183.6,0.549,8,8
PFNm_a,vDeltaE,162,356.0,0.943,9,9
hDeltaD,hDeltaD,161,181.5,0.862,8,8
FC3_b,FC1C_b,161,1.9,0.882,9,9
vDeltaI_a,vDeltaG,161,359.6,0.77,9,9
hDeltaI,PFR_b,160,199.5,0.895,12,9
vDeltaH,vDeltaI_a,156,335.8,0.773,7,9
FC3_c,vDeltaD,156,2.0,0.845,9,9
PFNm_a,vDeltaI_a,156,1.1,0.955,9,9
FC1C_b,FC1D,156,356.7,0.843,9,9
FC1B,FC1B,156,358.2,0.791,9,9
FC2B,hDeltaC,156,340.5,0.575,9,12
hDeltaL,FS1B_b,155,192.2,0.933,12,9
FC1D,FC1B,155,6.2,0.842,9,9
FC2A,hDeltaA,154,345.7,0.814,9,12
PFR_a,FC3_b,154,6.0,0.927,9,9
FC1C_b,FC1C_a,154,334.1,0.328,9,9
hDeltaC,hDeltaL,152,170.8,0.411,12,12
vDeltaB,PFGs,152,6.7,0.876,9,9
FC1A,FC1A,151,0.7,0.437,9,9
PFR_a,hDeltaG,150,333.3,0.42,9,8
PFGs,hDeltaC,149,166.2,0.269,9,12
FC1F,FC1A,149,4.4,0.86,8,9
hDeltaJ,hDeltaM,149,169.4,0.824,12,8
vDeltaM,vDeltaM,149,9.8,0.84,9,9
FC1B,FS1B_b,147,354.5,0.924,9,9
FC1F,FC1B,146,10.4,0.87,8,9
hDeltaE,FS1A_b,145,204.3,0.872,8,9
FC3_a,FC3_b,145,4.2,0.884,9,9
PFR_a,hDeltaM,144,324.5,0.101,9,8
FS1A_b,FS1A_c,144,40.2,0.043,9,9
FC1F,hDeltaJ,143,346.0,0.824,8,12
PFR_b,hDeltaB,141,167.2,0.576,9,12
FS2,FS3_a,141,9.4,0.468,9,9
hDeltaJ,FS1A_c,141,196.6,0.856,12,9
