type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
hDeltaG,hDeltaA,10,0.2,0.58,8,12
vDeltaI_b,PFR_a,10,360.0,0.941,9,9
hDeltaF,PFL3,10,217.7,0.865,6,9
FC1A,FS1A_a,10,360.0,0.941,9,9
vDeltaK,FC2A,10,0.0,1.0,9,9
FC2A,FS3_d,10,4.4,0.915,9,9
vDeltaA_a,hDeltaA,10,337.5,0.937,9,12
FC1C_b,FC2A,10,346.7,0.616,9,9
hDeltaL,PFL3,10,202.6,0.985,12,9
FC2B,PFGs,10,360.0,0.941,9,9
FC3_c,FS1A_b,10,346.9,0.936,9,9
PFL3,PFR_a,10,355.6,0.915,9,9
PFR_a,FS4C,10,360.0,0.941,9,9
vDeltaM,FR1,10,355.3,0.856,9,9
FC3_c,FR2,10,9.1,0.894,9,9
hDeltaB,FR2,10,199.5,0.966,12,9
hDeltaI,FC1D,10,202.5,0.978,12,9
FS3_b,hDeltaL,10,176.4,0.708,9,12
vDeltaE,FS1B_b,10,336.0,0.87,9,9
FC3_c,FS1A_a,10,346.9,0.936,9,9
FC3_c,hDeltaA,10,45.0,0.052,9,12
FS2,FR1,10,351.5,0.952,9,9
FC1C_b,hDeltaI,10,114.3,0.299,9,12
PFNa,FS1B_b,10,350.3,0.836,9,9
FS2,PFL2,10,9.1,0.894,9,9
FC1B,FS4B,10,4.4,0.915,9,9
hDeltaM,FC3_b,10,202.5,0.924,8,9
PFNa,FC2A,10,0.0,1.0,9,9
PFNm_a,vDeltaL,10,355.8,0.973,9,9
hDeltaH,vDeltaJ,10,193.1,0.936,8,8
vDeltaI_b,FC3_a,10,17.8,0.927,9,9
FC1A,FC2B,10,354.9,0.798,9,9
FC1C_a,FS1B_a,10,355.6,0.915,9,9
PFR_b,PFL1,10,345.1,0.823,9,9
PFL3,vDeltaK,10,14.0,0.88,9,9
FC3_b,FS4B,10,0.0,1.0,9,9
PFR_b,FS1B_a,10,360.0,0.824,9,9
hDeltaJ,FC1B,10,199.0,0.768,12,9
hDeltaB,FC1B,10,207.3,0.962,12,9
hDeltaJ,FC1C_a,10,195.8,0.733,12,9
vDeltaI_a,hDeltaC,10,337.6,0.27,9,12
vDeltaI_a,FC3_b,10,350.3,0.836,9,9
FC1E,FC2B,10,351.5,0.952,9,9
FC3_b,FR2,10,342.2,0.927,9,9
PFGs,hDeltaI,10,309.8,0.26,9,12
PFR_a,FS3_d,10,351.5,0.952,9,9
vDeltaE,FC3_b,10,10.3,0.724,9,9
PFR_b,FS1A_c,10,351.5,0.952,9,9
FS3_a,FS3_d,10,52.9,0.214,9,9
vDeltaA_a,hDeltaF,10,138.0,0.364,9,6
FS3_d,FS1B_b,10,292.5,0.293,9,9
hDeltaB,vDeltaC,9,155.8,0.949,12,9
FS1A_b,FS2,9,11.4,0.793,9,9
vDeltaI_b,vDeltaL,9,0.0,1.0,9,9
vDeltaK,FS1A_c,9,343.0,0.807,9,9
vDeltaJ,FC2C,9,30.4,0.933,8,9
PFGs,PFL2,9,350.3,0.465,9,9
hDeltaG,hDeltaH,9,180.0,0.556,8,8
FC2A,FC3_a,9,360.0,0.805,9,9
FR2,FR1,9,79.5,0.612,9,9
FC2B,hDeltaB,9,317.6,0.462,9,12
PFNm_a,PFNv,9,352.9,0.896,9,9
vDeltaE,FS4C,9,10.2,0.884,9,9
FC3_b,vDeltaC,9,355.0,0.906,9,9
vDeltaG,FC1C_a,9,10.2,0.884,9,9
FS4B,hDeltaD,9,20.3,0.453,9,8
PFR_b,vDeltaE,9,349.8,0.884,9,9
FC2C,PFNm_b,9,315.0,1.0,9,9
FC1B,PFL3,9,349.8,0.884,9,9
PFNa,hDeltaH,9,329.6,0.933,9,8
hDeltaB,FC3_a,9,201.3,0.875,12,9
hDeltaI,hDeltaG,9,186.1,0.543,12,8
hDeltaM,FC1C_a,9,199.9,0.925,8,9
FS1B_b,FS3_d,9,0.0,0.019,9,9
FC3_c,FS4B,9,9.5,0.948,9,9
PFNm_a,PFL3,9,350.5,0.948,9,9
vDeltaI_b,hDeltaC,9,267.4,0.249,9,12
FC1A,FS2,9,0.0,1.0,9,9
vDeltaG,FC1E,9,0.0,1.0,9,9
FS1B_a,FS1B_b,9,270.0,0.333,9,9
FC2C,PFL1,9,9.5,0.948,9,9
hDeltaB,FS1A_b,9,189.8,0.955,12,9
PFNv,hDeltaK,9,99.0,0.099,9,12
vDeltaI_b,FC1C_b,9,4.6,0.971,9,9
FC2B,FC1F,9,354.0,0.749,9,8
FC1C_a,FC2A,9,2.9,0.635,9,9
vDeltaC,FS4C,9,357.6,0.792,9,9
FC1E,vDeltaF,9,13.5,0.814,9,9
FC1E,FR1,9,14.6,0.933,9,9
PFGs,FS3_c,9,360.0,0.87,9,8
FC1E,PFL3,9,350.5,0.948,9,9
FC2C,hDeltaA,9,154.4,0.345,9,12
FC1D,PFL2,9,360.0,0.87,9,9
FC1B,FS1A_a,9,355.4,0.971,9,9
FC1C_a,FS1A_b,9,328.6,0.276,9,9
FC1D,vDeltaF,9,11.0,0.82,9,9
FC3_a,PFL1,9,349.8,0.884,9,9
hDeltaJ,FS3_b,9,197.1,0.938,12,9
PFNd,PFL3,9,350.3,0.577,8,9
PFNd,vDeltaA_a,9,16.3,0.723,8,9
hDeltaG,hDeltaB,9,17.6,0.551,8,12
PFNd,FC2B,9,19.9,0.925,8,9
FC1E,hDeltaA,9,347.1,0.93,9,12
PFR_a,FC1F,9,343.3,0.662,9,8
vDeltaH,FS2,9,328.5,0.757,7,9
FC1C_b,hDeltaJ,9,9.1,0.259,9,12
PFR_b,PFNv,9,351.5,0.529,9,9
FS3_c,FS3_d,9,355.5,0.413,8,9
hDeltaE,hDeltaC,8,251.3,0.637,8,12
FC3_b,FS4A,8,0.0,1.0,9,9
FS1B_a,PFL3,8,55.8,0.943,9,9
hDeltaH,FC1C_a,8,0.0,0.25,8,9
PFNv,hDeltaH,8,349.2,0.943,9,8
hDeltaE,hDeltaG,8,349.2,0.472,8,8
FS1B_a,hDeltaH,8,14.6,0.699,9,8
FC1C_b,FS3_b,8,0.0,1.0,9,9
vDeltaJ,FS1B_a,8,360.0,0.927,8,9
FC2B,FC1E,8,346.7,0.771,9,9
PFNv,PFL2,8,331.3,0.368,9,9
hDeltaJ,FC1D,8,115.5,0.16,12,9
FC1A,FS1A_b,8,0.0,1.0,9,9
FS3_b,FS1A_c,8,147.8,0.331,9,9
FC1C_a,FS3_d,8,0.0,1.0,9,9
FS4A,FS3_a,8,5.2,0.967,9,9
PFL3,vDeltaJ,8,360.0,0.854,9,8
hDeltaM,hDeltaB,8,5.0,0.744,8,12
FS1B_a,hDeltaG,8,24.6,0.761,9,8
vDeltaB,FS4C,8,343.4,0.929,9,9
FC2A,FC,8,6.8,0.749,9,8
FC1C_b,PFGs,8,0.0,1.0,9,9
FS2,FC1B,8,0.0,1.0,9,9
PFNm_a,PFNd,8,331.6,0.929,9,8
vDeltaL,hDeltaJ,8,124.6,0.359,9,12
vDeltaM,FS1A_a,8,34.2,0.943,9,9
FC1F,FS3_d,8,357.5,0.839,8,9
FS3_b,FS1A_b,8,339.6,0.761,9,9
hDeltaM,PFL1,8,218.2,0.749,8,9
hDeltaG,hDeltaF,8,212.1,0.3,8,6
PFL3,FC2C,8,78.3,0.361,9,9
FC3_a,PFNa,8,360.0,0.854,9,9
vDeltaE,PFR_a,8,353.8,0.822,9,9
FS4A,FC2C,8,343.7,0.629,9,9
FC1A,PFNv,8,354.3,0.895,9,9
vDeltaM,hDeltaK,8,348.0,0.455,9,12
vDeltaM,hDeltaJ,8,153.1,0.897,9,12
FS3_a,PFGs,8,360.0,0.927,9,9
vDeltaJ,vDeltaH,8,30.2,0.832,8,7
vDeltaI_b,PFGs,8,354.8,0.967,9,9
vDeltaC,FS3_d,8,360.0,0.78,9,9
vDeltaG,FS1B_b,8,354.8,0.967,9,9
PFNm_b,FS2,8,19.6,0.79,9,9
FC1E,hDeltaG,8,360.0,0.5,9,8
hDeltaC,FS4C,8,191.2,0.876,12,9
hDeltaI,FS3_a,8,187.5,0.975,12,9
hDeltaM,vDeltaJ,8,200.3,0.721,8,8
vDeltaI_a,FC1D,8,5.2,0.967,9,9
FS1A_b,FC2B,8,257.2,0.566,9,9
FC2B,FS3_b,8,5.2,0.967,9,9
FC1C_a,FS1B_b,8,0.0,1.0,9,9
vDeltaH,FS1B_a,8,339.8,0.867,7,9
PFNv,FS3_b,8,343.4,0.929,9,9
FC1C_b,hDeltaG,8,343.4,0.929,9,8
PFNd,FS3_b,8,22.5,0.789,8,9
PFNa,FS3_a,8,11.7,0.872,9,9
hDeltaJ,hDeltaL,8,165.7,0.757,12,12
FC1C_a,hDeltaA,8,349.1,0.48,9,12
FC1C_b,FS1B_a,8,352.1,0.646,9,9
FC1B,FS3_a,8,0.0,1.0,9,9
hDeltaJ,PFL1,8,195.5,0.267,12,9
FC2A,FS4C,8,0.0,1.0,9,9
hDeltaK,FS3_a,8,199.0,0.927,12,9
PFNv,hDeltaI,8,345.0,0.966,9,12
FC3_a,FS1A_b,8,16.6,0.929,9,9
PFNa,FC2B,8,5.2,0.967,9,9
PFNa,FS3_d,8,349.2,0.943,9,9
FC1F,hDeltaA,8,333.2,0.464,8,12
FC1B,FS1A_b,8,342.0,0.859,9,9
hDeltaA,FC2C,8,187.5,0.727,12,9
hDeltaB,FC1A,8,192.7,0.704,12,9
FC2C,FC1A,8,343.4,0.929,9,9
hDeltaK,FC3_a,8,190.4,0.802,12,9
PFNa,PFNm_a,8,348.7,0.637,9,9
FC2C,hDeltaB,8,345.3,0.466,9,12
FS2,FS1A_c,8,350.3,0.433,9,9
FC2C,PFR_a,8,354.3,0.895,9,9
vDeltaH,PFR_a,8,348.0,0.806,7,9
PFGs,PFNv,8,360.0,0.854,9,9
FS2,hDeltaK,8,101.2,0.31,9,12
vDeltaI_a,FS1B_a,8,6.2,0.822,9,9
hDeltaI,FS4B,8,206.2,0.935,12,9
vDeltaD,FS3_d,8,360.0,0.927,9,9
PFGs,PFL3,8,340.1,0.626,9,9
FS2,PFL3,8,360.0,0.854,9,9
FS1A_a,vDeltaI_b,7,0.0,1.0,9,9
FS1A_a,hDeltaA,7,330.0,1.0,9,12
hDeltaE,vDeltaE,7,180.0,1.0,8,9
FC2A,vDeltaE,7,0.0,1.0,9,9
vDeltaG,vDeltaM,7,0.0,1.0,9,9
hDeltaL,PFL2,7,192.9,0.996,12,9
vDeltaI_a,FC,7,0.0,1.0,9,8
vDeltaI_b,FC1E,7,0.0,1.0,9,9
hDeltaJ,vDeltaK,7,180.0,1.0,12,9
FC3_b,FS3_a,7,0.0,1.0,9,9
PFNm_a,hDeltaE,7,315.0,1.0,9,8
hDeltaC,FS1B_a,7,180.0,0.143,12,9
hDeltaB,FS1A_c,7,203.6,0.992,12,9
hDeltaF,PFL2,7,190.7,0.954,6,9
FS3_c,PFGs,7,352.7,0.797,8,9
PFNm_b,vDeltaH,7,27.6,0.975,9,7
FS1A_b,FC1E,7,0.0,1.0,9,9
FS2,hDeltaM,7,180.0,0.429,9,8
FS3_b,hDeltaG,7,180.0,0.143,9,8
vDeltaM,FC2A,7,347.6,0.749,9,9
PFNd,vDeltaI_a,7,19.1,0.925,8,9
FC2A,vDeltaH,7,40.3,0.862,9,7
hDeltaA,vDeltaE,7,197.2,0.967,12,9
hDeltaK,PFNd,7,13.5,0.329,12,8
vDeltaK,hDeltaC,7,207.4,0.263,9,12
PFNd,PFL1,7,21.0,0.847,8,9
PFR_b,FC1F,7,334.1,0.925,9,8
hDeltaB,FC1E,7,188.1,0.857,12,9
FC2C,PFNm_a,7,21.0,0.847,9,9
FS3_c,FS4A,7,315.0,0.261,8,9
vDeltaK,FC2C,7,6.6,0.88,9,9
vDeltaI_a,hDeltaJ,7,160.0,0.65,9,12
vDeltaI_a,PFGs,7,346.4,0.857,9,9
FC1E,PFL2,7,6.0,0.963,9,9
vDeltaJ,PFR_a,7,360.0,0.916,8,9
FC1C_a,PFNa,7,19.1,0.925,9,9
FC1C_a,PFNd,7,321.0,0.963,9,8
FC1C_b,FR1,7,13.6,0.857,9,9
FS1B_a,vDeltaG,7,19.1,0.925,9,9
vDeltaG,FC1C_b,7,347.6,0.938,9,9
hDeltaI,FS3_c,7,188.8,0.905,12,8
FC1F,FS1A_b,7,9.5,0.869,8,9
vDeltaH,FC2C,7,351.9,0.875,7,9
PFNm_b,vDeltaK,7,0.0,1.0,9,9
hDeltaH,FS4C,7,205.9,0.925,8,9
vDeltaH,FS1A_c,7,331.0,0.874,7,9
FS1A_c,FC2B,7,303.7,0.515,9,9
PFNm_b,vDeltaA_a,7,6.0,0.963,9,9
FC2B,PFL1,7,9.5,0.869,9,9
hDeltaA,FS4A,7,172.6,0.751,12,9
FC1C_a,FC3_b,7,335.7,0.738,9,9
hDeltaJ,FS4A,7,192.9,0.986,12,9
FS3_c,hDeltaG,7,28.7,0.211,8,8
PFNd,FC1D,7,12.4,0.938,8,9
FC3_b,FS3_b,7,12.4,0.938,9,9
hDeltaC,PFR_b,7,208.6,0.89,12,9
FC3_a,FS1A_a,7,340.9,0.925,9,9
FC3_b,PFL2,7,342.2,0.662,9,9
FC3_a,FS3_b,7,349.5,0.787,9,9
PFNd,hDeltaM,7,0.0,1.0,8,8
FC1A,PFNd,7,340.9,0.925,9,8
FC3_a,FS4A,7,0.0,1.0,9,9
FC2B,FC1C_a,7,353.4,0.88,9,9
FC1E,PFNd,7,346.4,0.857,9,8
FC2C,PFNv,7,334.1,0.925,9,9
FC1D,FS1A_a,7,19.1,0.925,9,9
hDeltaJ,vDeltaM,7,204.2,0.814,12,9
hDeltaE,vDeltaA_b,7,200.7,0.738,8,9
PFNm_b,PFNv,7,353.4,0.88,9,9
vDeltaI_a,FS2,7,360.0,0.833,9,9
FC1C_b,FC2B,7,306.3,0.553,9,9
PFNa,vDeltaD,7,354.0,0.963,9,9
FS1B_a,FS3_d,7,326.7,0.292,9,9
vDeltaH,vDeltaF,7,354.7,0.799,7,9
FS2,PFNd,7,321.0,0.963,9,8
vDeltaD,FS1B_b,7,347.6,0.938,9,9
FC2C,vDeltaH,7,23.7,0.953,9,7
vDeltaI_b,FS1A_a,7,340.9,0.925,9,9
FS1B_a,FC2C,7,25.2,0.474,9,9
FS3_c,FS1A_b,7,9.7,0.597,8,9
vDeltaA_a,PFL3,7,340.9,0.925,9,9
vDeltaA_a,vDeltaC,7,12.4,0.938,9,9
hDeltaI,FC1A,6,197.1,0.929,12,9
PFL1,hDeltaC,6,346.8,0.907,9,12
vDeltaI_b,vDeltaD,6,0.0,1.0,9,9
hDeltaF,hDeltaM,6,190.0,0.992,6,8
PFL1,FC2A,6,180.0,0.0,9,9
FC1A,vDeltaI_b,6,0.0,1.0,9,9
FC1D,vDeltaE,6,348.7,0.85,9,9
PFR_a,FS3_a,6,7.1,0.958,9,9
hDeltaC,hDeltaB,6,0.0,0.667,12,12
hDeltaB,hDeltaF,6,140.1,0.97,12,6
PFL1,PFNv,6,62.6,0.618,9,9
PFL2,hDeltaM,6,135.0,0.333,9,8
FC3_b,FS1A_b,6,0.0,1.0,9,9
FS3_d,FS1A_c,6,90.0,0.0,9,9
FS1A_c,FC1C_b,6,331.3,0.491,9,9
FC2A,PFNd,6,337.5,0.924,9,8
FC2A,vDeltaJ,6,352.9,0.958,9,8
FS3_d,FS3_a,6,231.2,0.454,9,9
vDeltaA_a,PFGs,6,0.0,1.0,9,9
hDeltaJ,FC,6,207.6,0.95,12,8
vDeltaA_b,hDeltaL,6,352.8,0.319,9,12
vDeltaB,FS4B,6,337.5,0.924,9,9
PFGs,FS3_b,6,322.1,0.958,9,9
vDeltaE,FS3_d,6,7.9,0.862,9,9
FS3_c,FS4C,6,36.1,0.765,8,9
FC,FS1B_a,6,315.0,0.471,8,9
FC1C_a,FS1A_a,6,9.4,0.725,9,9
FC1C_a,FC2B,6,323.9,0.765,9,9
FC2B,FS4B,6,0.0,1.0,9,9
FS3_c,FS1B_a,6,225.0,0.236,8,9
vDeltaD,FC3_c,6,345.4,0.933,9,9
PFNm_b,vDeltaG,6,0.0,1.0,9,9
PFNa,FS1A_b,6,14.6,0.933,9,9
FC1B,hDeltaG,6,329.6,0.933,9,8
FC1B,hDeltaA,6,341.9,0.908,9,12
hDeltaM,hDeltaL,6,102.5,0.13,8,12
FC1F,FS3_c,6,7.1,0.958,8,8
FC1B,PFL2,6,360.0,0.902,9,9
PFNm_a,hDeltaL,6,332.4,0.961,9,12
hDeltaK,FC3_b,6,192.4,0.951,12,9
PFNd,FC1B,6,22.5,0.924,8,9
FC3_c,vDeltaK,6,7.1,0.958,9,9
PFNv,FR1,6,7.1,0.958,9,9
PFNv,FS1B_b,6,8.9,0.765,9,9
FC,FS4C,6,0.0,1.0,8,9
PFNd,FC1F,6,19.9,0.835,8,8
PFNa,FS3_b,6,352.1,0.862,9,9
hDeltaA,FC1C_b,6,202.1,0.947,12,9
PFNm_a,FS1A_a,6,352.9,0.958,9,9
FC1B,PFGs,6,352.9,0.958,9,9
hDeltaB,FC1D,6,192.6,0.961,12,9
hDeltaB,vDeltaA_a,6,197.7,0.962,12,9
hDeltaD,hDeltaL,6,3.7,0.662,8,12
hDeltaC,FS4A,6,166.2,0.847,12,9
hDeltaI,FS3_b,6,192.4,0.951,12,9
FC1C_a,FS3_b,6,7.1,0.958,9,9
PFNa,hDeltaB,6,337.4,0.65,9,12
vDeltaH,hDeltaC,6,348.2,0.312,7,12
FC1F,FS3_a,6,356.4,0.786,8,9
hDeltaK,hDeltaJ,6,0.0,1.0,12,12
vDeltaG,hDeltaK,6,148.9,0.612,9,12
FC1F,PFL2,6,340.5,0.707,8,9
FC3_c,hDeltaF,6,352.5,0.33,9,6
hDeltaL,vDeltaF,6,218.8,0.691,12,9
FC3_a,vDeltaB,6,352.1,0.862,9,9
FC2C,vDeltaB,6,345.4,0.933,9,9
hDeltaG,FC3_b,6,210.4,0.933,8,9
FC2A,vDeltaF,6,352.1,0.862,9,9
PFNd,FS4C,6,30.4,0.933,8,9
PFNv,PFL1,6,22.5,0.308,9,9
PFNa,PFL2,6,7.1,0.958,9,9
FC3_a,FS3_d,6,352.9,0.958,9,9
PFNd,FS1B_b,6,30.4,0.933,8,9
hDeltaB,FS1B_a,6,195.2,0.678,12,9
PFGs,FS3_a,6,360.0,0.902,9,9
hDeltaK,hDeltaL,6,187.4,0.65,12,12
vDeltaI_b,hDeltaJ,6,165.3,0.547,9,12
vDeltaC,hDeltaK,6,179.8,0.922,9,12
vDeltaH,FC3_b,6,354.1,0.85,7,9
FR1,FC2C,6,315.0,0.236,9,9
FC1B,hDeltaB,6,177.9,0.567,9,12
vDeltaI_a,PFR_a,6,360.0,0.902,9,9
PFR_b,FS3_c,6,0.0,1.0,9,8
vDeltaJ,hDeltaG,6,352.1,0.862,8,8
vDeltaH,FC3_a,6,7.4,0.79,7,9
hDeltaB,FS1B_b,6,205.4,0.937,12,9
FC1B,PFNv,6,352.9,0.958,9,9
FC1C_b,hDeltaH,6,322.1,0.958,9,8
FC1C_b,FS1A_a,6,19.2,0.654,9,9
FS1A_b,FS1B_b,6,337.5,0.308,9,9
FC2A,FC1C_a,6,348.7,0.85,9,9
hDeltaM,FC1E,6,202.5,0.924,8,9
vDeltaK,hDeltaB,6,169.2,0.629,9,12
vDeltaC,FS4A,6,345.4,0.933,9,9
FS1B_b,FS3_b,6,125.3,0.408,9,9
FS3_a,FS4C,6,19.5,0.707,9,9
FS2,vDeltaB,6,352.9,0.958,9,9
FS3_b,PFL2,6,7.9,0.862,9,9
FS3_d,FS3_c,6,302.2,0.221,9,8
FS1A_a,vDeltaJ,5,315.0,1.0,9,8
FC1A,FS3_a,5,0.0,1.0,9,9
hDeltaD,FS1A_a,5,180.0,1.0,8,9
FS1A_b,vDeltaK,5,315.0,1.0,9,9
PFL3,hDeltaG,5,135.0,0.6,9,8
hDeltaK,hDeltaE,5,354.1,0.635,12,8
FS1A_b,vDeltaE,5,315.0,1.0,9,9
PFNv,FS3_d,5,0.0,1.0,9,9
vDeltaG,hDeltaI,5,330.0,1.0,9,12
PFNa,vDeltaC,5,351.5,0.952,9,9
FC,FS4A,5,351.5,0.952,8,9
FC,FC,5,73.7,0.295,8,8
vDeltaL,FS1A_a,5,27.2,0.927,9,9
hDeltaD,FS1B_b,5,197.8,0.927,8,9
FS1A_b,FS3_b,5,12.1,0.674,9,9
hDeltaA,FS3_c,5,198.1,0.967,12,8
PFL1,PFR_a,5,284.6,0.56,9,9
hDeltaC,hDeltaE,5,324.1,0.502,12,8
hDeltaI,PFNd,5,162.6,0.915,12,8
hDeltaB,hDeltaD,5,174.0,0.992,12,8
hDeltaI,vDeltaH,5,212.8,0.572,12,7
hDeltaI,FC1F,5,209.4,0.695,12,8
vDeltaA_a,hDeltaG,5,286.3,0.295,9,8
FC1A,FS4A,5,20.3,0.816,9,9
vDeltaI_a,FS1A_c,5,8.5,0.952,9,9
vDeltaE,hDeltaE,5,284.6,0.56,9,8
FS1B_b,FS4A,5,118.7,0.712,9,9
FS4C,vDeltaA_b,5,0.0,1.0,9,9
PFNm_a,PFL2,5,0.0,1.0,9,9
vDeltaM,hDeltaH,5,352.7,0.462,9,8
vDeltaD,FC3_a,5,9.7,0.836,9,9
FS1B_a,PFL2,5,35.3,0.836,9,9
hDeltaC,hDeltaI,5,354.1,0.978,12,12
PFNm_a,FC,5,20.3,0.816,9,8
hDeltaI,hDeltaL,5,0.0,0.2,12,12
FS3_b,FC2C,5,0.0,1.0,9,9
hDeltaM,FS3_d,5,197.8,0.927,8,9
FC1F,vDeltaC,5,8.5,0.952,8,9
hDeltaC,hDeltaD,5,3.0,0.981,12,8
FC3_c,vDeltaJ,5,17.8,0.927,9,8
vDeltaI_a,PFNv,5,342.2,0.927,9,9
FS1B_b,FS4B,5,93.3,0.425,9,9
PFNv,FS4A,5,9.7,0.836,9,9
PFNa,hDeltaK,5,360.0,0.546,9,12
FS1A_b,FS4C,5,360.0,0.883,9,9
vDeltaA_b,FS2,5,332.8,0.927,9,9
FC1A,FS3_d,5,8.5,0.952,9,9
hDeltaB,vDeltaJ,5,207.4,0.916,12,8
FC1F,hDeltaM,5,324.7,0.836,8,8
PFR_a,FC,5,0.0,1.0,9,8
FC1C_a,FR1,5,0.0,1.0,9,9
hDeltaI,FC1B,5,192.0,0.995,12,9
PFNa,FS4A,5,342.2,0.927,9,9
PFNm_a,FS1A_b,5,17.8,0.927,9,9
FC1A,hDeltaG,5,315.0,1.0,9,8
hDeltaB,FC,5,204.5,0.898,12,8
hDeltaC,PFNd,5,71.7,0.954,12,8
hDeltaL,PFR_b,5,216.3,0.38,12,9
FC2C,vDeltaA_a,5,351.5,0.952,9,9
PFNd,FS4A,5,27.2,0.927,8,9
PFNd,FC1E,5,27.2,0.927,8,9
PFNd,FC1A,5,27.2,0.927,8,9
PFNa,hDeltaD,5,351.5,0.952,9,8
PFNd,FC2A,5,17.8,0.927,8,9
vDeltaF,vDeltaD,5,20.3,0.816,9,9
hDeltaC,vDeltaK,5,151.8,0.847,12,9
hDeltaL,FC3_c,5,180.2,0.946,12,9
vDeltaF,hDeltaI,5,330.0,1.0,9,12
FC3_a,FR2,5,25.5,0.6,9,9
hDeltaG,hDeltaJ,5,13.8,0.638,8,12
PFNv,PFL3,5,106.3,0.295,9,9
vDeltaK,vDeltaG,5,27.2,0.927,9,9
vDeltaK,FC3_b,5,8.5,0.952,9,9
PFNa,FS1A_c,5,350.3,0.836,9,9
PFNv,FS1B_a,5,9.7,0.836,9,9
PFNv,hDeltaF,5,346.3,0.712,9,6
PFGs,FS3_d,5,0.0,1.0,9,9
PFR_a,FS3_b,5,0.0,1.0,9,9
PFR_a,FS3_c,5,0.0,1.0,9,8
vDeltaG,vDeltaJ,5,360.0,0.883,9,8
PFNd,FS1A_a,5,350.3,0.836,8,9
hDeltaK,hDeltaG,5,180.0,0.6,12,8
hDeltaL,PFR_a,5,219.9,0.582,12,9
hDeltaK,vDeltaE,5,225.0,0.933,12,9
hDeltaK,hDeltaB,5,0.0,1.0,12,12
FC2A,FC1A,5,360.0,0.883,9,9
vDeltaF,FS1B_b,5,355.5,0.744,9,9
hDeltaJ,FC1F,5,197.2,0.828,12,8
FC2A,hDeltaB,5,4.3,0.593,9,12
PFL1,FR2,5,28.7,0.295,9,9
hDeltaC,vDeltaI_b,5,185.9,0.965,12,9
vDeltaI_a,hDeltaK,5,135.0,0.386,9,12
FC1C_a,hDeltaB,5,355.3,0.541,9,12
FC1F,FS4A,5,8.5,0.952,8,9
FC1E,vDeltaG,5,8.5,0.952,9,9
vDeltaI_a,PFL2,5,35.3,0.836,9,9
vDeltaI_a,vDeltaL,5,0.0,1.0,9,9
vDeltaI_b,FS1A_b,5,0.0,1.0,9,9
PFR_b,FC1C_b,5,0.0,1.0,9,9
FC,FC1D,5,360.0,0.883,8,9
FS1A_a,FS1B_a,5,341.6,0.447,9,9
vDeltaJ,FS1A_a,5,9.7,0.836,8,9
vDeltaI_a,vDeltaB,5,17.8,0.927,9,9
hDeltaM,PFGs,5,216.5,0.952,8,9
PFGs,FS4A,5,360.0,0.883,9,9
hDeltaK,FS2,5,185.5,0.939,12,9
FC1C_a,hDeltaJ,5,313.8,0.335,9,12
vDeltaI_b,FS1A_c,5,343.7,0.712,9,9
FS3_a,FS1A_c,5,0.0,1.0,9,9
FS3_c,vDeltaD,5,353.1,0.688,8,9
FS3_b,PFL3,5,20.3,0.816,9,9
PFL1,PFNa,5,351.5,0.952,9,9
FS1A_a,FC,5,115.2,0.663,9,8
vDeltaC,FS1A_b,5,20.3,0.816,9,9
FS4C,FS1B_a,5,331.3,0.295,9,9
FS4B,vDeltaA_b,5,24.7,0.816,9,9
FS3_d,FC2C,5,0.0,0.6,9,9
FS3_d,FS4C,5,315.0,0.766,9,9
PFL2,PFL1,5,360.0,0.366,9,9
FS1A_b,vDeltaB,4,315.0,1.0,9,9
vDeltaH,FC,4,347.1,1.0,7,8
FC,vDeltaG,4,0.0,1.0,8,9
FS1A_b,FC1C_b,4,10.8,0.943,9,9
FS1A_b,hDeltaA,4,7.6,0.975,9,12
vDeltaA_a,FC2B,4,10.8,0.943,9,9
FS2,FC1F,4,0.0,1.0,9,8
PFNm_b,PFL3,4,0.0,1.0,9,9
hDeltaH,FS3_c,4,214.2,0.943,8,8
hDeltaF,FC,4,210.0,1.0,6,8
PFL1,FC1E,4,10.8,0.943,9,9
PFL1,FC1A,4,22.5,0.924,9,9
PFL3,hDeltaH,4,90.0,0.5,9,8
PFL1,hDeltaB,4,277.6,0.975,9,12
hDeltaM,FS4A,4,214.2,0.943,8,9
hDeltaA,FS4C,4,187.5,0.991,12,9
hDeltaJ,vDeltaC,4,195.0,0.966,12,9
FS1A_c,FC1A,4,0.0,1.0,9,9
FS1A_c,FS3_a,4,152.1,0.6,9,9
FS1A_c,FC1D,4,0.0,1.0,9,9
FS1B_a,FS4C,4,0.0,1.0,9,9
PFR_b,FS1B_b,4,325.8,0.943,9,9
FS3_d,FS1A_b,4,360.0,0.854,9,9
vDeltaM,vDeltaH,4,358.5,0.962,9,7
hDeltaJ,FS4B,4,187.6,0.975,12,9
vDeltaB,vDeltaA_a,4,0.0,1.0,9,9
FS2,FC1E,4,0.0,1.0,9,9
vDeltaK,vDeltaA_a,4,0.0,1.0,9,9
PFL1,hDeltaI,4,112.5,0.991,9,12
FC,FS3_d,4,337.5,0.924,8,9
FC,FC1B,4,0.0,1.0,8,9
vDeltaF,vDeltaB,4,0.0,1.0,9,9
vDeltaB,hDeltaC,4,187.5,0.924,9,12
vDeltaC,FC2B,4,349.2,0.943,9,9
FS1B_a,FC3_a,4,10.8,0.943,9,9
