type_pre,type_post,weight,edge_rows
hDeltaM,hDeltaI,134,33
FC3_b,FC3_a,133,44
hDeltaC,hDeltaG,133,42
ER3w_a,ER3d_a,132,29
ER5,ER2_c,132,93
PFNm_b,hDeltaC,131,50
FC3_b,FC1B,130,58
FC1C_a,FC1C_b,130,79
FC3_c,FC1C_a,129,37
FC3_b,FC1C_a,128,37
EL,PEN_b(PEN2),128,55
FC2B,hDeltaH,128,60
ER2_c,ER3w_a,127,55
ER1_b,PEN_b(PEN2),127,80
FC1B,hDeltaJ,126,60
PFNp_d,FC2B,124,49
PEN_a(PEN1),hDeltaK,124,64
ER3a_b,EPG,124,70
hDeltaG,PFR_b,122,27
ER4d,PEN_a(PEN1),122,78
ER2_a,ER3d_e,122,62
FC2A,FC2B,122,75
FC1C_a,FC1E,121,62
FC3_c,FC1B,121,63
PFNp_e,FC2A,120,44
EPG,PFNm_a,119,41
PEN_b(PEN2),PFR_b,119,30
ER3w_c,ER2_b,118,23
FC2A,hDeltaJ,118,78
ER3d_a,ER3d_b,117,59
FC2B,hDeltaJ,117,81
ER2_a,ER3d_d,117,72
EPGt,PEN_b(PEN2),116,11
FC3_b,hDeltaG,114,45
ER2_a,ER3d_b,114,78
hDeltaG,PFGs,113,26
EL,ER1_c,113,59
ER3d_b,ER3m,113,67
ER3p_a,ER3w_c,112,57
ER3a_c,ER3a_a,112,47
PEN_a(PEN1),ER4d,111,52
PFNp_e,PFNm_b,111,59
ER3a_b,ER5,111,61
FC3_b,FC3_c,110,47
FC2C,hDeltaG,110,67
FC3_c,FC1D,109,56
FC1E,FC2C,109,58
ER3m,ER3a_b,109,58
FC2C,hDeltaC,109,77
ER3d_c,ER2_a,109,69
ER2_d,ER3d_a,108,33
ER2_b,ER3d_e,107,26
PFGs,PFGs,107,39
FC1D,FC1F,107,63
PFNa,PFNv,106,34
PFNv,PFR_a,106,43
FC3_a,FC1C_a,106,35
FC3_a,FC1C_b,106,39
PEN_b(PEN2),ER6,106,60
ER2_d,ER3d_c,105,37
ER3d_e,ER3d_b,105,62
EPG,PFNm_b,104,55
FC3_b,FC2A,103,46
FC2C,hDeltaL,103,77
ER3d_a,ER2_a,102,50
hDeltaM,hDeltaJ,101,43
PEN_b(PEN2),EPGt,100,11
PFNv,PFNp_c,100,41
FC1C_a,FC1C_a,100,56
EPG,ER3p_a,99,86
PFR_a,EPG,98,60
PFR_a,PFL2,97,44
hDeltaJ,FC2C,97,64
EL,PFGs,96,67
FC1D,FC2C,96,62
ER3w_a,ER3d_e,95,33
EL,ER3a_d,95,49
hDeltaA,FC2A,94,31
PFNp_d,hDeltaI,94,37
ER6,PEN_a(PEN1),94,50
FC3_a,FC2B,94,51
PFR_a,EL,94,70
FC3_b,FC1F,93,51
ER2_d,ER3d_e,93,31
PEG,hDeltaK,93,52
ER2_a,PEN_b(PEN2),92,73
ER2_d,ER3w_c,91,26
FC3_c,FC1F,90,36
ER1_b,PEG,90,59
ER3m,ER3d_a,90,38
ER1_c,PEG,90,47
PFNp_b,PFNa,90,83
hDeltaJ,PFNv,89,51
hDeltaH,FC2C,88,31
hDeltaL,hDeltaC,88,46
PFGs,hDeltaB,88,52
hDeltaI,hDeltaJ,88,66
FC1D,FC,87,22
EPG,PFR_a,86,50
ER2_b,ER3d_a,85,24
hDeltaJ,PFL3,85,59
PFNm_b,FC2B,84,26
FC3_b,hDeltaI,84,33
hDeltaC,hDeltaK,84,45
ER3m,ER3p_b,84,45
ER3m,ER3d_b,84,65
hDeltaJ,hDeltaB,84,66
PFNd,PFR_b,83,52
EL,PEG,83,50
PFNv,PFNp_a,83,53
PEN_a(PEN1),EPGt,82,19
EPGt,PFNp_c,82,10
PFNm_b,PFNa,82,69
hDeltaH,hDeltaG,81,16
ER3d_a,ER3m,81,44
ER3d_e,ER3w_a,81,36
FC2B,hDeltaG,81,45
EPGt,PEN_a(PEN1),80,6
EPGt,PFNv,80,4
ER1_c,ER1_c,80,12
PFNp_d,PFNp_d,80,56
ER3a_a,ER3a_c,79,38
FC1E,FC1B,79,46
ER4m,ER3d_a,78,37
ER3w_a,ER2_c,78,43
ER3d_b,ER2_a,78,63
FC3_b,FC1E,77,48
hDeltaJ,PFGs,77,49
PFNv,FC3_b,76,31
ER3d_c,ER3m,76,45
hDeltaI,hDeltaK,76,52
hDeltaG,hDeltaL,75,25
hDeltaB,PEG,75,29
hDeltaJ,hDeltaI,75,54
PFNm_a,FC2A,74,31
FC1C_a,FC1D,74,36
FC1D,FC3_c,74,46
hDeltaB,FC2C,73,37
PEG,ER4m,73,47
FC1B,PFNa,73,61
hDeltaM,PFR_a,72,27
FC3_a,FC2A,72,34
PFNv,hDeltaM,71,20
PFL1,PFL3,71,44
PFNp_e,hDeltaJ,71,29
ER3m,ER3w_a,71,38
PFNa,hDeltaL,71,38
hDeltaJ,PFR_b,71,43
PFNm_b,PFNp_d,70,51
PFR_a,FC3_c,69,36
ER3d_a,ER3w_a,69,29
ER3a_d,ER3a_c,68,13
ER3d_b,ER3p_a,68,26
FC3_b,FC2B,68,49
ER3d_e,ER2_a,68,41
PFNp_d,PFNp_c,68,62
PFNp_c,hDeltaF,67,13
PFNv,PFNp_e,67,25
ER3w_b,ER1_a,66,44
FC1A,FC,65,13
ER3d_a,ER2_d,65,28
FC3_a,FC1F,65,36
EPG,hDeltaK,65,53
ER1_a,ER3a_c,64,12
hDeltaF,hDeltaK,64,39
ER3m,ER3d_c,64,43
ER3p_a,ER3w_a,64,42
FC3_c,hDeltaL,63,33
FC3_c,FC1A,63,28
PEN_b(PEN2),ER1_b,63,39
FC3_a,FC3_c,63,34
FC3_b,PFNv,62,25
hDeltaA,hDeltaM,62,21
PFL1,ER1_b,62,27
ER3d_d,ER2_a,61,41
PFNp_a,PFNm_b,61,39
ER3w_a,ER3d_c,60,25
ER2_c,ER5,60,49
hDeltaK,hDeltaC,60,47
ER3a_c,ER3d_e,59,18
hDeltaI,FC2A,59,26
FC3_a,FC1B,59,39
hDeltaG,hDeltaC,58,34
EL,PFR_a,58,43
ER4d,ER5,58,46
hDeltaA,hDeltaK,57,39
ER3d_e,ER2_d,57,26
ER3w_c,ER3p_a,57,39
PFR_a,FC2C,57,44
PFNp_d,PFNp_e,57,48
FC1B,FC,56,18
FC1F,PFL1,56,36
ER3d_a,ER2_b,56,21
hDeltaA,hDeltaB,56,38
FC3_b,FC1D,56,38
FC1E,FC1F,56,35
PFNp_b,hDeltaJ,56,47
PFR_a,PEG,55,34
hDeltaC,hDeltaM,54,27
PFNd,hDeltaK,54,40
PFGs,hDeltaF,54,30
PFNm_a,PFNp_e,54,44
FC2C,FC2A,54,39
EL,ER6,54,38
PFNv,FC3_a,53,21
PFNv,hDeltaL,53,18
ER5,PEG,53,19
ER3w_c,ER4m,53,27
PFNm_a,PFNp_a,53,43
ER3p_b,ER3w_b,53,31
PFGs,FC3_b,53,32
FC1F,FC1F,53,29
PFR_b,hDeltaI,53,35
hDeltaB,FC2B,52,24
Delta7,EL,52,14
hDeltaJ,hDeltaA,52,32
hDeltaJ,hDeltaK,52,42
FC1D,FC3_b,52,38
ER3a_a,ER3d_e,51,34
FC3_a,FC3_a,51,22
FC2C,hDeltaI,50,37
PFNa,FC1C_b,50,40
FC1F,hDeltaH,49,18
ER4m,ER3d_c,49,30
ER2_d,ER3d_b,49,38
hDeltaH,hDeltaC,48,27
FC2B,PFR_a,48,37
EPG,ER3a_c,48,37
FC2A,hDeltaI,48,34
EPGt,PFNp_a,47,15
