bodyId,type,instance,class,superclass,somaSide,rootSide,status,hemibrainType,flywireType
166071,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
166236,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
166595,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
166767,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
166794,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
166967,PFNp_d,PFNp_d,CX,cb_intrinsic,R,,Traced,PFNp_d,PFNp
167339,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
167394,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
167712,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
167799,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
167931,PFNp_d,PFNp_d,CX,cb_intrinsic,L,,Traced,PFNp_d,PFNp
168043,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
169143,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
169158,PFNp_d,PFNp_d,CX,cb_intrinsic,L,,Traced,PFNp_d,PFNp
169192,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
169272,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
169667,PFNm_b,PFNm_b_L4_C3,CX,cb_intrinsic,L,,Traced,PFNm_b,PFNm
170246,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
170385,PFNp_e,PFNp_e,CX,cb_intrinsic,R,,Traced,PFNp_e,PFNp
170528,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
170539,FC2A,FC2A_C4_R,CX,cb_intrinsic,R,,Traced,FC2A,FC2A
170865,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
