intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
10759,DNb01,descending_neuron,309,0,0,519400,DNg04,DNg04_L,15
521529,LAL084,cb_intrinsic,4,21,1,11563,DNae001,DNae001(DNa01)_R,15
11371,PS013,cb_intrinsic,133,0,0,12670,DNg71,DNg71_R,15
14283,CRE083,cb_intrinsic,0,0,1,10724,DNp62,DNp62(DSKMP1B)_L,15
23230,LAL163,cb_intrinsic,99,107,0,11028,DNb09,DNb09(DNb01)_L,15
31330,PS049,cb_intrinsic,4,1,0,10416,DNde002,DNde002(VES029)_L,15
79549,PFL3,cb_intrinsic,45,2,9,529568,DNp39,DNp39(PS297)_L,15
523863,LAL196,cb_intrinsic,0,5,0,523769,DNa02,DNa02_L,15
17532,LAL140,cb_intrinsic,12,0,2,11425,CB0429,CB0429_R,15
13607,LAL137,cb_intrinsic,0,21,0,12075,DNb08,DNb08(VES083)_R,15
11194,VES059,cb_intrinsic,166,24,0,12044,DNb08,DNb08(VES082)_R,15
11194,VES059,cb_intrinsic,166,24,0,10216,DNge037,DNge037_R,15
83676,AOTU002_c,cb_intrinsic,4,0,0,10360,DNa02,DNa02_R,15
515842,WED082,cb_intrinsic,0,0,231,21149,DNg107,DNg107_L,15
11213,CB0244,cb_intrinsic,1,0,0,10377,DNge054,DNge054_L,15
11213,CB0244,cb_intrinsic,1,0,0,523773,DNg52,DNg52_L,15
11286,SIP126m_a,cb_intrinsic,1,1,0,555726,DNa13,DNa13(LAL041)_L,15
20497,WED018,cb_intrinsic,0,0,6,10469,DNbe001,DNbe001(PS103)_L,15
23416,CB2855,cb_intrinsic,0,0,1,11505,DNp54,DNp54(PS163)_R,15
533368,AN10B005,ascending_neuron,0,0,1,34474,DNge089,DNge089_R,15
519129,LAL010,cb_intrinsic,126,103,1,10805,DNb02,DNb02_R,15
524483,LAL126,cb_intrinsic,335,0,5,11554,DNp63,DNp63(PS113)_L,15
11410,DNpe023,descending_neuron,1,4,0,10873,DNg39,DNg39_R,15
11410,DNpe023,descending_neuron,1,4,0,12753,DNpe003,DNpe003(VES081)_R,15
11410,DNpe023,descending_neuron,1,4,0,523769,DNa02,DNa02_L,15
116987,LAL021,cb_intrinsic,42,4,0,10884,DNa15,DNa15(PS017)_L,15
513794,LAL094,cb_intrinsic,2,0,0,10360,DNa02,DNa02_R,15
15809,LAL012,cb_intrinsic,0,0,1,11066,DNa13,DNa13(LAL041)_R,15
28708,LAL021,cb_intrinsic,48,1,0,10759,DNb01,DNb01_R,15
28709,SAD047,cb_intrinsic,0,0,1,15483,DNge175,DNge175_R,15
28709,SAD047,cb_intrinsic,0,0,1,10354,DNp73,DNp73_R,15
28709,SAD047,cb_intrinsic,0,0,1,10425,DNp10,DNp10_L,15
10606,LAL125,cb_intrinsic,74,0,0,12075,DNb08,DNb08(VES083)_R,15
10050,5-HTPMPV03,visual_centrifugal,0,0,5,12621,DNg56,DNg56_L,15
11182,DNp101,descending_neuron,0,0,1,12610,DNg102,DNg102_L,15
155446,(untyped),cb_intrinsic,7,0,0,10460,DNa09,DNa09_R,15
38847,LAL046,cb_intrinsic,73,105,0,12767,DNb02,DNb02_L,15
14067,DNpe003,descending_neuron,2,0,0,14271,DNae006,DNae006(PS045)_L,15
519398,SMP048,cb_intrinsic,0,14,0,11674,DNp68,DNp68(CL138)_L,15
